id,ПП/ДБ,ГЕРБ-СДС,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,МЕЧ,ЦЕНТЪР,ДПС,ВМРО БНД,ЗЕЛЕНО ДВИЖЕНИЕ,ЛЕВИЦАТА!,БВ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НЕУТРАЛНА БЪЛГАРИЯ,КОАЛИЦИЯ НА РОЗАТА,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНС-НД,ОБЩЕСТВО ЗА НОВА БГ,БСДД,БНО,total,eligible_voters,активност
234602021,0.3185840707964602,0.19174041297935104,0.13864306784660768,0.0943952802359882,0.035398230088495575,0.04129793510324484,0.035398230088495575,0.02654867256637168,0.008849557522123894,0.017699115044247787,0.02064896755162242,0.0029498525073746312,0.0058997050147492625,0.011799410029498525,0.014749262536873156,0.0029498525073746312,0.0029498525073746312,0.0029498525073746312,0.011799410029498525,0.0,0.0029498525073746312,0.0,0.0029498525073746312,0.0,0.0058997050147492625,0.0029498525073746312,0.0,0.0,0.0,0.0,0.0,0.0,339.0,697,0.48637015781922527
234602022,0.35792349726775957,0.17486338797814208,0.10382513661202186,0.05737704918032787,0.03551912568306011,0.05191256830601093,0.060109289617486336,0.04371584699453552,0.01092896174863388,0.00819672131147541,0.01639344262295082,0.00546448087431694,0.01639344262295082,0.01366120218579235,0.01092896174863388,0.0,0.0,0.00546448087431694,0.0,0.0,0.00819672131147541,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00546448087431694,0.0,0.00273224043715847,0.0,0.0,0.0,0.00273224043715847,0.0,366.0,747,0.4899598393574297
234602023,0.3180327868852459,0.22295081967213115,0.10819672131147541,0.05573770491803279,0.07213114754098361,0.03278688524590164,0.019672131147540985,0.04918032786885246,0.009836065573770493,0.01639344262295082,0.02622950819672131,0.009836065573770493,0.006557377049180328,0.009836065573770493,0.013114754098360656,0.003278688524590164,0.003278688524590164,0.0,0.0,0.013114754098360656,0.0,0.0,0.006557377049180328,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,305.0,805,0.37888198757763975
234602024,0.36824324324324326,0.18243243243243243,0.11486486486486487,0.07094594594594594,0.04391891891891892,0.04054054054054054,0.02364864864864865,0.037162162162162164,0.02364864864864865,0.013513513513513514,0.013513513513513514,0.010135135135135136,0.010135135135135136,0.006756756756756757,0.0033783783783783786,0.010135135135135136,0.0,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.006756756756756757,0.0033783783783783786,0.0033783783783783786,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,727,0.40715268225584594
234602025,0.29194630872483224,0.2181208053691275,0.13087248322147652,0.0738255033557047,0.06711409395973154,0.03355704697986577,0.020134228187919462,0.026845637583892617,0.020134228187919462,0.03691275167785235,0.010067114093959731,0.006711409395973154,0.010067114093959731,0.013422818791946308,0.013422818791946308,0.0,0.006711409395973154,0.0,0.003355704697986577,0.003355704697986577,0.006711409395973154,0.0,0.003355704697986577,0.0,0.0,0.0,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,298.0,758,0.39313984168865435
234602026,0.30687830687830686,0.1693121693121693,0.16666666666666666,0.05291005291005291,0.03968253968253968,0.05026455026455026,0.047619047619047616,0.037037037037037035,0.007936507936507936,0.010582010582010581,0.021164021164021163,0.007936507936507936,0.0026455026455026454,0.010582010582010581,0.026455026455026454,0.007936507936507936,0.0026455026455026454,0.0026455026455026454,0.0026455026455026454,0.0,0.0026455026455026454,0.0026455026455026454,0.0026455026455026454,0.005291005291005291,0.0,0.005291005291005291,0.0,0.0,0.0026455026455026454,0.0,0.0,0.005291005291005291,378.0,823,0.45929526123936815
234602027,0.3409090909090909,0.20738636363636365,0.13636363636363635,0.036931818181818184,0.05113636363636364,0.04261363636363636,0.03125,0.036931818181818184,0.014204545454545454,0.017045454545454544,0.019886363636363636,0.005681818181818182,0.002840909090909091,0.019886363636363636,0.002840909090909091,0.008522727272727272,0.005681818181818182,0.002840909090909091,0.002840909090909091,0.002840909090909091,0.002840909090909091,0.0,0.002840909090909091,0.0,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,848,0.41509433962264153
234602028,0.3806646525679758,0.22054380664652568,0.1540785498489426,0.054380664652567974,0.01812688821752266,0.021148036253776436,0.030211480362537766,0.04229607250755287,0.012084592145015106,0.0030211480362537764,0.0030211480362537764,0.006042296072507553,0.00906344410876133,0.01812688821752266,0.00906344410876133,0.0030211480362537764,0.0,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0030211480362537764,0.00906344410876133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,795,0.41635220125786165
234602029,0.40253164556962023,0.17974683544303796,0.11139240506329114,0.05063291139240506,0.05063291139240506,0.02531645569620253,0.030379746835443037,0.030379746835443037,0.020253164556962026,0.010126582278481013,0.010126582278481013,0.002531645569620253,0.007594936708860759,0.007594936708860759,0.007594936708860759,0.010126582278481013,0.002531645569620253,0.010126582278481013,0.0,0.010126582278481013,0.002531645569620253,0.005063291139240506,0.005063291139240506,0.005063291139240506,0.002531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,968,0.4080578512396694
234602033,0.2939068100358423,0.16845878136200718,0.16487455197132617,0.14336917562724014,0.043010752688172046,0.017921146953405017,0.035842293906810034,0.03942652329749104,0.021505376344086023,0.007168458781362007,0.010752688172043012,0.010752688172043012,0.0,0.014336917562724014,0.0,0.007168458781362007,0.0,0.0,0.0,0.0,0.0,0.014336917562724014,0.0,0.007168458781362007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,747,0.37349397590361444
234602034,0.2573099415204678,0.1783625730994152,0.19298245614035087,0.07309941520467836,0.038011695906432746,0.043859649122807015,0.038011695906432746,0.04678362573099415,0.011695906432748537,0.017543859649122806,0.02046783625730994,0.005847953216374269,0.0029239766081871343,0.014619883040935672,0.011695906432748537,0.008771929824561403,0.02631578947368421,0.0,0.0029239766081871343,0.0029239766081871343,0.0,0.0,0.0,0.0,0.0029239766081871343,0.0,0.0,0.0,0.0,0.0029239766081871343,0.0,0.0,342.0,812,0.4211822660098522
234602040,0.34444444444444444,0.22592592592592592,0.12222222222222222,0.04814814814814815,0.07037037037037037,0.044444444444444446,0.014814814814814815,0.044444444444444446,0.011111111111111112,0.018518518518518517,0.014814814814814815,0.003703703703703704,0.011111111111111112,0.007407407407407408,0.007407407407407408,0.003703703703703704,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,736,0.36684782608695654
234602041,0.3253731343283582,0.191044776119403,0.12835820895522387,0.04477611940298507,0.03582089552238806,0.029850746268656716,0.03880597014925373,0.04477611940298507,0.020895522388059702,0.023880597014925373,0.005970149253731343,0.005970149253731343,0.005970149253731343,0.01791044776119403,0.008955223880597015,0.0029850746268656717,0.008955223880597015,0.014925373134328358,0.005970149253731343,0.0029850746268656717,0.005970149253731343,0.008955223880597015,0.014925373134328358,0.0,0.0,0.0,0.0029850746268656717,0.0029850746268656717,0.0,0.0,0.0,0.0,335.0,896,0.37388392857142855
234602042,0.2746478873239437,0.20422535211267606,0.15845070422535212,0.12323943661971831,0.028169014084507043,0.04929577464788732,0.028169014084507043,0.028169014084507043,0.045774647887323945,0.0,0.007042253521126761,0.0035211267605633804,0.007042253521126761,0.007042253521126761,0.0035211267605633804,0.017605633802816902,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0035211267605633804,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.0,284.0,731,0.38850889192886456
234602086,0.3672566371681416,0.1902654867256637,0.13716814159292035,0.0752212389380531,0.030973451327433628,0.035398230088495575,0.02654867256637168,0.017699115044247787,0.017699115044247787,0.004424778761061947,0.01327433628318584,0.008849557522123894,0.004424778761061947,0.017699115044247787,0.022123893805309734,0.017699115044247787,0.004424778761061947,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,653,0.3460949464012251
234602087,0.37919463087248323,0.21476510067114093,0.13087248322147652,0.04697986577181208,0.0436241610738255,0.03691275167785235,0.006711409395973154,0.04697986577181208,0.003355704697986577,0.006711409395973154,0.013422818791946308,0.016778523489932886,0.010067114093959731,0.006711409395973154,0.010067114093959731,0.003355704697986577,0.006711409395973154,0.003355704697986577,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.003355704697986577,0.003355704697986577,0.0,0.0,0.003355704697986577,0.0,0.0,298.0,746,0.39946380697050937
234617020,0.20809248554913296,0.2398843930635838,0.18786127167630057,0.06069364161849711,0.046242774566473986,0.03757225433526012,0.05491329479768786,0.031791907514450865,0.02601156069364162,0.02023121387283237,0.023121387283236993,0.014450867052023121,0.008670520231213872,0.02023121387283237,0.0,0.005780346820809248,0.0,0.008670520231213872,0.0,0.002890173410404624,0.002890173410404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,910,0.3802197802197802
234617021,0.3009118541033435,0.182370820668693,0.1458966565349544,0.05167173252279635,0.057750759878419454,0.0486322188449848,0.0182370820668693,0.0425531914893617,0.0364741641337386,0.02127659574468085,0.0182370820668693,0.015197568389057751,0.015197568389057751,0.0182370820668693,0.00303951367781155,0.00303951367781155,0.00303951367781155,0.0,0.0,0.00303951367781155,0.0060790273556231,0.0,0.00303951367781155,0.0,0.0,0.0,0.0,0.0,0.0,0.00303951367781155,0.0,0.00303951367781155,329.0,740,0.4445945945945946
234617022,0.259927797833935,0.24548736462093862,0.15162454873646208,0.039711191335740074,0.036101083032490974,0.039711191335740074,0.036101083032490974,0.05054151624548736,0.021660649819494584,0.02888086642599278,0.021660649819494584,0.01444043321299639,0.0036101083032490976,0.01444043321299639,0.018050541516245487,0.0036101083032490976,0.0036101083032490976,0.007220216606498195,0.0,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,704,0.3934659090909091
234617023,0.24825174825174826,0.17132867132867133,0.16083916083916083,0.04895104895104895,0.06993006993006994,0.045454545454545456,0.045454545454545456,0.03496503496503497,0.03146853146853147,0.01048951048951049,0.0,0.027972027972027972,0.024475524475524476,0.0034965034965034965,0.01048951048951049,0.027972027972027972,0.006993006993006993,0.0,0.0,0.006993006993006993,0.006993006993006993,0.0,0.0,0.0034965034965034965,0.0,0.0034965034965034965,0.0,0.0,0.0,0.0,0.01048951048951049,0.0,286.0,670,0.42686567164179107
234617024,0.29508196721311475,0.2103825136612022,0.12021857923497267,0.05737704918032787,0.07650273224043716,0.03551912568306011,0.02185792349726776,0.04371584699453552,0.01366120218579235,0.01912568306010929,0.030054644808743168,0.01912568306010929,0.01912568306010929,0.0,0.01366120218579235,0.0,0.0,0.00273224043715847,0.00273224043715847,0.0,0.0,0.00819672131147541,0.00273224043715847,0.0,0.00546448087431694,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,366.0,931,0.39312567132116005
234617025,0.29441624365482233,0.22081218274111675,0.10406091370558376,0.03807106598984772,0.048223350253807105,0.03807106598984772,0.04060913705583756,0.06598984771573604,0.01015228426395939,0.02030456852791878,0.02284263959390863,0.01015228426395939,0.005076142131979695,0.005076142131979695,0.017766497461928935,0.025380710659898477,0.005076142131979695,0.0,0.0,0.005076142131979695,0.007614213197969543,0.0025380710659898475,0.0025380710659898475,0.0025380710659898475,0.0025380710659898475,0.0025380710659898475,0.0,0.0,0.0,0.0025380710659898475,0.0,0.0,394.0,928,0.4245689655172414
234617067,0.3186119873817035,0.2113564668769716,0.12302839116719243,0.04416403785488959,0.05993690851735016,0.025236593059936908,0.022082018927444796,0.04416403785488959,0.00946372239747634,0.025236593059936908,0.015772870662460567,0.028391167192429023,0.028391167192429023,0.006309148264984227,0.012618296529968454,0.0,0.0,0.0031545741324921135,0.0,0.006309148264984227,0.0031545741324921135,0.0031545741324921135,0.0031545741324921135,0.0,0.0,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.0,317.0,784,0.40433673469387754
234617073,0.21262458471760798,0.3289036544850498,0.1362126245847176,0.03986710963455149,0.03986710963455149,0.059800664451827246,0.026578073089700997,0.04318936877076412,0.016611295681063124,0.036544850498338874,0.0,0.009966777408637873,0.026578073089700997,0.0033222591362126247,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0033222591362126247,0.0033222591362126247,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,301.0,773,0.38939197930142305
234616010,0.3160377358490566,0.16981132075471697,0.07075471698113207,0.07075471698113207,0.05660377358490566,0.03773584905660377,0.02358490566037736,0.07075471698113207,0.0330188679245283,0.0330188679245283,0.009433962264150943,0.0047169811320754715,0.0,0.02358490566037736,0.009433962264150943,0.04716981132075472,0.009433962264150943,0.0,0.0,0.0047169811320754715,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,212.0,442,0.4796380090497738
234616011,0.3125,0.2421875,0.203125,0.0234375,0.0234375,0.0859375,0.0,0.0,0.0078125,0.015625,0.0,0.0078125,0.0234375,0.0078125,0.0,0.0,0.015625,0.0078125,0.0078125,0.0,0.0078125,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,330,0.3878787878787879
