id,ВАСИЛ ТЕРЗИЕВ ПП/ДБ/СС,ВАНЯ ГРИГОРОВА БСП/АТАКА/други,АНТОН ХЕКИМЯН ГЕРБ-СДС,ДЕЯН НИКОЛОВ ВЪЗР,ВИЛИ ЛИЛКОВ КОД,не подкрепям никого,ИВАЙЛО ВЪЛЧЕВ ИТН,РАДОСТИН ВАСИЛЕВ,ВИОЛЕТА КОМИТОВА БВ,КАРЛОС КОНТРЕРА (ВМРО-БНД),СВЕТОСЛАВ ВИТКОВ ГЛАС НАРОДЕН,АСЕН АНГЕЛОВ СБОР,ПЕТЪР КЛИСАРОВ ПРЯКА ДЕМОКРАЦИЯ,ТЕОДОР ДЕЧЕВ БСДП,КРАСИМИР СТОЙЧЕВ Партия на ЗЕЛЕНИТЕ,МАЖД АЛГАФАРИ Граждани за Общината,МАРИЯ КОЛЕВА ПРАВОТО,АЛЕКСАНДЪР ТОМОВ БСД - ЕВРОЛЕВИЦА,КАМЕН ДЮЛГЕРОВ БЪЛГАРСКИ ГЛАСЪ,ЕМИЛ АТАНАСОВ БЪЛГАРСКИ СОЦИАЛДЕМОКРАТИ,СИМЕОН АНАНИЕВ МИР,ГЕОРГИ НЕДЕЛЧЕВ БСДД,КАЛИН КРУЛЕВ ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,total,eligible_voters,активност,невалидни
224611031,0.13471502590673576,0.30569948186528495,0.19689119170984457,0.10880829015544041,0.06217616580310881,0.04145077720207254,0.06217616580310881,0.031088082901554404,0.015544041450777202,0.015544041450777202,0.0,0.0051813471502590676,0.0051813471502590676,0.0,0.0051813471502590676,0.0051813471502590676,0.0,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0,193.0,642.0,0.30062305295950154,0.010362694300518135
224611037,0.27184466019417475,0.3106796116504854,0.10194174757281553,0.07281553398058252,0.09223300970873786,0.024271844660194174,0.009708737864077669,0.024271844660194174,0.019417475728155338,0.03398058252427184,0.0048543689320388345,0.0,0.009708737864077669,0.0,0.0,0.0048543689320388345,0.0,0.009708737864077669,0.0,0.0048543689320388345,0.0,0.0,0.0048543689320388345,206.0,620.0,0.33225806451612905,0.009708737864077669
224611038,0.3013698630136986,0.22602739726027396,0.15753424657534246,0.0958904109589041,0.0684931506849315,0.04794520547945205,0.0136986301369863,0.03424657534246575,0.0273972602739726,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,146.0,568.0,0.25704225352112675,0.03424657534246575
224611039,0.25892857142857145,0.33482142857142855,0.16517857142857142,0.0625,0.05357142857142857,0.026785714285714284,0.026785714285714284,0.017857142857142856,0.013392857142857142,0.008928571428571428,0.0,0.013392857142857142,0.008928571428571428,0.0,0.0,0.004464285714285714,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0,224.0,673.0,0.3328380386329866,0.017857142857142856
224611040,0.2300469483568075,0.28169014084507044,0.20657276995305165,0.09859154929577464,0.028169014084507043,0.018779342723004695,0.04225352112676056,0.028169014084507043,0.004694835680751174,0.014084507042253521,0.0,0.014084507042253521,0.004694835680751174,0.0,0.018779342723004695,0.0,0.0,0.0,0.004694835680751174,0.0,0.004694835680751174,0.0,0.0,213.0,664.0,0.3207831325301205,0.018779342723004695
224611043,0.3026315789473684,0.32894736842105265,0.13157894736842105,0.09868421052631579,0.02631578947368421,0.019736842105263157,0.03289473684210526,0.019736842105263157,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.006578947368421052,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,152.0,581.0,0.26161790017211706,0.013157894736842105
224611046,0.3023255813953488,0.25,0.13372093023255813,0.06976744186046512,0.06395348837209303,0.03488372093023256,0.05232558139534884,0.011627906976744186,0.005813953488372093,0.005813953488372093,0.01744186046511628,0.005813953488372093,0.011627906976744186,0.01744186046511628,0.0,0.005813953488372093,0.005813953488372093,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,172.0,609.0,0.2824302134646962,0.0
224611047,0.2602040816326531,0.3163265306122449,0.18877551020408162,0.07142857142857142,0.03571428571428571,0.030612244897959183,0.015306122448979591,0.030612244897959183,0.0,0.015306122448979591,0.0,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00510204081632653,196.0,622.0,0.31511254019292606,0.030612244897959183
224611056,0.0,0.2916666666666667,0.5,0.041666666666666664,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,24.0,638.0,0.03761755485893417,0.041666666666666664
224611057,0.11458333333333333,0.2708333333333333,0.375,0.041666666666666664,0.010416666666666666,0.0,0.09375,0.03125,0.03125,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,96.0,784.0,0.12244897959183673,0.0
