id,ПП/ДБ/СС,ГЕРБ-СДС,БСП/АТАКА/други,ВЪЗР,не подкрепям никого,"КОД (ДДД-ДЗ, БДФ)",ИТН,ВМРО-БНД,БВ,БСДП,Петър Славов,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ОБЕДИНЕНИ ЗЕМЕДЕЛЦИ,СБОР,Граждани за Общината,Веселин Кръстев,ДПС,БЪЛГАРСКИ ГЛАСЪ,МИР,БСД - ЕВРОЛЕВИЦА,БСД,ЗАЕДНО ЗА СИЛНА ОБЩИНА,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПРАВОТО,ЗС Ал. Стамболийски,БСДД,НАЦИОНАЛНО ДВИЖЕНИЕ ЕДИНСТВО,Соц. пар. „Български път“,total,eligible_voters,активност,невалидни
224615097,0.34536082474226804,0.20103092783505155,0.11855670103092783,0.0979381443298969,0.041237113402061855,0.015463917525773196,0.07731958762886598,0.015463917525773196,0.0,0.02577319587628866,0.0,0.015463917525773196,0.0,0.015463917525773196,0.015463917525773196,0.005154639175257732,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,646.0,0.30030959752321984,0.05670103092783505
224615098,0.34674922600619196,0.13622291021671826,0.13312693498452013,0.1021671826625387,0.07120743034055728,0.030959752321981424,0.04953560371517028,0.018575851393188854,0.01238390092879257,0.0030959752321981426,0.009287925696594427,0.009287925696594427,0.0030959752321981426,0.02786377708978328,0.0,0.01238390092879257,0.0,0.0,0.006191950464396285,0.0,0.009287925696594427,0.0030959752321981426,0.006191950464396285,0.0,0.006191950464396285,0.0,0.0,0.0,0.0030959752321981426,0.0,323.0,829.0,0.3896260554885404,0.02786377708978328
224615099,0.30708661417322836,0.18503937007874016,0.1141732283464567,0.15354330708661418,0.05905511811023622,0.027559055118110236,0.01968503937007874,0.01968503937007874,0.01968503937007874,0.011811023622047244,0.003937007874015748,0.0,0.007874015748031496,0.027559055118110236,0.003937007874015748,0.0,0.01968503937007874,0.003937007874015748,0.007874015748031496,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,254.0,712.0,0.35674157303370785,0.031496062992125984
224615100,0.4701492537313433,0.11194029850746269,0.0708955223880597,0.09701492537313433,0.06343283582089553,0.055970149253731345,0.05223880597014925,0.0,0.011194029850746268,0.0037313432835820895,0.0,0.018656716417910446,0.011194029850746268,0.011194029850746268,0.0037313432835820895,0.007462686567164179,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0037313432835820895,0.0,268.0,866.0,0.3094688221709007,0.033582089552238806
224615101,0.4387755102040816,0.14965986394557823,0.11564625850340136,0.08163265306122448,0.047619047619047616,0.05102040816326531,0.034013605442176874,0.02040816326530612,0.02040816326530612,0.006802721088435374,0.003401360544217687,0.003401360544217687,0.006802721088435374,0.0,0.0,0.0,0.003401360544217687,0.0,0.006802721088435374,0.003401360544217687,0.0,0.003401360544217687,0.0,0.0,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,294.0,795.0,0.36981132075471695,0.034013605442176874
224615102,0.4025974025974026,0.1396103896103896,0.17532467532467533,0.12012987012987013,0.04220779220779221,0.032467532467532464,0.025974025974025976,0.012987012987012988,0.012987012987012988,0.0,0.003246753246753247,0.012987012987012988,0.003246753246753247,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,308.0,859.0,0.3585564610011641,0.016233766233766232
224615103,0.39896373056994816,0.13471502590673576,0.10362694300518134,0.10880829015544041,0.06217616580310881,0.025906735751295335,0.09326424870466321,0.0051813471502590676,0.0051813471502590676,0.0,0.0051813471502590676,0.0,0.015544041450777202,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0051813471502590676,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0051813471502590676,0.0,193.0,658.0,0.2933130699088146,0.06217616580310881
224615104,0.291044776119403,0.1865671641791045,0.11940298507462686,0.15671641791044777,0.04477611940298507,0.03731343283582089,0.06716417910447761,0.0,0.007462686567164179,0.014925373134328358,0.007462686567164179,0.007462686567164179,0.0,0.014925373134328358,0.007462686567164179,0.007462686567164179,0.0,0.0,0.007462686567164179,0.0,0.0,0.0,0.014925373134328358,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,134.0,605.0,0.22148760330578512,0.022388059701492536
224615105,0.2568306010928962,0.2185792349726776,0.1366120218579235,0.13114754098360656,0.08196721311475409,0.02185792349726776,0.0273224043715847,0.02185792349726776,0.00546448087431694,0.01639344262295082,0.00546448087431694,0.03278688524590164,0.00546448087431694,0.00546448087431694,0.0,0.00546448087431694,0.0,0.0,0.01639344262295082,0.00546448087431694,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,716.0,0.25558659217877094,0.060109289617486336
224615106,0.31797235023041476,0.17972350230414746,0.15668202764976957,0.12903225806451613,0.02304147465437788,0.05069124423963134,0.06451612903225806,0.013824884792626729,0.009216589861751152,0.0,0.0,0.009216589861751152,0.004608294930875576,0.013824884792626729,0.004608294930875576,0.0,0.004608294930875576,0.004608294930875576,0.0,0.0,0.004608294930875576,0.0,0.0,0.009216589861751152,0.0,0.0,0.0,0.0,0.0,0.0,217.0,642.0,0.338006230529595,0.027649769585253458
