id,ВАСИЛ ТЕРЗИЕВ ПП/ДБ/СС,ВАНЯ ГРИГОРОВА БСП/АТАКА/други,не подкрепям никого,total,eligible_voters,активност
224614004,0.4098360655737705,0.5122950819672131,0.0778688524590164,244.0,753.0,0.3240371845949535
224614005,0.41509433962264153,0.5094339622641509,0.07547169811320754,212.0,793.0,0.2673392181588903
224614006,0.4021164021164021,0.5555555555555556,0.042328042328042326,189.0,757.0,0.24966974900924702
224614007,0.4258064516129032,0.5161290322580645,0.05806451612903226,155.0,726.0,0.21349862258953167
224614008,0.3821428571428571,0.48214285714285715,0.1357142857142857,280.0,687.0,0.40756914119359533
224614009,0.4044943820224719,0.5393258426966292,0.056179775280898875,178.0,639.0,0.27856025039123633
224614010,0.44642857142857145,0.4642857142857143,0.08928571428571429,224.0,717.0,0.3124128312412831
224607044,0.5994318181818182,0.3465909090909091,0.05397727272727273,352.0,812.0,0.43349753694581283
224607046,0.4157706093189964,0.5268817204301075,0.05734767025089606,279.0,769.0,0.36280884265279584
224607047,0.4758842443729904,0.49517684887459806,0.028938906752411574,311.0,803.0,0.38729763387297633
224607048,0.5292207792207793,0.39935064935064934,0.07142857142857142,308.0,797.0,0.3864491844416562
224607049,0.4219409282700422,0.5569620253164557,0.02109704641350211,237.0,682.0,0.34750733137829914
224607084,0.5813953488372093,0.3754152823920266,0.04318936877076412,301.0,760.0,0.3960526315789474
224608016,0.4427860696517413,0.5223880597014925,0.03482587064676617,201.0,539.0,0.37291280148423006
224608017,0.6284403669724771,0.3211009174311927,0.05045871559633028,218.0,463.0,0.4708423326133909
224608018,0.5263157894736842,0.39271255060728744,0.08097165991902834,247.0,675.0,0.36592592592592593
224608019,0.5514018691588785,0.42990654205607476,0.018691588785046728,214.0,670.0,0.3194029850746269
224608020,0.5459459459459459,0.40540540540540543,0.04864864864864865,185.0,540.0,0.3425925925925926
224608021,0.5949367088607594,0.3670886075949367,0.0379746835443038,237.0,574.0,0.41289198606271776
224608022,0.5,0.46938775510204084,0.030612244897959183,196.0,539.0,0.36363636363636365
224608023,0.44221105527638194,0.507537688442211,0.05025125628140704,199.0,570.0,0.34912280701754383
