id,ДБ,ГЕРБ-СДС,ИТН,БСП,МУТРИ ВЪН!,БНО,ВМРО,ВЪЗР,не подкрепям никого,ВОЛЯ И НФСБ,ДПС,ДНК,АБВ,КОД,АТАКА,РЕПУБЛИКАНЦИ ЗА БГ,ГЛАС НАРОДЕН,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,Партия на ЗЕЛЕНИТЕ,МИР,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,"НИЕ, ГРАЖДАНИТЕ ",БСДД,ЗАЕДНО,Граждани от Протеста,БПЛ,БНС,ПРАВОТО,БОГ,независими,НАЦИЯ,total,eligible_voters,активност
244606010,0.1853932584269663,0.19662921348314608,0.21629213483146068,0.11235955056179775,0.05056179775280899,0.08426966292134831,0.03932584269662921,0.011235955056179775,0.028089887640449437,0.014044943820224719,0.008426966292134831,0.011235955056179775,0.008426966292134831,0.0,0.0056179775280898875,0.0056179775280898875,0.008426966292134831,0.008426966292134831,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,813,0.43788437884378845
244606011,0.18904109589041096,0.2136986301369863,0.13972602739726028,0.1506849315068493,0.049315068493150684,0.06301369863013699,0.049315068493150684,0.03287671232876712,0.03287671232876712,0.0136986301369863,0.00821917808219178,0.0027397260273972603,0.021917808219178082,0.005479452054794521,0.0,0.0027397260273972603,0.010958904109589041,0.0,0.0,0.0027397260273972603,0.0027397260273972603,0.0,0.0027397260273972603,0.005479452054794521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,816,0.44730392156862747
244606012,0.16714697406340057,0.207492795389049,0.2478386167146974,0.11527377521613832,0.06340057636887608,0.05763688760806916,0.01440922190201729,0.020172910662824207,0.023054755043227664,0.03170028818443804,0.005763688760806916,0.002881844380403458,0.008645533141210375,0.011527377521613832,0.01729106628242075,0.0,0.0,0.0,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002881844380403458,0.0,347.0,779,0.4454428754813864
244606013,0.15181518151815182,0.22112211221122113,0.18811881188118812,0.13861386138613863,0.033003300330033,0.09900990099009901,0.036303630363036306,0.0297029702970297,0.026402640264026403,0.0231023102310231,0.0033003300330033004,0.0033003300330033004,0.009900990099009901,0.0033003300330033004,0.0033003300330033004,0.006600660066006601,0.0,0.0,0.009900990099009901,0.0033003300330033004,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0,303.0,722,0.4196675900277008
244606014,0.1342281879194631,0.22818791946308725,0.22483221476510068,0.13087248322147652,0.050335570469798654,0.0738255033557047,0.02348993288590604,0.013422818791946308,0.03355704697986577,0.013422818791946308,0.026845637583892617,0.006711409395973154,0.0,0.003355704697986577,0.0,0.016778523489932886,0.003355704697986577,0.0,0.003355704697986577,0.0,0.010067114093959731,0.0,0.0,0.0,0.0,0.0,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,298.0,795,0.37484276729559746
244606015,0.16199376947040497,0.19003115264797507,0.14330218068535824,0.1588785046728972,0.09034267912772585,0.07165109034267912,0.03115264797507788,0.037383177570093455,0.018691588785046728,0.028037383177570093,0.006230529595015576,0.0,0.006230529595015576,0.012461059190031152,0.003115264797507788,0.003115264797507788,0.006230529595015576,0.0,0.006230529595015576,0.003115264797507788,0.0,0.003115264797507788,0.003115264797507788,0.0,0.003115264797507788,0.003115264797507788,0.003115264797507788,0.0,0.003115264797507788,0.0,0.003115264797507788,0.0,321.0,721,0.44521497919556174
244606016,0.1813186813186813,0.21428571428571427,0.15384615384615385,0.14560439560439561,0.08516483516483517,0.03021978021978022,0.0521978021978022,0.038461538461538464,0.013736263736263736,0.01098901098901099,0.008241758241758242,0.0027472527472527475,0.008241758241758242,0.019230769230769232,0.0027472527472527475,0.005494505494505495,0.005494505494505495,0.013736263736263736,0.0,0.0027472527472527475,0.0027472527472527475,0.0,0.0027472527472527475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,800,0.455
244606017,0.1984732824427481,0.26208651399491095,0.16030534351145037,0.12213740458015267,0.07633587786259542,0.05343511450381679,0.027989821882951654,0.01272264631043257,0.01272264631043257,0.01272264631043257,0.002544529262086514,0.010178117048346057,0.010178117048346057,0.015267175572519083,0.002544529262086514,0.002544529262086514,0.007633587786259542,0.0,0.002544529262086514,0.002544529262086514,0.0,0.0,0.0,0.0,0.0,0.0,0.002544529262086514,0.002544529262086514,0.0,0.0,0.0,0.0,393.0,814,0.4828009828009828
244606018,0.2098092643051771,0.2561307901907357,0.16076294277929154,0.11444141689373297,0.07356948228882834,0.035422343324250684,0.04087193460490463,0.013623978201634877,0.0326975476839237,0.01634877384196185,0.0027247956403269754,0.010899182561307902,0.0027247956403269754,0.008174386920980926,0.005449591280653951,0.0027247956403269754,0.0,0.0,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0027247956403269754,0.0,0.005449591280653951,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,367.0,812,0.45197044334975367
244606019,0.1588785046728972,0.24532710280373832,0.21962616822429906,0.1308411214953271,0.0514018691588785,0.04672897196261682,0.037383177570093455,0.035046728971962614,0.016355140186915886,0.011682242990654205,0.004672897196261682,0.007009345794392523,0.002336448598130841,0.004672897196261682,0.007009345794392523,0.0,0.007009345794392523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002336448598130841,0.004672897196261682,0.0,0.004672897196261682,0.0,0.002336448598130841,0.0,428.0,859,0.49825378346915017
244606020,0.2175141242937853,0.2627118644067797,0.18361581920903955,0.09322033898305085,0.06497175141242938,0.0423728813559322,0.031073446327683617,0.02824858757062147,0.01977401129943503,0.01694915254237288,0.002824858757062147,0.005649717514124294,0.0,0.00847457627118644,0.005649717514124294,0.0,0.0,0.005649717514124294,0.002824858757062147,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.002824858757062147,354.0,704,0.5028409090909091
