id,Фандъкова,Манолова,не подкрепям никого,total,eligible_voters,активност,активност
224601035,0.5729166666666666,0.3229166666666667,0.10416666666666667,288,656,0.0015243902439024389,0.43902439024390244
224601036,0.5517241379310345,0.31974921630094044,0.12852664576802508,319,722,0.0013850415512465374,0.44182825484764543
224601037,0.5272727272727272,0.36883116883116884,0.1038961038961039,385,792,0.0012626262626262627,0.4861111111111111
224601038,0.5505952380952381,0.34226190476190477,0.10714285714285714,336,768,0.0013020833333333333,0.4375
224601039,0.592814371257485,0.32934131736526945,0.07784431137724551,334,804,0.0012437810945273632,0.4154228855721393
224601040,0.5377049180327869,0.380327868852459,0.08196721311475409,305,661,0.00151285930408472,0.46142208774583965
224601041,0.41274238227146814,0.45706371191135736,0.13019390581717452,361,813,0.0012300123001230013,0.4440344403444034
224601042,0.39751552795031053,0.5,0.10248447204968944,322,637,0.0015698587127158557,0.5054945054945055
224601043,0.6,0.4,0.0,15,20,0.05,0.75
224601044,0.5853658536585366,0.4146341463414634,0.0,41,14,0.07142857142857142,2.9285714285714284
224601045,0.5294117647058824,0.4117647058823529,0.058823529411764705,34,256,0.00390625,0.1328125
224601046,0.7647058823529411,0.23529411764705882,0.0,17,15,0.06666666666666667,1.1333333333333333
224602001,0.48366013071895425,0.42810457516339867,0.08823529411764706,306,712,0.0014044943820224719,0.4297752808988764
224602002,0.5126050420168067,0.43977591036414565,0.047619047619047616,357,801,0.0012484394506866417,0.44569288389513106
224602003,0.536741214057508,0.38977635782747605,0.07348242811501597,313,706,0.00141643059490085,0.443342776203966
224602004,0.4532871972318339,0.4532871972318339,0.09342560553633218,289,607,0.0016474464579901153,0.47611202635914335
224602005,0.5324232081911263,0.3924914675767918,0.07508532423208192,293,675,0.0014814814814814814,0.43407407407407406
224602006,0.4590909090909091,0.41363636363636364,0.12727272727272726,220,553,0.0018083182640144665,0.39783001808318263
224602007,0.5333333333333333,0.38823529411764707,0.0784313725490196,255,613,0.0016313213703099511,0.4159869494290375
224602008,0.5017182130584192,0.39862542955326463,0.09965635738831616,291,790,0.0012658227848101266,0.36835443037974686
224602009,0.5714285714285714,0.37012987012987014,0.05844155844155844,308,791,0.0012642225031605561,0.3893805309734513
224602010,0.5306122448979592,0.3979591836734694,0.07142857142857142,294,712,0.0014044943820224719,0.41292134831460675
224602011,0.5794701986754967,0.36423841059602646,0.056291390728476824,302,800,0.0012499999999999998,0.3775
224602012,0.4965034965034965,0.44755244755244755,0.055944055944055944,286,691,0.001447178002894356,0.41389290882778584
224602013,0.3821138211382114,0.5203252032520326,0.0975609756097561,369,774,0.0012919896640826876,0.47674418604651164
224602014,0.5396341463414634,0.3719512195121951,0.08841463414634146,328,717,0.001394700139470014,0.45746164574616455
224602015,0.46551724137931033,0.46551724137931033,0.06896551724137931,290,695,0.0014388489208633094,0.4172661870503597
224602016,0.48509485094850946,0.43089430894308944,0.08401084010840108,369,799,0.0012515644555694619,0.4618272841051314
224602017,0.49843260188087773,0.44200626959247646,0.05956112852664577,319,699,0.001430615164520744,0.4563662374821173
224602018,0.43795620437956206,0.49635036496350365,0.06569343065693431,411,873,0.001145475372279496,0.47079037800687284
224602019,0.5376044568245125,0.3816155988857939,0.0807799442896936,359,779,0.0012836970474967907,0.46084724005134786
224602020,0.44386422976501305,0.4960835509138381,0.06005221932114883,383,847,0.0011806375442739079,0.45218417945690675
224602021,0.4398826979472141,0.49266862170087977,0.06744868035190615,341,727,0.001375515818431912,0.469050894085282
224602022,0.48247978436657685,0.4420485175202156,0.07547169811320754,371,750,0.0013333333333333333,0.49466666666666664
224602023,0.49538461538461537,0.4276923076923077,0.07692307692307693,325,810,0.0012345679012345679,0.4012345679012346
224602024,0.46366782006920415,0.4671280276816609,0.06920415224913495,289,725,0.001379310344827586,0.3986206896551724
224602025,0.4294478527607362,0.48773006134969327,0.08282208588957055,326,754,0.001326259946949602,0.4323607427055703
224602026,0.5094339622641509,0.42857142857142855,0.06199460916442048,371,800,0.0012499999999999998,0.46375
224602027,0.5118343195266272,0.4230769230769231,0.0650887573964497,338,841,0.0011890606420927466,0.40190249702734837
