секция,населено место,гласове април,гласове юли,спад %,ГЕРБ-СДС април,ГЕРБ-СДС юли,ГЕРБ-СДС спад %,ДПС април,ДПС юли,ДПС спад %,БСП април,БСП юли,БСП спад %,ИТН април,ИТН юли,ИТН спад %,МУТРИ ВЪН! април,МУТРИ ВЪН! юли,МУТРИ ВЪН! спад %,ДБ април,ДБ юли,ДБ спад %
132400011,гр.Костандово,630.0,270.0,57.14285714285714,235.0,36.0,84.68085106382979,238.0,84.0,64.70588235294117,33.0,23.0,30.303030303030305,44.0,88.0,-100.0,9.0,8.0,11.11111111111111,0.0,3.0,
132400012,гр.Костандово,436.0,208.0,52.293577981651374,121.0,21.0,82.64462809917356,186.0,60.0,67.74193548387096,37.0,28.0,24.324324324324326,50.0,71.0,-42.0,3.0,0.0,100.0,0.0,4.0,
Общо,,1949.0,845.0,56.64443304258594,655.0,96.0,85.34351145038168,794.0,263.0,66.87657430730478,105.0,85.0,19.047619047619047,145.0,286.0,-97.24137931034483,16.0,17.0,-6.25,4.0,16.0,-300.0
031600027,с.Величково,219.0,96.0,56.16438356164384,142.0,60.0,57.74647887323944,7.0,4.0,42.857142857142854,26.0,18.0,30.76923076923077,7.0,10.0,-42.857142857142854,1.0,1.0,0.0,1.0,1.0,0.0
Общо,,219.0,96.0,56.16438356164384,142.0,60.0,57.74647887323944,7.0,4.0,42.857142857142854,26.0,18.0,30.76923076923077,7.0,10.0,-42.857142857142854,1.0,1.0,0.0,1.0,1.0,0.0
282400033,с.Зараево,264.0,118.0,55.3030303030303,59.0,21.0,64.40677966101694,110.0,24.0,78.18181818181819,44.0,33.0,25.0,38.0,28.0,26.31578947368421,2.0,6.0,-200.0,0.0,3.0,
Общо,,264.0,118.0,55.3030303030303,59.0,21.0,64.40677966101694,110.0,24.0,78.18181818181819,44.0,33.0,25.0,38.0,28.0,26.31578947368421,2.0,6.0,-200.0,0.0,3.0,
293400119,с.Узунджово,393.0,169.0,56.99745547073791,234.0,39.0,83.33333333333334,41.0,32.0,21.951219512195124,50.0,25.0,50.0,22.0,44.0,-100.0,8.0,13.0,-62.5,1.0,9.0,-800.0
293400120,с.Узунджово,409.0,194.0,52.567237163814184,267.0,48.0,82.02247191011236,7.0,13.0,-85.71428571428571,71.0,59.0,16.901408450704224,35.0,47.0,-34.285714285714285,5.0,10.0,-100.0,1.0,3.0,-200.0
Общо,,802.0,363.0,54.738154613466335,501.0,87.0,82.63473053892216,48.0,45.0,6.25,121.0,84.0,30.57851239669421,57.0,91.0,-59.64912280701754,13.0,23.0,-76.92307692307693,2.0,12.0,-500.0
113800007,с.Брестница,342.0,157.0,54.09356725146199,54.0,34.0,37.03703703703704,199.0,36.0,81.90954773869346,38.0,29.0,23.684210526315788,19.0,35.0,-84.21052631578947,7.0,4.0,42.857142857142854,4.0,11.0,-175.0
Общо,,342.0,157.0,54.09356725146199,54.0,34.0,37.03703703703704,199.0,36.0,81.90954773869346,38.0,29.0,23.684210526315788,19.0,35.0,-84.21052631578947,7.0,4.0,42.857142857142854,4.0,11.0,-175.0
021500027,с.Оризаре,193.0,142.0,26.42487046632124,55.0,26.0,52.72727272727272,1.0,0.0,100.0,9.0,27.0,-200.0,31.0,47.0,-51.61290322580645,20.0,13.0,35.0,5.0,10.0,-100.0
021500028,с.Оризаре,273.0,79.0,71.06227106227107,40.0,5.0,87.5,107.0,6.0,94.39252336448598,42.0,10.0,76.19047619047619,18.0,29.0,-61.111111111111114,5.0,12.0,-140.0,7.0,7.0,0.0
Общо,,466.0,221.0,52.57510729613733,95.0,31.0,67.36842105263158,108.0,6.0,94.44444444444444,51.0,37.0,27.450980392156865,49.0,76.0,-55.10204081632652,25.0,25.0,0.0,12.0,17.0,-41.66666666666667
014200001,с.Боголин,305.0,145.0,52.459016393442624,36.0,35.0,2.7777777777777777,235.0,75.0,68.08510638297872,15.0,19.0,-26.666666666666668,5.0,11.0,-120.0,0.0,1.0,,0.0,3.0,
Общо,,305.0,145.0,52.459016393442624,36.0,35.0,2.7777777777777777,235.0,75.0,68.08510638297872,15.0,19.0,-26.666666666666668,5.0,11.0,-120.0,0.0,1.0,,0.0,3.0,
130800052,с.Чолакова,133.0,64.0,51.8796992481203,119.0,42.0,64.70588235294117,12.0,12.0,0.0,2.0,4.0,-100.0,0.0,2.0,,0.0,1.0,,0.0,1.0,
Общо,,133.0,64.0,51.8796992481203,119.0,42.0,64.70588235294117,12.0,12.0,0.0,2.0,4.0,-100.0,0.0,2.0,,0.0,1.0,,0.0,1.0,
131900154,с.Априлци,163.0,79.0,51.533742331288344,73.0,24.0,67.12328767123287,56.0,0.0,100.0,7.0,15.0,-114.28571428571428,7.0,29.0,-314.2857142857143,3.0,0.0,100.0,1.0,3.0,-200.0
Общо,,163.0,79.0,51.533742331288344,73.0,24.0,67.12328767123287,56.0,0.0,100.0,7.0,15.0,-114.28571428571428,7.0,29.0,-314.2857142857143,3.0,0.0,100.0,1.0,3.0,-200.0
020800016,с.Свобода,123.0,60.0,51.21951219512195,49.0,13.0,73.46938775510205,20.0,4.0,80.0,16.0,11.0,31.25,10.0,17.0,-70.0,9.0,6.0,33.33333333333333,3.0,1.0,66.66666666666666
Общо,,123.0,60.0,51.21951219512195,49.0,13.0,73.46938775510205,20.0,4.0,80.0,16.0,11.0,31.25,10.0,17.0,-70.0,9.0,6.0,33.33333333333333,3.0,1.0,66.66666666666666
113600005,с.Катунец,168.0,82.0,51.19047619047619,34.0,19.0,44.11764705882353,101.0,11.0,89.10891089108911,12.0,23.0,-91.66666666666666,12.0,13.0,-8.333333333333332,2.0,6.0,-200.0,0.0,0.0,
Общо,,168.0,82.0,51.19047619047619,34.0,19.0,44.11764705882353,101.0,11.0,89.10891089108911,12.0,23.0,-91.66666666666666,12.0,13.0,-8.333333333333332,2.0,6.0,-200.0,0.0,0.0,
014900003,с.Микрево,212.0,150.0,29.245283018867923,79.0,46.0,41.77215189873418,0.0,0.0,,23.0,19.0,17.391304347826086,40.0,48.0,-20.0,11.0,8.0,27.27272727272727,5.0,4.0,20.0
014900004,с.Микрево,176.0,139.0,21.022727272727273,82.0,41.0,50.0,1.0,1.0,0.0,30.0,33.0,-10.0,18.0,30.0,-66.66666666666666,7.0,9.0,-28.57142857142857,2.0,5.0,-150.0
014900005,с.Микрево,288.0,83.0,71.18055555555556,206.0,25.0,87.86407766990291,0.0,0.0,,22.0,12.0,45.45454545454545,11.0,20.0,-81.81818181818183,9.0,10.0,-11.11111111111111,1.0,4.0,-300.0
014900006,с.Микрево,312.0,112.0,64.1025641025641,240.0,44.0,81.66666666666667,1.0,0.0,100.0,23.0,17.0,26.08695652173913,14.0,18.0,-28.57142857142857,11.0,13.0,-18.181818181818183,3.0,1.0,66.66666666666666
Общо,,988.0,484.0,51.012145748987855,607.0,156.0,74.2998352553542,2.0,1.0,50.0,98.0,81.0,17.346938775510203,83.0,116.0,-39.75903614457831,38.0,40.0,-5.263157894736842,11.0,14.0,-27.27272727272727
