id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
864,4,3,53,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,8,65.0,73.0,146,1
878,270,131,13,30,54,26,13,7,2,2,0,2,3,0,2,2,4,1,0,0,4.0,0,1,1.0,0,0.0,0,42,568.0,610.0,1064,2
881,20,14,47,11,80,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,14,176.0,190.0,324,1
895,1057,527,220,112,317,200,113,164,38,12,26,8,5,19,10,13,7,4,2,3,6.0,6,2,0.0,1,0.0,0,106,2872.0,2978.0,6094,11
905,16,1,53,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,77.0,80.0,122,1
919,81,106,15,15,10,7,6,4,1,0,0,0,0,0,0,1,0,0,0,1,3.0,1,1,0.0,1,0.0,0,22,253.0,275.0,503,1
2021,6,5,3,0,3,1,2,29,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,1,50.0,51.0,109,1
2035,13,25,0,2,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,2,50.0,52.0,69,1
2049,48,24,0,5,8,42,4,0,0,0,2,0,0,2,0,0,0,0,1,1,0.0,0,0,0.0,0,0.0,0,13,137.0,150.0,220,1
2052,12,11,1,0,0,13,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,4,47.0,51.0,83,1
