municipality_name,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,невалидни,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Малко Търново,261,187,15,80,158,27,76,21,22.0,4,1,5,4,5.0,2,3,0,5,3,4,1,0,1,4,11,2,0,1,3,0,0.0,2485.0,2,02. БУРГАС,14,906.0,0.3645875251509054,BGS12
Марица,2456,1480,354,1059,756,325,459,392,378.0,52,50,24,43,3.0,36,18,14,28,29,25,14,11,19,23,15,12,8,4,6,3,0.0,24776.0,17,17. ПЛОВДИВ област,41,8096.0,0.3267678398450113,PDV17
Медковец,388,88,315,47,295,71,16,22,24.0,11,6,4,1,9.0,3,6,0,4,9,3,0,2,2,0,2,3,1,2,2,0,0.0,2906.0,12,12. МОНТАНА,8,1336.0,0.45973847212663455,MON26
Мездра,2393,935,498,523,939,184,236,231,217.0,58,73,26,28,77.0,23,13,13,13,25,15,4,6,9,13,11,5,9,5,5,9,0.0,16662.0,6,06. ВРАЦА,43,6596.0,0.39587084383627413,VRC27
Мизия,430,325,65,163,307,33,76,65,84.0,17,34,5,9,8.0,7,4,1,6,4,5,0,8,4,1,5,7,2,2,1,1,0.0,5558.0,6,06. ВРАЦА,15,1679.0,0.302087081684059,VRC28
Минерални бани,209,235,2559,110,116,21,64,30,28.0,10,3,5,3,8.0,4,6,3,8,2,4,1,4,3,0,3,2,0,1,2,3,0.0,6792.0,29,29. ХАСКОВО,19,3447.0,0.5075088339222615,HKV19
Мирково,169,81,9,67,78,43,46,31,39.0,11,3,3,3,12.0,3,2,2,0,0,2,8,5,0,0,3,3,1,1,0,0,0.0,1764.0,26,26. СОФИЯ област,6,625.0,0.3543083900226757,SFO56
Момчилград,652,302,6302,71,167,74,27,172,59.0,19,7,5,5,36.0,4,1,4,50,5,5,4,8,21,7,5,6,2,3,4,5,0.0,31556.0,9,09. КЪРДЖАЛИ,63,8032.0,0.25453162631512233,KRZ21
Монтана,4009,3218,2570,2055,1811,672,831,890,636.0,323,160,70,75,67.0,71,64,43,33,41,35,22,20,29,0,16,21,15,17,15,14,0.0,44641.0,12,12. МОНТАНА,84,17843.0,0.3996998275128245,MON29
Мъглиж,577,547,726,175,230,61,71,67,60.0,24,8,3,15,8.0,9,5,2,19,5,8,4,5,10,7,8,3,4,6,3,9,0.0,9561.0,27,27. СТАРА ЗАГОРА,16,2679.0,0.2802008158142454,SZR22
Невестино,189,128,32,61,184,16,61,33,19.0,13,11,3,1,13.0,3,1,0,4,5,2,1,2,1,2,0,0,1,1,1,1,0.0,1609.0,10,10. КЮСТЕНДИЛ,19,789.0,0.490366687383468,KNL31
Неделино,446,218,391,129,206,110,90,41,14.0,14,0,2,2,19.0,6,1,0,6,7,3,2,0,3,4,12,2,0,0,4,3,0.0,5307.0,22,22. СМОЛЯН,22,1735.0,0.32692670058413414,SML18
Несебър,1782,1657,165,1067,607,416,581,312,300.0,79,23,35,33,5.0,11,103,18,20,19,27,15,15,12,26,23,7,7,6,4,1,0.0,19988.0,2,02. БУРГАС,37,7376.0,0.3690214128477086,BGS15
Никола Козлево,1503,99,538,39,120,15,20,19,20.0,5,6,4,2,5.0,6,7,4,28,6,4,2,5,2,10,3,9,16,6,3,3,0.0,6934.0,30,30. ШУМЕН,14,2509.0,0.3618402076723392,SHU21
Николаево,210,116,529,62,132,19,29,31,15.0,4,6,3,13,2.0,0,4,0,14,4,0,1,2,5,3,4,2,0,0,0,1,0.0,3707.0,27,27. СТАРА ЗАГОРА,7,1211.0,0.32667925546263826,SZR38
Никопол,437,284,931,145,722,52,59,79,57.0,58,14,6,10,12.0,11,7,4,14,18,13,8,3,6,10,8,4,7,5,6,3,0.0,7774.0,15,15. ПЛЕВЕН,19,2993.0,0.385001286339079,PVN21
Нова Загора,3070,1666,430,977,1049,381,290,322,237.0,138,37,34,26,84.0,60,32,20,26,25,21,2,10,9,0,25,14,17,13,8,9,0.0,31899.0,21,21. СЛИВЕН,63,9032.0,0.28314367221542996,SLV16
Нови пазар,901,572,1314,376,943,136,109,157,114.0,26,27,13,18,23.0,15,7,4,25,11,10,11,6,7,13,4,9,9,7,0,4,0.0,16515.0,30,30. ШУМЕН,35,4871.0,0.2949439903118377,SHU22
Ново село,292,114,62,88,132,116,59,51,19.0,10,3,5,5,22.0,3,6,1,4,5,1,1,2,1,2,1,0,0,1,0,1,0.0,2074.0,5,05. ВИДИН,9,1007.0,0.48553519768563164,VID30
Омуртаг,765,487,5065,163,294,265,56,94,151.0,16,19,17,18,62.0,4,8,4,44,7,10,7,7,12,17,5,8,2,5,2,3,0.0,25126.0,28,28. ТЪРГОВИЩЕ,57,7617.0,0.30315211334872244,TGV22
Опака,189,86,1731,51,100,17,37,39,29.0,6,8,5,5,13.0,0,0,1,15,3,1,2,1,2,7,2,1,2,2,0,2,0.0,5704.0,28,28. ТЪРГОВИЩЕ,12,2357.0,0.413218793828892,TGV23
Опан,303,136,93,68,262,27,69,41,13.0,8,13,3,3,32.0,5,2,3,1,7,1,1,2,2,0,1,1,3,0,0,1,0.0,2051.0,27,27. СТАРА ЗАГОРА,13,1101.0,0.5368113115553389,SZR23
Оряхово,820,393,493,206,400,70,121,73,102.0,26,40,9,9,10.0,14,11,1,13,11,10,2,2,5,8,13,4,4,4,3,3,0.0,8984.0,6,06. ВРАЦА,18,2880.0,0.3205699020480855,VRC31
Павел баня,672,447,2146,369,334,96,108,97,94.0,28,25,11,21,14.0,6,11,8,36,10,10,3,13,9,8,4,12,3,1,1,6,0.0,13583.0,27,27. СТАРА ЗАГОРА,22,4603.0,0.33887948170507254,SZR24
Павликени,1416,886,879,627,1102,268,181,187,238.0,106,68,21,38,36.0,33,20,15,22,25,13,7,4,7,14,6,7,5,11,7,4,0.0,19482.0,4,04. ВЕЛИКО ТЪРНОВО,42,6253.0,0.3209629401498819,VTR22
Пазарджик,8216,5850,3417,3247,3250,1451,2005,1317,1152.0,459,193,158,202,74.0,113,153,50,69,65,50,48,42,56,65,29,41,29,29,19,24,0.0,99836.0,13,13. ПАЗАРДЖИК,151,31873.0,0.31925357586441766,PAZ19
Панагюрище,2218,1294,151,713,940,324,317,307,239.0,59,44,34,20,7.0,43,30,20,13,19,20,11,10,15,14,6,15,4,3,8,6,0.0,20513.0,13,13. ПАЗАРДЖИК,27,6904.0,0.3365670550382684,PAZ20
Перник,10189,5589,802,3303,2568,1502,1823,1262,1252.0,431,214,130,85,42.0,122,92,67,69,68,59,336,48,51,32,24,46,30,19,16,11,0.0,78375.0,14,14. ПЕРНИК,140,30282.0,0.3863732057416268,PER32
Перущица,385,247,87,125,109,103,37,28,42.0,13,4,1,3,0.0,3,4,1,2,2,6,0,0,1,2,6,2,1,2,0,0,0.0,4084.0,17,17. ПЛОВДИВ област,7,1216.0,0.29774730656219395,PDV40
Петрич,7083,2926,190,1193,1393,465,772,790,484.0,100,406,43,38,24.0,38,19,11,31,62,33,113,20,20,43,22,19,0,9,29,21,0.0,53454.0,1,01. БЛАГОЕВГРАД,90,16397.0,0.30674972873872863,BLG33
Пещера,1090,825,536,419,879,138,196,151,151.0,44,180,31,14,0.0,16,23,7,7,23,13,5,4,7,7,9,1,10,6,1,1,0.0,18339.0,13,13. ПАЗАРДЖИК,26,4794.0,0.2614101096024865,PAZ21
Пирдоп,682,447,195,279,204,122,134,107,139.0,13,24,3,7,0.0,13,5,7,5,6,6,2,11,4,3,4,4,2,3,1,0,0.0,6503.0,26,26. СОФИЯ област,14,2432.0,0.3739812394279563,SFO55
Плевен,9346,8802,1800,4490,4769,2363,2555,3201,1854.0,501,426,211,130,47.0,158,144,99,66,95,142,45,83,53,71,96,36,31,26,38,18,0.0,114739.0,15,15. ПЛЕВЕН,167,41696.0,0.3633986700250133,PVN24
Пловдив,29939,29597,3452,13053,9461,10042,7317,5304,5040.0,985,901,582,515,66.0,349,292,343,181,232,200,274,166,178,188,181,91,110,88,86,76,0.0,298158.0,16,16. ПЛОВДИВ град,473,119289.0,0.40008653130219546,PDV22
Полски Тръмбеш,715,481,869,297,626,69,86,141,103.0,68,27,10,16,13.0,17,10,2,20,12,5,2,7,2,10,4,5,1,2,5,4,0.0,11288.0,4,04. ВЕЛИКО ТЪРНОВО,22,3629.0,0.321491849751949,VTR26
Поморие,2355,1305,1418,904,535,369,353,271,238.0,66,34,32,28,20.0,13,9,12,17,17,18,6,14,10,22,32,11,3,6,11,6,0.0,23180.0,2,02. БУРГАС,51,8135.0,0.3509490940465919,BGS17
Попово,1413,987,602,748,639,206,1030,304,243.0,47,26,24,55,29.0,16,12,9,19,14,16,12,18,4,13,14,9,7,4,3,6,0.0,24538.0,28,28. ТЪРГОВИЩЕ,53,6529.0,0.26607710489852476,TGV24
Пордим,449,188,161,134,300,25,46,56,42.0,13,29,7,5,4.0,10,5,4,10,5,3,3,1,7,4,6,5,3,1,3,0,0.0,4638.0,15,15. ПЛЕВЕН,10,1529.0,0.3296679603277275,PVN27
Правец,630,421,242,193,546,94,98,85,101.0,25,5,10,22,35.0,6,11,6,15,9,9,6,15,6,14,6,6,3,2,10,2,0.0,6110.0,26,26. СОФИЯ област,16,2633.0,0.4309328968903437,SFO34
Приморско,824,400,95,227,126,62,182,76,79.0,15,15,3,10,4.0,6,1,7,4,3,7,3,19,4,12,7,4,3,1,3,0,0.0,5266.0,2,02. БУРГАС,9,2202.0,0.41815419673376375,BGS27
