municipality_name,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,невалидни,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1169,438,255,281,273,89,93,83,58.0,80,11,8,5,27.0,12,6,5,13,5,8,9,11,14,15,4,5,9,6,2,8,2.0,6708.0,3,03. ВАРНА,17,3004.0,0.44782349433512225,VAR01
Айтос,2531,993,2728,579,662,192,340,197,197.0,34,22,11,25,18.0,18,25,17,24,21,25,10,9,9,14,13,8,11,4,5,7,0.0,27556.0,2,02. БУРГАС,50,8749.0,0.3174989113078821,BGS01
Аксаково,2566,1154,587,896,623,235,265,256,196.0,55,27,29,23,48.0,10,15,12,23,14,12,6,10,5,8,13,9,30,1,4,8,12.0,17033.0,3,03. ВАРНА,38,7152.0,0.41989080021135444,VAR02
Алфатар,405,146,149,45,114,30,30,44,28.0,5,2,1,1,6.0,4,1,1,3,1,1,1,0,2,2,1,5,0,2,2,0,0.0,2558.0,20,20. СИЛИСТРА,11,1032.0,0.4034401876465989,SLS01
Антон,75,97,63,49,38,25,21,9,8.0,3,1,0,1,0.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0.0,1241.0,26,26. СОФИЯ област,2,397.0,0.31990330378726833,SFO54
Антоново,288,111,1833,48,195,35,18,64,38.0,11,2,8,2,55.0,2,3,0,6,2,2,0,3,2,3,2,2,1,1,1,0,0.0,5574.0,28,28. ТЪРГОВИЩЕ,40,2738.0,0.4912091855041263,TGV02
Априлци,376,179,8,123,120,62,45,32,33.0,4,6,5,4,5.0,6,3,0,0,2,2,0,3,0,2,2,0,1,0,1,1,0.0,2421.0,11,11. ЛОВЕЧ,7,1025.0,0.42337876910367617,LOV02
Ардино,493,255,5539,46,137,59,52,30,54.0,10,3,0,7,13.0,2,2,0,23,8,3,1,3,5,7,2,4,2,2,2,9,0.0,25110.0,9,09. КЪРДЖАЛИ,58,6773.0,0.2697331740342493,KRZ02
Асеновград,5670,3478,3734,1734,2555,830,920,706,592.0,146,62,61,51,42.0,64,33,35,36,38,27,18,16,29,32,38,29,13,11,12,9,0.0,56511.0,17,17. ПЛОВДИВ област,109,21021.0,0.3719806763285024,PDV01
Балчик,857,855,962,667,486,199,343,161,154.0,67,65,13,13,23.0,17,13,18,13,12,12,11,1,11,11,6,8,8,2,3,5,0.0,17455.0,8,08. ДОБРИЧ,38,5016.0,0.28736751647092523,DOB03
Баните,437,260,262,39,220,46,26,84,44.0,16,2,2,2,27.0,0,1,0,4,2,2,1,2,2,2,0,1,3,0,1,0,0.0,3411.0,22,22. СМОЛЯН,17,1488.0,0.436235708003518,SML02
Банско,1758,904,129,462,625,242,353,169,271.0,41,44,21,13,8.0,13,12,6,11,12,10,11,9,8,9,4,2,0,4,2,6,0.0,10872.0,1,01. БЛАГОЕВГРАД,23,5159.0,0.47452170713760117,BLG01
Батак,365,194,1319,98,117,38,80,45,73.0,6,18,3,13,0.0,1,3,2,4,2,3,2,2,2,4,2,4,1,3,0,2,0.0,5131.0,13,13. ПАЗАРДЖИК,9,2406.0,0.468914441629312,PAZ03
Белене,477,585,88,289,590,98,140,119,137.0,63,18,8,6,16.0,13,5,8,7,10,8,2,6,6,5,2,5,7,5,2,2,0.0,7770.0,15,15. ПЛЕВЕН,17,2727.0,0.35096525096525094,PVN03
Белица,329,121,3929,61,227,10,37,10,41.0,6,12,7,7,24.0,2,3,2,16,3,1,3,6,1,4,2,0,0,3,1,1,0.0,7951.0,1,01. БЛАГОЕВГРАД,19,4869.0,0.6123758017859389,BLG02
Белово,977,417,92,278,425,87,141,96,91.0,32,17,14,5,0.0,13,11,2,6,17,16,4,5,3,15,3,3,4,2,1,1,0.0,7193.0,13,13. ПАЗАРДЖИК,11,2778.0,0.3862088141248436,PAZ04
Белоградчик,527,286,494,115,223,145,74,58,55.0,20,6,8,1,19.0,5,5,5,9,10,3,5,2,1,3,5,3,1,1,3,2,0.0,5208.0,5,05. ВИДИН,19,2094.0,0.402073732718894,VID01
Белослав,828,505,131,372,226,88,97,154,101.0,51,15,5,17,0.0,11,4,7,9,3,8,3,3,8,10,8,3,8,1,2,7,6.0,8977.0,3,03. ВАРНА,14,2691.0,0.29976606884259777,VAR04
Берковица,1187,1030,1255,457,603,115,157,211,170.0,142,23,26,11,18.0,23,21,7,23,20,14,12,12,7,0,7,8,5,8,3,3,0.0,14916.0,12,12. МОНТАНА,41,5578.0,0.37396084741217483,MON02
Благоевград,8208,6168,1660,2386,2569,1439,1865,1311,979.0,179,426,108,68,17.0,57,44,54,38,94,45,40,64,43,45,21,25,0,22,21,14,0.0,91566.0,1,01. БЛАГОЕВГРАД,142,28010.0,0.3058995697092807,BLG03
Бобов дол,656,354,110,228,436,55,316,77,63.0,58,12,8,8,16.0,10,3,2,7,12,5,2,2,3,2,3,4,2,6,3,2,0.0,6693.0,10,10. КЮСТЕНДИЛ,27,2465.0,0.3682952338263858,KNL04
Бобошево,251,152,67,51,116,24,48,28,20.0,6,2,2,0,9.0,4,3,3,3,7,2,0,0,1,0,15,2,0,1,1,0,0.0,1988.0,10,10. КЮСТЕНДИЛ,10,818.0,0.41146881287726356,KNL05
Божурище,889,552,53,326,248,223,189,101,143.0,25,34,7,11,1.0,15,4,10,4,7,7,5,6,5,7,1,5,3,1,1,3,0.0,6356.0,26,26. СОФИЯ област,12,2886.0,0.4540591567023285,SFO06
Бойница,212,62,15,15,46,19,5,6,10.0,2,0,0,1,26.0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,726.0,5,05. ВИДИН,5,425.0,0.5853994490358126,VID03
Бойчиновци,520,301,967,230,235,38,45,91,43.0,16,101,6,11,12.0,4,5,3,10,5,12,1,3,2,0,3,5,6,5,0,1,0.0,6954.0,12,12. МОНТАНА,19,2681.0,0.38553350589588725,MON04
Болярово,292,165,17,144,716,21,42,27,41.0,2,4,11,3,42.0,11,2,1,8,19,10,3,2,2,2,4,6,6,5,3,2,0.0,2663.0,31,31. ЯМБОЛ,21,1613.0,0.6057078482914007,JAM03
Борино,121,120,1144,17,73,71,30,22,16.0,1,0,1,2,4.0,1,2,0,7,2,1,0,1,2,2,0,1,1,0,0,0,0.0,3189.0,22,22. СМОЛЯН,9,1642.0,0.5148949513954217,SML05
Борован,304,173,906,81,181,20,26,45,55.0,10,8,4,8,25.0,8,6,1,26,4,4,2,6,4,2,2,8,5,4,1,4,0.0,4318.0,6,06. ВРАЦА,13,1933.0,0.4476609541454377,VRC05
Борово,441,248,196,119,164,38,46,48,46.0,15,17,5,4,9.0,5,2,2,7,5,7,2,4,4,2,3,3,3,4,0,1,0.0,4858.0,19,19. РУСЕ,10,1450.0,0.2984767393989296,RSE03
Ботевград,2851,1735,366,1001,1162,552,659,564,465.0,127,35,45,29,15.0,37,17,22,26,28,29,59,128,12,21,10,12,14,4,26,4,0.0,27328.0,26,26. СОФИЯ област,45,10055.0,0.3679376463700234,SFO07
Братя Даскалови,454,250,618,163,367,55,62,56,30.0,6,6,15,17,25.0,8,14,4,9,8,4,1,3,3,2,6,2,3,4,1,0,0.0,5706.0,27,27. СТАРА ЗАГОРА,23,2196.0,0.38485804416403785,SZR04
Брацигово,756,421,85,222,333,51,54,59,64.0,15,34,6,17,1.0,4,8,5,4,4,8,3,4,2,5,7,5,6,2,2,2,0.0,7426.0,13,13. ПАЗАРДЖИК,16,2189.0,0.2947751144626986,PAZ06
Брегово,886,241,156,105,378,78,28,34,76.0,15,9,7,6,33.0,4,3,3,4,7,6,2,2,5,6,3,4,3,8,2,3,0.0,4014.0,5,05. ВИДИН,15,2117.0,0.5274040857000498,VID06
Брезник,762,361,41,176,256,76,80,95,79.0,43,6,10,3,16.0,9,8,3,3,6,7,12,1,2,2,0,4,1,3,3,1,0.0,5074.0,14,14. ПЕРНИК,26,2069.0,0.40776507686243596,PER08
Брезово,532,308,10,173,509,43,52,62,48.0,8,13,10,9,39.0,9,4,2,4,10,5,3,6,1,4,1,1,5,3,1,1,0.0,5094.0,17,17. ПЛОВДИВ област,19,1876.0,0.3682764036120927,PDV07
Брусарци,587,188,855,105,118,9,14,30,28.0,22,7,6,4,33.0,6,2,2,7,7,4,0,4,4,0,3,3,1,2,1,1,0.0,3563.0,12,12. МОНТАНА,16,2053.0,0.5761998316025821,MON07
Бургас,19929,16248,1214,8178,5731,5364,5036,2993,3090.0,707,441,312,223,57.0,177,213,175,94,135,253,154,141,106,79,254,78,53,33,35,25,0.0,182241.0,2,02. БУРГАС,342,71528.0,0.3924912615712161,BGS04
Бяла (Варна),279,193,53,196,70,24,44,50,40.0,7,5,0,1,6.0,6,3,1,1,2,3,3,0,0,1,2,2,1,0,0,5,0.0,2572.0,3,03. ВАРНА,6,998.0,0.3880248833592535,VAR05
Бяла (Русе),1347,600,305,338,373,97,133,149,106.0,43,21,13,14,51.0,17,7,9,16,12,5,1,6,7,11,9,12,10,3,7,2,0.0,11374.0,19,19. РУСЕ,26,3724.0,0.3274133989801301,RSE04
Бяла Слатина,3346,1387,1032,503,661,199,158,266,300.0,63,39,22,17,16.0,29,20,15,22,13,21,10,15,7,22,9,12,11,5,9,5,0.0,19474.0,6,06. ВРАЦА,46,8234.0,0.4228201704837219,VRC08
Варна,33306,28805,3289,17006,8306,10098,6411,5505,4793.0,1560,778,653,395,38.0,307,248,369,121,144,217,271,215,185,136,156,93,114,63,54,43,276.0,292489.0,3,03. ВАРНА,407,123955.0,0.42379371531920856,VAR06
Велики Преслав,855,642,479,281,363,95,108,135,110.0,17,17,13,14,16.0,7,6,1,12,7,6,2,5,7,7,8,7,7,7,1,5,0.0,12293.0,30,30. ШУМЕН,23,3240.0,0.26356463027739363,SHU23
Велико Търново,7440,5965,1870,3653,3019,1839,1336,1301,1294.0,285,427,142,190,55.0,100,90,99,37,43,45,42,58,42,54,48,25,19,9,11,19,0.0,71646.0,4,04. ВЕЛИКО ТЪРНОВО,141,29557.0,0.4125422214778215,VTR04
Велинград,4075,1644,1945,880,821,275,470,272,247.0,53,28,32,35,29.0,22,21,10,19,16,13,13,17,9,10,10,4,8,5,7,4,0.0,30932.0,13,13. ПАЗАРДЖИК,52,10994.0,0.35542480279322386,PAZ08
Венец,826,123,2239,17,40,8,14,10,25.0,10,2,4,7,3.0,2,1,1,41,2,4,6,5,6,15,5,7,4,3,5,4,0.0,10216.0,30,30. ШУМЕН,17,3439.0,0.33662881754111196,SHU07
Ветово,249,280,2505,144,170,30,52,44,41.0,14,27,8,15,6.0,7,7,2,17,7,3,6,6,9,8,6,8,1,0,2,3,0.0,12211.0,19,19. РУСЕ,23,3677.0,0.3011219392351159,RSE05
Ветрино,680,191,385,190,145,37,61,50,44.0,14,12,6,4,19.0,6,3,2,8,4,4,3,4,4,6,5,1,6,3,0,5,1.0,4650.0,3,03. ВАРНА,13,1903.0,0.409247311827957,VAR08
Видин,4418,3369,1560,1673,1907,1334,637,618,623.0,290,48,96,70,60.0,78,51,44,40,55,38,17,27,23,14,19,15,15,11,15,9,0.0,56566.0,5,05. ВИДИН,129,17174.0,0.30360994236820704,VID09
Враца,7282,4234,1108,2434,2171,1005,1210,1201,899.0,359,373,85,66,33.0,99,70,48,33,71,42,38,38,43,22,17,27,22,36,8,15,0.0,65558.0,6,06. ВРАЦА,113,23089.0,0.35219195216449556,VRC10
Вълчедръм,317,281,1728,150,267,28,37,68,39.0,38,6,8,10,27.0,8,7,3,8,10,4,1,1,4,0,2,2,2,3,0,1,0.0,7106.0,12,12. МОНТАНА,21,3060.0,0.430622009569378,MON11
Вълчи дол,1072,354,407,258,275,49,100,74,66.0,59,24,12,12,43.0,11,4,3,18,7,8,6,4,11,8,7,2,2,1,3,4,2.0,7864.0,3,03. ВАРНА,26,2906.0,0.36953204476093593,VAR09
Върбица,250,78,3489,38,106,11,11,27,28.0,8,7,6,3,3.0,1,3,1,16,2,2,1,1,2,5,1,0,0,0,0,2,0.0,11316.0,30,30. ШУМЕН,23,4102.0,0.3624955814775539,SHU10
Вършец,787,465,555,161,313,89,49,68,54.0,34,11,4,10,22.0,8,11,4,7,9,5,0,16,6,0,1,3,1,4,2,1,0.0,6275.0,12,12. МОНТАНА,18,2700.0,0.4302788844621514,MON12
Габрово,7627,4122,405,2568,1750,1072,762,847,808.0,187,144,81,92,73.0,60,35,73,21,53,25,46,37,34,15,32,20,24,9,12,8,0.0,54783.0,7,07. ГАБРОВО,113,21042.0,0.3840972564481682,GAB05
Генерал Тошево,696,465,222,400,847,121,173,177,88.0,49,23,11,12,39.0,26,7,11,15,21,7,6,5,6,7,6,1,3,2,4,3,0.0,12305.0,8,08. ДОБРИЧ,47,3453.0,0.2806176351076798,DOB12
Георги Дамяново,374,207,53,74,170,49,53,23,27.0,13,4,6,0,27.0,2,7,2,4,4,2,0,1,0,0,0,2,1,2,1,0,0.0,1845.0,12,12. МОНТАНА,13,1108.0,0.6005420054200542,MON14
Главиница,608,267,3324,92,177,25,34,70,52.0,11,12,6,14,10.0,5,5,3,18,12,5,2,5,2,8,3,0,1,3,2,8,0.0,10727.0,20,20. СИЛИСТРА,27,4784.0,0.44597744010440943,SLS07
Годеч,621,219,41,137,132,40,129,37,78.0,55,2,19,6,10.0,5,5,0,2,4,9,4,6,4,0,4,1,0,2,0,2,0.0,4251.0,26,26. СОФИЯ област,11,1574.0,0.3702658198071042,SFO09
Горна Малина,573,265,57,196,383,124,89,76,72.0,15,21,11,4,28.0,5,3,4,7,9,3,2,8,1,4,0,0,1,2,2,0,0.0,4576.0,26,26. СОФИЯ област,15,1965.0,0.4294143356643357,SFO10
Горна Оряховица,3318,2407,889,1704,2063,702,673,574,595.0,97,221,60,52,33.0,46,40,64,42,67,25,14,36,23,25,15,14,23,9,5,8,0.0,39638.0,4,04. ВЕЛИКО ТЪРНОВО,67,13844.0,0.34926081033351836,VTR06
Гоце Делчев,2302,1270,2744,730,2184,325,333,203,305.0,24,113,41,17,13.0,29,26,12,22,14,19,9,4,10,12,4,3,0,4,5,5,0.0,27938.0,1,01. БЛАГОЕВГРАД,43,10782.0,0.3859259789533968,BLG11
Грамада,97,132,29,24,95,220,17,17,8.0,6,1,2,0,1.0,2,2,0,1,6,4,0,1,0,1,2,0,0,0,3,0,0.0,1360.0,5,05. ВИДИН,9,671.0,0.4933823529411765,VID15
Гулянци,530,345,56,260,617,74,94,142,73.0,23,12,11,7,11.0,7,7,2,11,7,7,4,9,2,2,3,2,7,1,0,4,0.0,9522.0,15,15. ПЛЕВЕН,21,2330.0,0.24469649233354338,PVN08
Гурково,187,173,643,130,190,43,20,44,20.0,8,8,1,13,3.0,2,2,3,13,5,9,3,1,2,0,3,2,2,12,2,5,0.0,4192.0,27,27. СТАРА ЗАГОРА,11,1549.0,0.36951335877862596,SZR37
Гълъбово,655,808,143,391,575,71,162,185,150.0,33,13,10,15,14.0,19,20,3,18,13,9,2,9,7,17,9,5,13,2,9,3,0.0,9797.0,27,27. СТАРА ЗАГОРА,23,3383.0,0.34530978871082985,SZR07
Гърмен,937,303,4358,146,359,109,91,120,85.0,5,35,13,7,13.0,3,4,4,19,12,5,1,5,5,8,2,5,0,4,3,0,0.0,12573.0,1,01. БЛАГОЕВГРАД,24,6661.0,0.5297860494710889,BLG13
Две могили,574,348,435,176,244,32,61,55,44.0,15,27,12,3,12.0,3,1,3,7,12,4,3,1,2,3,1,6,2,1,2,1,0.0,7580.0,19,19. РУСЕ,15,2090.0,0.2757255936675462,RSE08
Девин,939,501,952,153,474,83,106,131,114.0,11,10,7,10,7.0,9,11,3,11,13,8,2,4,8,11,3,2,8,2,0,2,0.0,10422.0,22,22. СМОЛЯН,24,3595.0,0.3449433889848398,SML09
Девня,1562,329,46,234,167,39,101,91,64.0,56,14,8,4,7.0,6,2,2,6,7,3,5,2,8,8,11,4,16,4,2,4,1.0,7665.0,3,03. ВАРНА,11,2813.0,0.3669928245270711,VAR14
Джебел,519,119,4812,42,82,15,13,36,32.0,3,5,4,1,8.0,1,1,0,22,0,2,2,3,2,5,2,2,0,1,0,1,0.0,22723.0,9,09. КЪРДЖАЛИ,45,5735.0,0.252387448840382,KRZ08
Димитровград,4089,3145,345,2203,1450,1108,1106,638,596.0,181,47,88,97,52.0,42,50,30,24,52,36,39,20,27,31,11,12,13,10,11,18,0.0,46461.0,29,29. ХАСКОВО,91,15571.0,0.3351413013064721,HKV09
Димово,328,215,1018,96,172,181,80,32,37.0,12,7,6,8,33.0,9,4,3,6,6,5,0,4,3,4,7,6,2,4,2,3,0.0,4847.0,5,05. ВИДИН,27,2293.0,0.4730761295646792,VID16
Добрич,5821,5802,922,3649,3016,1538,1453,1123,1056.0,316,213,117,78,16.0,85,56,104,42,64,57,41,69,50,52,57,23,21,12,11,9,0.0,81359.0,8,08. ДОБРИЧ,130,25873.0,0.31801030002826974,DOB28
Добрич-селска,970,667,1705,508,1551,129,122,160,102.0,35,14,24,20,85.0,17,11,15,27,23,15,7,8,6,16,9,5,18,13,4,11,0.0,20810.0,8,08. ДОБРИЧ,68,6297.0,0.3025949062950505,DOB15
Долна Митрополия,1113,732,290,444,746,145,155,359,174.0,52,24,15,16,6.0,21,8,8,15,17,12,6,10,9,15,12,10,7,2,13,1,0.0,15817.0,15,15. ПЛЕВЕН,34,4437.0,0.28052095846241387,PVN10
Долна баня,1287,224,6,107,90,43,89,41,60.0,15,8,4,6,10.0,4,8,4,7,5,8,6,5,2,8,5,5,3,2,3,2,0.0,3782.0,26,26. СОФИЯ област,8,2067.0,0.5465362242199894,SFO59
Долни Дъбник,618,382,407,217,680,77,93,101,89.0,37,32,11,14,3.0,12,4,11,23,11,14,4,6,4,8,6,7,6,3,3,5,0.0,11658.0,15,15. ПЛЕВЕН,21,2888.0,0.2477268828272431,PVN11
Долни чифлик,2040,437,776,401,394,63,116,85,80.0,40,35,28,12,21.0,16,9,5,29,13,13,6,9,8,14,12,14,14,4,3,18,1.0,15782.0,3,03. ВАРНА,29,4716.0,0.29882144214928397,VAR13
Доспат,1681,473,260,79,338,49,92,102,59.0,11,2,7,7,2.0,3,2,2,5,7,6,1,4,4,6,3,1,4,0,1,3,0.0,7531.0,22,22. СМОЛЯН,13,3214.0,0.4267693533395299,SML10
Драгоман,623,286,25,107,159,55,149,51,61.0,14,95,4,32,24.0,8,3,1,0,5,4,1,3,1,2,0,2,2,2,2,1,0.0,4069.0,26,26. СОФИЯ област,18,1722.0,0.4231998033914967,SFO16
Дряново,567,531,118,289,752,107,93,114,82.0,34,27,15,13,21.0,8,16,5,9,7,7,5,2,3,4,4,4,3,0,3,6,0.0,7477.0,7,07. ГАБРОВО,24,2849.0,0.3810351745352414,GAB12
Дулово,3071,415,4966,264,277,61,64,100,101.0,22,14,6,10,4.0,11,6,5,21,13,14,13,14,7,19,5,7,5,15,9,5,0.0,29089.0,20,20. СИЛИСТРА,43,9544.0,0.3280965313348688,SLS10
Дупница,4722,2538,431,1342,1500,488,1066,604,519.0,185,143,56,36,29.0,59,35,27,30,38,48,14,20,27,29,11,22,9,9,11,4,0.0,39165.0,10,10. КЮСТЕНДИЛ,73,14052.0,0.3587897357334355,KNL48
Дългопол,2066,267,1440,182,435,128,66,49,48.0,19,15,10,10,21.0,7,6,1,13,16,8,9,6,8,12,4,5,5,3,8,12,4.0,12390.0,3,03. ВАРНА,28,4883.0,0.39410815173527036,VAR16
Елена,1089,457,343,267,420,119,88,81,59.0,19,21,7,7,21.0,8,9,7,12,9,8,4,8,4,3,4,5,12,1,3,2,0.0,7879.0,4,04. ВЕЛИКО ТЪРНОВО,25,3097.0,0.39307018657189996,VTR13
Елин Пелин,1923,1190,166,807,584,431,337,330,351.0,77,152,22,33,9.0,23,15,35,11,15,14,11,11,8,13,7,14,4,4,10,2,0.0,17900.0,26,26. СОФИЯ област,33,6609.0,0.36921787709497206,SFO17
Елхово,1193,708,106,354,655,131,184,131,113.0,36,13,17,16,32.0,23,15,8,9,10,11,8,10,6,9,3,7,5,1,5,5,0.0,12644.0,31,31. ЯМБОЛ,30,3824.0,0.3024359379943056,JAM07
Етрополе,910,741,403,398,559,155,149,153,181.0,39,28,9,16,29.0,5,7,8,10,12,25,14,10,5,10,3,6,7,7,2,2,0.0,10160.0,26,26. СОФИЯ област,20,3903.0,0.3841535433070866,SFO18
