id,БСП,ГЕРБ-СДС,ВЪЗР,ИТН,НП ИСИ,АТАКА (к.),БНО,ЗАЕДНО,БНС-НД,НДСВ,КОД,ПП/ДБ,ДПС,ЛЕВИЦАТА,БВ,МИР,ЕВРОЛЕВИЦА,БСДД,ГЛАС НАРОДЕН,СПБП,ВЪН ОТ ЕС,независими,не подкрепям никого,total,eligible_voters,активност
39195,0.12121212121212122,0.12121212121212122,0.09090909090909091,0.21212121212121213,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,33.0,68,0.4852941176470588
39205,0.11811023622047244,0.48031496062992124,0.11811023622047244,0.015748031496062992,0.007874015748031496,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.15748031496062992,0.007874015748031496,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07874015748031496,127.0,227,0.5594713656387665
39222,0.3170731707317073,0.21951219512195122,0.07317073170731707,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682926829268293,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,47,0.8723404255319149
39236,0.17391304347826086,0.34299516908212563,0.10144927536231885,0.024154589371980676,0.0,0.00966183574879227,0.0,0.0,0.0,0.0,0.0,0.0966183574879227,0.00966183574879227,0.004830917874396135,0.21256038647342995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024154589371980676,207.0,583,0.35506003430531735
39242,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31,0.967741935483871
39267,0.03636363636363636,0.4727272727272727,0.16363636363636364,0.0,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.16363636363636364,0.01818181818181818,0.01818181818181818,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,51,1.0784313725490196
39270,0.012131715771230503,0.04072790294627383,0.006932409012131715,0.0034662045060658577,0.0,0.0008665511265164644,0.0017331022530329288,0.0,0.0,0.0008665511265164644,0.0,0.010398613518197574,0.8934142114384749,0.004332755632582322,0.01559792027729636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009532062391681109,1154.0,2078,0.5553416746871992
39298,0.01834862385321101,0.009174311926605505,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.9541284403669725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,257,0.42412451361867703
39325,0.03333333333333333,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,30.0,26,1.1538461538461537
39339,0.11386138613861387,0.33663366336633666,0.1782178217821782,0.05693069306930693,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.15841584158415842,0.06435643564356436,0.007425742574257425,0.039603960396039604,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0024752475247524753,0.0,0.017326732673267328,404.0,1480,0.27297297297297296
39342,0.018867924528301886,0.04716981132075472,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.7735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08490566037735849,106.0,470,0.225531914893617
39356,0.65,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24,0.8333333333333334
39387,0.04573170731707317,0.6097560975609756,0.08841463414634146,0.024390243902439025,0.0,0.0,0.0,0.003048780487804878,0.0,0.003048780487804878,0.003048780487804878,0.14329268292682926,0.006097560975609756,0.018292682926829267,0.018292682926829267,0.0,0.003048780487804878,0.0,0.0,0.0,0.006097560975609756,0.0,0.027439024390243903,328.0,549,0.5974499089253188
39390,0.025839793281653745,0.13178294573643412,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031007751937984496,0.772609819121447,0.002583979328165375,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015503875968992248,387.0,973,0.3977389516957862
39400,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12631578947368421,0.7052631578947368,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031578947368421054,95.0,250,0.38
39428,0.07317073170731707,0.23170731707317074,0.3048780487804878,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.06097560975609756,0.024390243902439025,0.06097560975609756,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,82.0,143,0.5734265734265734
39431,0.026785714285714284,0.42857142857142855,0.11607142857142858,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19642857142857142,0.13392857142857142,0.008928571428571428,0.03571428571428571,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,112.0,319,0.3510971786833856
39445,0.008771929824561403,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.8771929824561403,0.017543859649122806,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,114.0,241,0.4730290456431535
