municipality_name,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,невалидни,ВЪЗР,ВОЛЯ И НФСБ,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,БСДД,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Сапарева баня,1103,766,587,11,94,157,273,67,117,40,38,33,190,30,25,3,19,37,4,6,2,2,0,5,4,10,6,4,2,4,6,0,0.0,6337,10,10. КЮСТЕНДИЛ,10,3645.0,0.5751933091368155,KNL41
Сатовча,1785,451,428,3753,45,47,368,33,125,25,21,32,239,2,7,21,8,7,6,3,2,10,0,2,1,1,1,2,1,4,1,3,42.0,14869,1,01. БЛАГОЕВГРАД,23,7476.0,0.5027910417647454,BLG42
Свиленград,5497,1762,1858,137,383,464,177,244,345,219,116,107,143,47,43,15,45,11,10,16,14,6,4,4,9,9,20,8,6,7,7,1,0.0,19288,29,29. ХАСКОВО,46,11734.0,0.6083575279966819,HKV28
Свищов,2822,3443,2933,680,638,689,404,345,302,255,279,206,37,68,89,37,53,64,25,15,10,7,5,10,6,17,13,18,8,4,10,5,0.0,28563,4,04. ВЕЛИКО ТЪРНОВО,55,13497.0,0.472534397647306,VTR28
Своге,2840,1456,1526,976,388,259,191,250,215,180,108,178,52,44,41,34,32,17,33,11,16,13,6,9,11,7,12,6,9,3,2,3,0.0,17106,26,26. СОФИЯ област,44,8928.0,0.5219221325850579,SFO43
Севлиево,4501,3055,2065,1220,558,580,424,377,556,297,370,203,178,76,96,53,53,24,41,26,22,8,12,11,18,17,18,63,9,12,12,5,0.0,31763,7,07. ГАБРОВО,72,14960.0,0.4709882567767528,GAB29
Септември,2611,1538,1954,2568,238,271,273,264,398,96,119,130,217,48,78,32,55,22,12,16,19,18,7,30,8,8,16,7,13,3,7,2,0.0,21642,13,13. ПАЗАРДЖИК,31,11078.0,0.5118750577580631,PAZ29
Силистра,5889,4203,4017,1411,1475,874,1258,516,561,433,633,264,67,93,84,124,110,31,27,16,19,13,52,40,19,14,15,22,11,16,4,13,0.0,48392,20,20. СИЛИСТРА,99,22324.0,0.4613159199867747,SLS31
Симеоновград,2498,342,627,115,62,99,22,52,132,44,58,22,18,13,12,5,19,3,1,4,4,4,1,1,2,1,9,3,0,11,2,2,0.0,7047,29,29. ХАСКОВО,16,4188.0,0.5942954448701575,HKV29
Симитли,5606,901,546,120,172,150,109,126,178,61,84,65,18,16,13,8,13,7,9,5,10,23,3,5,9,6,6,4,1,50,5,0,3.0,12495,1,01. БЛАГОЕВГРАД,28,8332.0,0.6668267306922769,BLG44
Ситово,527,198,333,1159,28,57,47,7,99,14,42,32,3,14,9,6,4,4,1,1,2,2,0,0,0,2,3,0,1,0,0,1,0.0,5131,20,20. СИЛИСТРА,14,2596.0,0.5059442603780939,SLS32
Сливен,13269,8704,7753,2241,2779,2647,1341,1351,1644,1080,1393,522,329,189,249,186,244,77,75,53,105,28,117,68,64,56,66,45,28,35,21,9,0.0,109216,21,21. СЛИВЕН,190,46768.0,0.42821564605918544,SLV20
Сливница,1368,833,634,51,258,170,122,124,101,56,57,64,101,24,15,22,13,5,3,4,10,2,7,5,9,1,8,10,4,2,5,1,0.0,7509,26,26. СОФИЯ област,17,4089.0,0.5445465441470235,SFO45
Сливо поле,1053,431,721,1054,77,96,109,60,149,45,51,50,71,15,26,13,19,8,5,2,10,4,3,2,5,10,5,3,4,3,4,1,0.0,10177,19,19. РУСЕ,17,4109.0,0.4037535619534244,RSE33
Смолян,5061,3638,2724,1123,1153,966,406,458,332,252,358,344,243,123,77,68,48,31,31,26,21,15,7,24,23,18,18,10,11,12,9,5,0.0,33946,22,22. СМОЛЯН,92,17635.0,0.5195015613032463,SML31
Смядово,762,291,326,207,28,70,54,37,117,37,96,22,25,4,14,4,5,2,5,3,6,0,2,1,1,4,4,1,0,2,1,0,0.0,5426,30,30. ШУМЕН,13,2131.0,0.39273866568374494,SHU25
Созопол,1063,668,1975,186,373,266,238,119,145,120,451,80,54,21,12,13,45,21,4,7,10,5,17,7,4,5,7,3,9,1,3,0,0.0,10849,2,02. БУРГАС,21,5932.0,0.5467785049313301,BGS21
Сопот,689,1121,908,90,166,228,158,155,78,100,128,96,297,34,36,8,14,3,10,4,6,2,9,2,2,3,1,3,5,0,7,0,0.0,8673,17,17. ПЛОВДИВ област,12,4363.0,0.5030554594719243,PDV43
Средец,1553,760,1102,97,117,264,572,84,203,93,409,55,108,19,38,11,54,10,5,13,16,3,3,9,8,7,3,6,2,2,2,2,0.0,11459,2,02. БУРГАС,39,5630.0,0.4913168688367222,BGS06
Стамболийски,2059,1475,1407,27,449,290,203,251,346,316,313,103,84,58,41,21,28,9,17,11,8,8,6,14,12,10,9,15,9,6,5,2,0.0,17756,17,17. ПЛОВДИВ област,26,7612.0,0.42870015769317416,PDV41
Стамболово,399,101,190,2948,30,30,12,19,124,13,21,25,4,2,2,21,4,7,5,4,1,1,2,1,3,1,1,0,2,0,0,1,0.0,11698,29,29. ХАСКОВО,29,3974.0,0.33971619080184645,HKV30
Стара Загора,15723,15643,10735,2494,6008,5014,2351,1875,1633,2328,2318,1001,493,388,411,360,465,211,127,92,74,95,31,79,54,83,50,54,53,29,39,24,0.0,140851,27,27. СТАРА ЗАГОРА,213,70335.0,0.49935747705021616,SZR31
Столична,120411,87419,74493,4596,128282,34277,19715,24206,8434,13426,7426,11465,2752,4239,2959,3698,2196,3315,2646,1631,797,537,1036,642,898,804,646,510,538,378,291,160,259.0,1114678,23,23. СОФИЯ 23 МИР,1689,565082.0,0.5069464006645865,SOF46
Стражица,1299,711,1423,669,101,84,86,64,202,51,83,55,18,13,20,10,8,14,11,8,4,8,2,7,13,1,2,6,2,1,6,1,0.0,11076,4,04. ВЕЛИКО ТЪРНОВО,24,4983.0,0.4498916576381365,VTR31
Стралджа,1352,724,1250,48,113,189,56,82,236,54,161,38,103,9,76,52,8,9,5,5,7,4,3,4,6,5,12,4,1,4,11,4,0.0,9776,31,31. ЯМБОЛ,30,4635.0,0.474120294599018,JAM22
Стрелча,563,431,400,322,42,72,36,62,48,36,74,19,32,9,16,62,13,3,3,4,3,15,3,1,4,2,1,1,4,0,1,1,0.0,4146,13,13. ПАЗАРДЖИК,9,2283.0,0.5506512301013025,PAZ32
Струмяни,1116,254,274,7,40,68,151,51,122,35,110,11,36,5,8,10,2,0,0,5,1,3,0,1,2,1,1,2,2,11,0,1,2.0,4286,1,01. БЛАГОЕВГРАД,17,2332.0,0.5440970601959869,BLG49
Суворово,1677,461,410,472,71,85,270,58,176,40,87,36,48,13,10,11,7,3,0,14,3,3,1,1,5,1,8,4,0,2,1,1,0.0,6697,3,03. ВАРНА,15,3979.0,0.5941466328206659,VAR26
Сунгурларе,1585,416,622,1462,48,100,140,37,215,56,137,47,55,4,18,7,7,11,4,2,4,5,2,1,5,0,4,2,7,4,3,2,0.0,10215,2,02. БУРГАС,31,5012.0,0.49065100342633383,BGS23
Сухиндол,176,107,343,122,19,27,14,17,53,18,36,15,9,8,10,1,2,0,0,1,2,1,1,0,0,3,2,0,2,0,0,1,0.0,2095,4,04. ВЕЛИКО ТЪРНОВО,10,990.0,0.47255369928400953,VTR32
Съединение,953,761,715,16,134,175,467,125,140,90,116,40,36,14,31,11,10,4,1,3,10,2,0,7,4,0,7,8,8,2,8,1,0.0,8066,17,17. ПЛОВДИВ област,19,3899.0,0.4833870567815522,PDV33
Сърница,335,72,74,2543,6,17,2,12,26,3,2,7,6,8,2,1,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,4161,13,13. ПАЗАРДЖИК,7,3124.0,0.7507810622446527,PAZ39
Твърдица,1396,599,1027,748,143,223,67,116,361,62,150,68,57,27,29,12,23,5,6,5,5,3,18,1,7,1,21,4,2,3,0,1,0.0,11573,21,21. СЛИВЕН,20,5190.0,0.44845761686684527,SLV24
Тервел,2871,514,726,1419,104,110,109,73,320,72,132,62,387,4,8,27,21,7,10,4,8,8,4,3,7,5,7,4,4,6,10,1,0.0,20631,8,08. ДОБРИЧ,33,7047.0,0.34157336047695214,DOB27
Тетевен,3779,1070,1426,2055,289,288,348,179,357,135,141,85,154,29,41,36,22,10,87,10,9,8,4,4,2,5,6,8,3,2,4,1,0.0,17293,11,11. ЛОВЕЧ,39,10597.0,0.6127913028392992,LOV33
Тополовград,1817,720,924,301,123,188,103,42,188,68,209,48,63,20,28,9,10,6,9,5,3,5,1,5,2,8,8,6,2,5,2,1,0.0,8824,29,29. ХАСКОВО,24,4929.0,0.5585902085222122,HKV32
Трекляно,78,14,160,14,6,7,28,2,9,0,3,1,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,479,10,10. КЮСТЕНДИЛ,9,329.0,0.6868475991649269,KNL50
Троян,4500,2574,2410,502,799,718,517,399,330,450,460,233,88,149,78,44,60,15,111,14,16,8,9,15,11,16,12,16,7,6,4,4,0.0,27451,11,11. ЛОВЕЧ,64,14575.0,0.5309460493242505,LOV34
Трън,769,206,423,40,36,75,99,38,101,18,46,49,3,8,18,10,5,3,3,9,2,0,0,0,2,1,4,4,2,1,3,1,0.0,3426,14,14. ПЕРНИК,22,1979.0,0.5776415645067133,PER51
Трявна,1079,980,854,28,260,407,273,186,65,141,134,81,24,30,30,15,15,5,8,11,4,0,0,7,5,3,6,3,2,1,5,2,0.0,10073,7,07. ГАБРОВО,21,4664.0,0.4630199543333664,GAB35
Тунджа,2117,1289,3044,192,216,656,203,159,363,209,426,88,253,25,86,81,76,9,10,13,6,4,6,6,11,12,8,19,11,11,5,6,0.0,18268,31,31. ЯМБОЛ,54,9620.0,0.526603897525728,JAM25
Тутракан,1176,938,1203,1961,159,300,312,83,212,141,94,75,59,34,44,14,24,4,8,7,9,7,3,5,5,5,6,4,3,3,7,2,0.0,14525,20,20. СИЛИСТРА,30,6907.0,0.4755249569707401,SLS34
