municipality_name,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,невалидни,ВЪЗР,ВОЛЯ И НФСБ,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,БСДД,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Батак,648,268,314,1424,59,111,118,27,71,16,38,46,1,4,8,25,4,6,4,1,2,3,9,4,1,1,0,2,0,0,1,0,0.0,5281,13,13. ПАЗАРДЖИК,11,3216.0,0.6089755728081803,PAZ03
Белене,582,997,997,65,193,448,144,102,100,71,59,63,61,33,22,83,17,3,8,2,6,4,3,8,2,8,4,4,3,5,1,3,0.0,7993,15,15. ПЛЕВЕН,17,4101.0,0.513073939697235,PVN03
Белица,983,174,270,3567,28,31,25,21,173,6,15,19,2,3,4,6,4,8,10,3,2,6,2,1,1,2,0,2,0,1,0,0,0.0,7797,1,01. БЛАГОЕВГРАД,19,5369.0,0.6885981787867128,BLG02
Белово,1650,697,1017,1,127,172,71,85,118,66,51,41,34,27,28,9,51,1,3,2,7,2,2,15,4,2,2,4,3,0,1,3,0.0,7369,13,13. ПАЗАРДЖИК,13,4296.0,0.5829827656398426,PAZ04
Белоградчик,516,332,780,378,111,66,170,29,74,25,43,25,43,14,15,13,4,11,3,0,4,0,2,5,2,0,1,3,1,2,2,1,0.0,5420,5,05. ВИДИН,20,2675.0,0.4935424354243542,VID01
Белослав,976,1104,513,208,154,155,482,139,147,92,230,57,211,11,30,12,7,9,9,21,4,1,1,2,7,7,8,6,6,6,6,0,0.0,9095,3,03. ВАРНА,15,4621.0,0.5080813633864761,VAR04
Берковица,2585,1040,1204,1388,175,280,185,246,278,100,125,81,297,37,44,39,14,15,8,7,13,120,6,4,6,7,25,5,7,3,2,1,0.0,15989,12,12. МОНТАНА,43,8347.0,0.522046406904747,MON02
Благоевград,12377,6689,4515,1857,3319,1435,1422,836,725,546,762,461,644,124,116,112,106,67,46,114,17,43,81,26,33,47,43,27,19,36,8,4,17.0,85336,1,01. БЛАГОЕВГРАД,145,36674.0,0.4297600074997656,BLG03
Бобов дол,1034,579,879,115,62,205,64,59,99,36,96,59,267,25,26,7,17,8,6,5,6,2,3,2,3,3,3,3,0,2,4,0,0.0,7024,10,10. КЮСТЕНДИЛ,27,3679.0,0.5237756264236902,KNL04
Бобошево,263,205,237,55,25,73,22,18,34,11,169,17,34,2,9,0,1,7,0,4,0,1,0,2,1,1,1,2,0,0,2,0,0.0,2171,10,10. КЮСТЕНДИЛ,10,1196.0,0.5508982035928144,KNL05
Божурище,1056,638,561,20,373,175,107,161,69,81,54,85,64,31,29,23,10,14,17,8,10,6,5,2,5,6,3,4,2,5,4,1,0.0,6326,26,26. СОФИЯ област,12,3629.0,0.5736642428074613,SFO06
Бойница,242,40,72,25,8,13,11,6,12,1,7,4,0,2,4,1,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0.0,793,5,05. ВИДИН,6,454.0,0.5725094577553594,VID03
Бойчиновци,1271,360,384,806,36,83,181,57,141,32,157,24,1037,12,14,13,21,3,6,7,5,5,3,5,3,3,2,0,2,5,2,1,0.0,7224,12,12. МОНТАНА,19,4681.0,0.6479789590254706,MON04
Болярово,239,77,1426,18,14,36,14,11,100,21,51,9,5,2,13,2,3,2,0,2,18,4,1,0,0,0,1,2,2,0,0,0,0.0,2925,31,31. ЯМБОЛ,22,2073.0,0.7087179487179487,JAM03
Борино,170,81,78,1243,13,20,0,13,27,3,5,9,342,1,2,0,0,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0.0,3307,22,22. СМОЛЯН,11,2015.0,0.6093135772603568,SML05
Борован,521,228,295,1242,33,34,64,27,109,14,23,24,11,8,13,7,3,2,2,3,2,4,1,2,1,0,1,1,0,1,1,1,0.0,4490,6,06. ВРАЦА,14,2678.0,0.5964365256124722,VRC05
Борово,642,224,544,378,34,89,54,22,109,22,55,15,69,11,7,6,7,11,6,3,1,3,2,1,2,0,5,0,2,3,3,1,0.0,5048,19,19. РУСЕ,11,2331.0,0.4617670364500792,RSE03
Ботевград,4287,3514,2297,71,865,616,521,579,399,184,254,216,99,71,70,47,70,82,45,31,41,16,186,22,18,19,21,11,18,27,15,6,0.0,27890,26,26. СОФИЯ област,45,14718.0,0.5277160272499104,SFO07
Братя Даскалови,719,287,691,741,59,60,64,37,141,37,138,18,3,26,20,6,10,7,5,3,4,3,1,1,2,1,4,2,0,4,0,0,0.0,5931,27,27. СТАРА ЗАГОРА,25,3094.0,0.5216658236385096,SZR04
Брацигово,1175,606,688,211,138,139,207,86,149,47,81,36,2,10,20,9,8,4,5,4,4,3,1,2,2,1,5,20,2,0,0,0,0.0,7645,13,13. ПАЗАРДЖИК,16,3665.0,0.47939829954218444,PAZ06
Брегово,1392,186,676,91,41,46,25,9,85,15,34,34,12,4,16,1,1,0,1,0,1,3,0,3,1,0,4,3,1,1,0,0,0.0,4263,5,05. ВИДИН,15,2686.0,0.6300727187426695,VID06
Брезник,950,508,597,33,101,133,65,87,94,29,69,47,12,8,27,15,30,43,4,4,4,4,0,13,3,5,3,1,9,1,2,1,0.0,5379,14,14. ПЕРНИК,26,2902.0,0.5395054842907604,PER08
Брезово,632,335,886,8,54,153,68,57,117,42,95,39,27,16,23,12,9,1,3,1,4,0,2,1,3,0,2,4,0,5,1,2,0.0,5259,17,17. ПЛОВДИВ област,20,2602.0,0.49477086898649936,PDV07
Брусарци,1353,209,281,312,15,48,61,28,101,6,29,18,8,16,14,1,7,1,3,0,1,1,1,1,9,1,7,5,0,0,1,3,0.0,3986,12,12. МОНТАНА,16,2541.0,0.6374811841445057,MON07
Бургас,22422,16543,11916,1320,9198,6179,4644,3094,1562,2809,4117,1699,591,446,278,446,589,329,184,129,322,143,133,100,69,115,64,71,94,62,41,21,0.0,181856,2,02. БУРГАС,350,89730.0,0.4934123702269928,BGS04
Бяла (Варна),311,206,233,64,61,56,117,30,46,28,37,16,23,3,5,12,2,6,4,0,0,3,1,4,3,1,1,1,0,2,0,1,0.0,2587,3,03. ВАРНА,6,1277.0,0.4936219559335137,VAR05
