id,ПП ДРОМ,БЪЛГАРСКА ПРОЛЕТ,ДНБ,ДСБ (коалиция),КОАЛИЦИЯ НА НЕДОВОЛНИТЕ,ВОЛЯ,БДЦ,АБВ/Движение 21,ДПС,БСП,ГЕРБ,Партия на ЗЕЛЕНИТЕ,ДОСТ,ВЪЗР,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,"Зелените, ДЕОС",ОБЕДИНЕНИ ПАТРИОТИ,КОЙ,НРП,БНО,РБ-ГЛАС НАРОДЕН,независими1,независими2,не подкрепям никого,total,eligible_voters,активност
43918,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.007518796992481203,0.015037593984962405,0.007518796992481203,0.38345864661654133,0.3383458646616541,0.007518796992481203,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.09774436090225563,0.0,0.0,0.03759398496240601,133.0,174,0.764367816091954
43921,0.0,0.02197802197802198,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,0.4065934065934066,0.4175824175824176,0.0,0.0,0.0,0.0,0.02197802197802198,0.08791208791208792,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.0,91.0,139,0.6546762589928058
43935,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.56,0.24,0.085,0.0,0.025,0.005,0.0,0.0,0.045,0.005,0.0,0.0,0.01,0.0,0.0,0.005,200.0,405,0.49382716049382713
43949,0.019230769230769232,0.004807692307692308,0.0,0.0,0.0,0.014423076923076924,0.0,0.0,0.46153846153846156,0.0625,0.04807692307692308,0.0,0.33653846153846156,0.004807692307692308,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.019230769230769232,208.0,443,0.46952595936794583
43952,0.0005985091680722564,0.002611676369769846,0.0015778878067359487,0.01708471625224441,0.0015234778823657435,0.04521464715164046,0.0006529190924424615,0.017900865117797485,0.03873986615158605,0.3120953261874966,0.33897382882637794,0.002557266445399641,0.005549812285760923,0.016214157462321126,0.0,0.015125958974917026,0.11589313890853692,0.0007617389411828717,0.0,0.0010881984874041026,0.03302682409271451,0.0019587572773273844,0.0,0.030850427117906306,18379.0,35887,0.5121353136233177
43966,0.0,0.0,0.0,0.007352941176470588,0.0,0.029411764705882353,0.0,0.022058823529411766,0.0,0.38235294117647056,0.3014705882352941,0.007352941176470588,0.0,0.007352941176470588,0.0,0.007352941176470588,0.20588235294117646,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,136.0,192,0.7083333333333334
43983,0.007751937984496124,0.0,0.0,0.0,0.0,0.015503875968992248,0.0,0.0,0.5658914728682171,0.10077519379844961,0.18604651162790697,0.0,0.06976744186046512,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.015503875968992248,0.0,0.0,0.031007751937984496,129.0,192,0.671875
43997,0.0,0.00847457627118644,0.012711864406779662,0.00423728813559322,0.00423728813559322,0.029661016949152543,0.0,0.012711864406779662,0.24152542372881355,0.4830508474576271,0.09322033898305085,0.0,0.059322033898305086,0.0,0.0,0.0,0.0423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,236.0,674,0.35014836795252224
44029,0.036931818181818184,0.0,0.002840909090909091,0.008522727272727272,0.0,0.02556818181818182,0.005681818181818182,0.008522727272727272,0.08238636363636363,0.33238636363636365,0.3352272727272727,0.0,0.0625,0.0,0.0,0.0,0.06818181818181818,0.0,0.002840909090909091,0.0,0.008522727272727272,0.0,0.0,0.019886363636363636,352.0,646,0.544891640866873
44032,0.0,0.006896551724137931,0.0,0.0,0.0,0.04827586206896552,0.0,0.006896551724137931,0.006896551724137931,0.5172413793103449,0.2620689655172414,0.006896551724137931,0.0,0.006896551724137931,0.0,0.006896551724137931,0.09655172413793103,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,145.0,218,0.6651376146788991
