id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,невалидни,total,eligible_voters,активност
44238,0.3415511042629687,0.2396849854476973,0.06488614963191235,0.11624721794213319,0.051703475432288995,0.04040404040404041,0.026878959082348913,0.026365348399246705,0.019688409518917992,0.01660674542030474,0.013011470638589283,0.003766478342749529,0.00342407122068139,0.0022256462934429036,0.003766478342749529,0.0018832391713747645,0.0035952747817154596,0.0018832391713747645,0.0032528676596473207,0.002910460537579182,0.0011984249272384865,0.001712035610340695,0.001027221366204417,0.002910460537579182,0.0005136106831022085,0.0030816640986132513,0.001369628488272556,0.001369628488272556,0.0022256462934429036,0.0005136106831022085,0.0,0.000342407122068139,0.03766478342749529,5841.0,19471,0.2999845924708541
44241,0.23958333333333334,0.3125,0.052083333333333336,0.07291666666666667,0.16666666666666666,0.052083333333333336,0.0,0.010416666666666666,0.010416666666666666,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.010416666666666666,0.0,0.010416666666666666,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,96.0,204,0.47058823529411764
44269,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.3181818181818182,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,22.0,39,0.5641025641025641
44272,0.20588235294117646,0.6617647058823529,0.007352941176470588,0.022058823529411766,0.03676470588235294,0.029411764705882353,0.007352941176470588,0.0,0.007352941176470588,0.0,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04411764705882353,136.0,312,0.4358974358974359
44286,0.1038961038961039,0.23376623376623376,0.09090909090909091,0.06493506493506493,0.2857142857142857,0.025974025974025976,0.05194805194805195,0.06493506493506493,0.025974025974025976,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,77.0,681,0.1130690161527166
44294,0.19540229885057472,0.7088122605363985,0.03065134099616858,0.011494252873563218,0.007662835249042145,0.007662835249042145,0.019157088122605363,0.0,0.007662835249042145,0.0,0.0,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.02681992337164751,261.0,905,0.2883977900552486
44313,0.3125,0.1953125,0.0625,0.0390625,0.2578125,0.0078125,0.03125,0.0,0.0234375,0.0078125,0.0078125,0.0078125,0.015625,0.0,0.0,0.0,0.0078125,0.0078125,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,128.0,254,0.5039370078740157
44327,0.40561364887176665,0.12107870115575124,0.06769400110071547,0.10621904237754541,0.08365437534397359,0.07374793615850303,0.02806824435883324,0.029168959823885527,0.026967528893780957,0.008805723720418272,0.009356081452944413,0.00825536598789213,0.00550357732526142,0.000550357732526142,0.00275178866263071,0.001100715465052284,0.00275178866263071,0.003302146395156852,0.002201430930104568,0.001651073197578426,0.00275178866263071,0.001651073197578426,0.000550357732526142,0.000550357732526142,0.001100715465052284,0.001100715465052284,0.001100715465052284,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.07649972482113374,1817.0,7738,0.23481519772551046
44330,0.205607476635514,0.3644859813084112,0.04672897196261682,0.1308411214953271,0.04672897196261682,0.018691588785046728,0.018691588785046728,0.028037383177570093,0.056074766355140186,0.0,0.028037383177570093,0.0,0.0,0.0,0.009345794392523364,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.037383177570093455,107.0,242,0.44214876033057854
44344,0.02857142857142857,0.9285714285714286,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07857142857142857,140.0,725,0.19310344827586207
44358,0.0803921568627451,0.8156862745098039,0.03137254901960784,0.011764705882352941,0.013725490196078431,0.00784313725490196,0.00196078431372549,0.011764705882352941,0.01764705882352941,0.00196078431372549,0.0,0.00196078431372549,0.00196078431372549,0.0,0.0,0.0,0.0,0.00196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,510.0,1424,0.35814606741573035
44389,0.10204081632653061,0.4897959183673469,0.030612244897959183,0.09183673469387756,0.1836734693877551,0.05102040816326531,0.01020408163265306,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.061224489795918366,98.0,166,0.5903614457831325
44402,0.329700272479564,0.15803814713896458,0.1008174386920981,0.043596730245231606,0.10354223433242507,0.15803814713896458,0.005449591280653951,0.005449591280653951,0.027247956403269755,0.0027247956403269754,0.005449591280653951,0.01634877384196185,0.0,0.0027247956403269754,0.0027247956403269754,0.008174386920980926,0.005449591280653951,0.0027247956403269754,0.0,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0027247956403269754,0.010899182561307902,0.0,0.0027247956403269754,0.0,0.0,0.021798365122615803,367.0,854,0.4297423887587822
44416,0.14744801512287334,0.7712665406427222,0.015122873345935728,0.003780718336483932,0.015122873345935728,0.003780718336483932,0.011342155009451797,0.005671077504725898,0.015122873345935728,0.0,0.0,0.001890359168241966,0.0,0.0,0.0,0.0,0.005671077504725898,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.05860113421550094,529.0,1553,0.3406310367031552
44425,0.2033898305084746,0.0,0.211864406779661,0.16101694915254236,0.06779661016949153,0.13559322033898305,0.0423728813559322,0.01694915254237288,0.06779661016949153,0.00847457627118644,0.0,0.00847457627118644,0.0,0.0,0.00847457627118644,0.0423728813559322,0.00847457627118644,0.00847457627118644,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423728813559322,118.0,193,0.6113989637305699
44433,0.3939393939393939,0.21212121212121213,0.09090909090909091,0.09090909090909091,0.12121212121212122,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,33.0,71,0.4647887323943662
44447,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18,0.6666666666666666
44464,0.06666666666666667,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15,1.0
44478,0.2234513274336283,0.10619469026548672,0.07964601769911504,0.14601769911504425,0.23893805309734514,0.05088495575221239,0.05752212389380531,0.030973451327433628,0.01991150442477876,0.01327433628318584,0.0022123893805309734,0.004424778761061947,0.0022123893805309734,0.00663716814159292,0.0022123893805309734,0.0,0.0022123893805309734,0.0022123893805309734,0.0022123893805309734,0.0022123893805309734,0.0,0.0022123893805309734,0.0,0.0,0.0022123893805309734,0.0,0.0022123893805309734,0.0,0.0,0.0,0.0,0.0,0.030973451327433628,452.0,1646,0.27460510328068044
44481,0.31666666666666665,0.016666666666666666,0.06666666666666667,0.43333333333333335,0.06666666666666667,0.0,0.0,0.05,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,60.0,197,0.30456852791878175
44495,0.027131782945736434,0.8372093023255814,0.027131782945736434,0.011627906976744186,0.007751937984496124,0.003875968992248062,0.0,0.023255813953488372,0.023255813953488372,0.007751937984496124,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003875968992248062,0.0,0.0,0.003875968992248062,0.011627906976744186,0.0,0.007751937984496124,0.0,0.0,0.0,0.06589147286821706,258.0,550,0.4690909090909091
44505,0.39759036144578314,0.03614457831325301,0.07228915662650602,0.12048192771084337,0.0963855421686747,0.024096385542168676,0.0,0.13253012048192772,0.024096385542168676,0.012048192771084338,0.012048192771084338,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747,83.0,301,0.2757475083056478
44519,0.48056537102473496,0.09187279151943463,0.0176678445229682,0.05653710247349823,0.0989399293286219,0.024734982332155476,0.0035335689045936395,0.05653710247349823,0.01060070671378092,0.01060070671378092,0.0035335689045936395,0.007067137809187279,0.0035335689045936395,0.08833922261484099,0.0035335689045936395,0.0,0.0035335689045936395,0.007067137809187279,0.0035335689045936395,0.0035335689045936395,0.01060070671378092,0.0035335689045936395,0.0,0.0035335689045936395,0.0035335689045936395,0.0,0.0,0.0,0.0035335689045936395,0.0,0.0,0.0,0.10954063604240283,283.0,1168,0.2422945205479452
44522,0.4444444444444444,0.032679738562091505,0.09803921568627451,0.1503267973856209,0.0718954248366013,0.05228758169934641,0.006535947712418301,0.0392156862745098,0.0392156862745098,0.0,0.013071895424836602,0.013071895424836602,0.006535947712418301,0.006535947712418301,0.0,0.0,0.013071895424836602,0.006535947712418301,0.0,0.006535947712418301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,153.0,580,0.2637931034482759
44536,0.18333333333333332,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.0,0.0,0.05,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,60.0,116,0.5172413793103449
