id,ВМРО,"НИЕ, ГРАЖДАНИТЕ ",БНС,БСП,ВЪЗР,АБВ,АТАКА,КОД,ДПС,БПЛ,ДБ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ЗАЕДНО,БНО,НАЦИЯ,МИР,Граждани от Протеста,МУТРИ ВЪН!,ГЛАС НАРОДЕН,ДНК,РЕПУБЛИКАНЦИ ЗА БГ,ПРАВОТО,БОГ,ВОЛЯ И НФСБ,Партия на ЗЕЛЕНИТЕ,ОБЩЕСТВО,БСДД,ГЕРБ-СДС,ИТН,ПРЯКА ДЕМОКРАЦИЯ,31,npn,total,eligible_voters,activity
53045,0.008787346221441126,0.0017574692442882249,0.0,0.1256590509666081,0.01757469244288225,0.0017574692442882249,0.0035149384885764497,0.0017574692442882249,0.0,0.0,0.03163444639718805,0.0017574692442882249,0.0,0.01757469244288225,0.0,0.0008787346221441124,0.0008787346221441124,0.043936731107205626,0.0026362038664323375,0.0008787346221441124,0.0210896309314587,0.0,0.0,0.054481546572934976,0.0,0.0,0.0008787346221441124,0.5061511423550088,0.14147627416520211,0.0017574692442882249,0.0,0.013181019332161687,1138.0,1749,0.6506575185820469
53059,0.03571428571428571,0.0,0.0,0.08928571428571429,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.017857142857142856,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,56.0,75,0.7466666666666667
53062,0.0,0.0,0.0,0.038338658146964855,0.003194888178913738,0.003194888178913738,0.0,0.0,0.7252396166134185,0.0,0.0,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.022364217252396165,0.006389776357827476,0.0,0.0,0.0,0.0,0.012779552715654952,0.0,0.0,0.0,0.1597444089456869,0.022364217252396165,0.0,0.0,0.003194888178913738,313.0,838,0.373508353221957
53089,0.08849557522123894,0.0,0.0017699115044247787,0.3238938053097345,0.021238938053097345,0.0017699115044247787,0.017699115044247787,0.0,0.01592920353982301,0.0,0.04070796460176991,0.0017699115044247787,0.0,0.023008849557522124,0.0,0.0035398230088495575,0.0,0.02654867256637168,0.0017699115044247787,0.005309734513274336,0.005309734513274336,0.0,0.0,0.024778761061946902,0.0,0.0,0.0017699115044247787,0.13451327433628318,0.25309734513274335,0.0,0.0,0.007079646017699115,565.0,1614,0.3500619578686493
53093,0.0,0.0,0.0,0.042105263157894736,0.0,0.0,0.010526315789473684,0.0,0.5368421052631579,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.35789473684210527,0.021052631578947368,0.0,0.0,0.0,95.0,227,0.4185022026431718
53103,0.01569506726457399,0.002242152466367713,0.002242152466367713,0.2219730941704036,0.02242152466367713,0.006726457399103139,0.008968609865470852,0.006726457399103139,0.0,0.002242152466367713,0.017937219730941704,0.004484304932735426,0.0,0.026905829596412557,0.0,0.0,0.008968609865470852,0.03587443946188341,0.002242152466367713,0.002242152466367713,0.011210762331838564,0.0,0.0,0.017937219730941704,0.0,0.0,0.002242152466367713,0.33856502242152464,0.19955156950672645,0.0,0.0,0.042600896860986545,446.0,942,0.4734607218683652
53117,0.007317073170731708,0.0024390243902439024,0.0,0.2146341463414634,0.0024390243902439024,0.004878048780487805,0.0,0.004878048780487805,0.35609756097560974,0.0,0.004878048780487805,0.0,0.0,0.0024390243902439024,0.0024390243902439024,0.0,0.0024390243902439024,0.041463414634146344,0.0024390243902439024,0.004878048780487805,0.01707317073170732,0.0024390243902439024,0.0024390243902439024,0.00975609756097561,0.0,0.0,0.0024390243902439024,0.22439024390243903,0.08536585365853659,0.0,0.0,0.0024390243902439024,410.0,1178,0.34804753820033957
53120,0.006042296072507553,0.0015105740181268882,0.0015105740181268882,0.2054380664652568,0.012084592145015106,0.0030211480362537764,0.0030211480362537764,0.0,0.0256797583081571,0.0,0.0256797583081571,0.004531722054380665,0.0,0.021148036253776436,0.0,0.0,0.0,0.06042296072507553,0.0,0.004531722054380665,0.08459214501510574,0.0015105740181268882,0.0,0.0256797583081571,0.0015105740181268882,0.0015105740181268882,0.0030211480362537764,0.39123867069486407,0.11329305135951662,0.0,0.0,0.0030211480362537764,662.0,1838,0.3601741022850925
53134,0.021671826625386997,0.0030959752321981426,0.0030959752321981426,0.18575851393188855,0.007739938080495356,0.0015479876160990713,0.0030959752321981426,0.0,0.23529411764705882,0.0,0.02321981424148607,0.006191950464396285,0.0,0.02786377708978328,0.0015479876160990713,0.0015479876160990713,0.0015479876160990713,0.06037151702786378,0.0,0.0030959752321981426,0.020123839009287926,0.0015479876160990713,0.0015479876160990713,0.020123839009287926,0.0015479876160990713,0.0,0.0,0.17027863777089783,0.18421052631578946,0.0,0.0,0.01393188854489164,646.0,1176,0.5493197278911565
53148,0.0,0.0,0.0,0.011787819253438114,0.0,0.003929273084479371,0.003929273084479371,0.005893909626719057,0.6129666011787819,0.0,0.003929273084479371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007858546168958742,0.0,0.0,0.0,0.33398821218074654,0.0019646365422396855,0.0,0.0,0.0137524557956778,509.0,1036,0.49131274131274133
