id,ДПС,БСДД,БНО,НДЕ,ВМРО,КСБ,ПД,НФСБ,ПП,МИР,КОД,БТР,КТБ,ВЪЗР,БВ,БНС,ИЗПРАВИ СЕ,ДНК,ИТН,ГЛАС НАРОДЕН,ПРАВОТО,НП ИСИ,ГЕРБ-СДС,ДБ,ЕВРОЛЕВИЦА,АТАКА,БСП,РВО,независим,npn,total,eligible_voters,activity
48742,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.3023255813953488,0.0,0.0,0.0,0.0,0.11627906976744186,0.046511627906976744,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.0,0.0,0.3488372093023256,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.023255813953488372,43.0,74.0,0.581081081081081
48756,0.9222797927461139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02072538860103627,0.0,0.0,0.0,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03626943005181347,0.0051813471502590676,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0051813471502590676,193.0,969.0,0.19917440660474717
48765,0.01485148514851485,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.21782178217821782,0.0,0.0,0.0,0.0,0.1782178217821782,0.034653465346534656,0.0,0.01485148514851485,0.0,0.054455445544554455,0.0,0.0,0.0,0.28217821782178215,0.019801980198019802,0.0,0.06930693069306931,0.08415841584158416,0.0,0.0,0.01485148514851485,202.0,600.0,0.33666666666666667
48773,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.18518518518518517,0.012345679012345678,0.0,0.0,0.0,0.1111111111111111,0.037037037037037035,0.0,0.012345679012345678,0.0,0.037037037037037035,0.0,0.0,0.012345679012345678,0.2222222222222222,0.012345679012345678,0.0,0.0,0.3333333333333333,0.0,0.0,0.012345679012345678,81.0,228.0,0.35526315789473684
48787,0.02857142857142857,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.12380952380952381,0.0380952380952381,0.0,0.0,0.0,0.06666666666666667,0.009523809523809525,0.0,0.0,0.34285714285714286,0.01904761904761905,0.009523809523809525,0.02857142857142857,0.22857142857142856,0.0,0.0,0.02857142857142857,105.0,326.0,0.3220858895705521
48790,0.7988165680473372,0.011834319526627219,0.0,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.07100591715976332,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.011834319526627219,0.0,0.011834319526627219,0.0,0.0,0.0,0.04142011834319527,0.01775147928994083,0.0,0.0,0.005917159763313609,0.0,0.0,0.011834319526627219,169.0,531.0,0.3182674199623352
48814,0.21951219512195122,0.0,0.008130081300813009,0.0,0.0,0.008130081300813009,0.0,0.0,0.2032520325203252,0.016260162601626018,0.0,0.0,0.0,0.024390243902439025,0.016260162601626018,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.24390243902439024,0.016260162601626018,0.0,0.0,0.13821138211382114,0.0,0.0,0.08130081300813008,123.0,290.0,0.4241379310344828
48828,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.07692307692307693,0.05128205128205128,0.0,0.0,0.358974358974359,0.0,0.0,0.0,39.0,61.0,0.639344262295082
48831,0.010309278350515464,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.14432989690721648,0.0,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.5360824742268041,0.020618556701030927,0.0,0.010309278350515464,0.18556701030927836,0.010309278350515464,0.0,0.020618556701030927,97.0,131.0,0.7404580152671756
48859,0.6108108108108108,0.010810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.05945945945945946,0.0,0.0,0.0,0.010810810810810811,0.08648648648648649,0.0,0.0,0.0,0.0,0.05945945945945946,0.005405405405405406,0.0,0.005405405405405406,0.06486486486486487,0.005405405405405406,0.0,0.0,0.07567567567567568,0.0,0.0,0.005405405405405406,185.0,568.0,0.3257042253521127
