id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,невалидни,total,eligible_voters,активност
81150,0.1092896174863388,0.8360655737704918,0.01639344262295082,0.009107468123861567,0.007285974499089253,0.009107468123861567,0.0,0.0036429872495446266,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0018214936247723133,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.023679417122040074,549.0,875,0.6274285714285714
81178,0.21797004991680533,0.004991680532445923,0.10981697171381032,0.1896838602329451,0.1497504159733777,0.07820299500831947,0.03993344425956739,0.048252911813643926,0.021630615640599003,0.011647254575707155,0.029950083194675542,0.0066555740432612314,0.008319467554076539,0.011647254575707155,0.008319467554076539,0.011647254575707155,0.02329450915141431,0.0033277870216306157,0.0,0.0016638935108153079,0.0016638935108153079,0.004991680532445923,0.0066555740432612314,0.004991680532445923,0.0033277870216306157,0.0,0.0,0.0,0.0,0.0016638935108153079,0.0,0.0,0.021630615640599003,601.0,1785,0.3366946778711485
81181,0.36363636363636365,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,38,0.2894736842105263
81195,0.036585365853658534,0.7195121951219512,0.012195121951219513,0.10975609756097561,0.04878048780487805,0.012195121951219513,0.024390243902439025,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,82.0,160,0.5125
81205,0.019230769230769232,0.8653846153846154,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,52.0,98,0.5306122448979592
81219,0.3333333333333333,0.0,0.15151515151515152,0.18181818181818182,0.24242424242424243,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,33.0,138,0.2391304347826087
81222,0.00980392156862745,0.9656862745098039,0.0,0.014705882352941176,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,204.0,493,0.41379310344827586
81236,0.029787234042553193,0.9212765957446809,0.014893617021276596,0.00425531914893617,0.006382978723404255,0.002127659574468085,0.0,0.01276595744680851,0.00425531914893617,0.0,0.0,0.002127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014893617021276596,470.0,781,0.6017925736235595
81247,0.3333333333333333,0.2619047619047619,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,42.0,145,0.2896551724137931
81253,0.6386554621848739,0.04201680672268908,0.06722689075630252,0.07563025210084033,0.07563025210084033,0.01680672268907563,0.0,0.01680672268907563,0.008403361344537815,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.008403361344537815,0.0,0.0,0.008403361344537815,0.008403361344537815,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05042016806722689,119.0,230,0.5173913043478261
