municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Враца,6502,6246,926,2411,2655,1092,1027,668,324.0,458,138,154,107,100,33.0,71,68,59,53,88,48,45,16,35,11,15,9,10,20,0,65825.0,6,06. ВРАЦА,114,23389.0,0.3553209266995822,VRC10
Вълчедръм,304,285,1403,314,185,41,81,51,23.0,16,17,16,9,10,20.0,48,12,8,9,10,11,3,3,2,1,1,3,1,3,0,7235.0,12,12. МОНТАНА,22,2890.0,0.39944713199723564,MON11
Вълчи дол,412,902,394,390,223,35,98,65,39.0,26,21,17,12,24,56.0,10,24,25,8,14,15,7,5,5,5,3,0,3,1,0,7991.0,3,03. ВАРНА,26,2839.0,0.35527468401952195,VAR09
Върбица,82,267,3273,104,109,8,21,13,18.0,7,6,11,7,10,9.0,18,10,14,2,2,9,1,3,2,4,3,1,1,1,0,11391.0,30,30. ШУМЕН,23,4016.0,0.35255903783688874,SHU10
Вършец,601,597,464,326,193,87,70,40,16.0,12,17,11,8,9,23.0,11,4,10,13,7,5,5,5,0,2,0,0,0,1,0,6311.0,12,12. МОНТАНА,17,2537.0,0.4019965140231342,MON12
Габрово,5845,7020,446,1901,1827,898,1296,463,280.0,219,118,104,89,91,58.0,82,53,74,50,51,31,30,18,21,0,5,15,6,4,0,55274.0,7,07. ГАБРОВО,116,21095.0,0.38164417266707673,GAB05
Генерал Тошево,632,654,218,1026,492,141,137,69,43.0,28,46,38,17,17,48.0,14,36,15,12,16,16,8,2,6,3,2,1,3,2,0,12806.0,8,08. ДОБРИЧ,47,3742.0,0.2922067780727784,DOB12
Георги Дамяново,228,342,62,223,71,33,22,33,21.0,3,3,8,2,4,27.0,1,2,6,2,1,1,3,1,2,0,2,0,0,1,0,1900.0,12,12. МОНТАНА,14,1104.0,0.5810526315789474,MON14
Главиница,238,594,2941,210,151,34,64,9,36.0,21,25,14,7,17,22.0,151,8,20,5,11,8,7,1,7,8,3,3,2,2,0,11240.0,20,20. СИЛИСТРА,27,4619.0,0.41094306049822066,SLS07
Годеч,398,589,42,154,145,53,37,23,31.0,9,8,9,7,9,13.0,4,5,6,5,7,3,2,0,1,4,0,0,2,2,0,4311.0,26,26. СОФИЯ област,11,1568.0,0.36372071445140336,SFO09
Горна Малина,401,535,80,380,227,97,84,52,39.0,26,21,14,6,11,36.0,4,5,8,6,3,3,5,3,3,2,0,0,4,5,0,4649.0,26,26. СОФИЯ област,15,2060.0,0.4431060443106044,SFO10
Горна Оряховица,3900,3201,653,2279,1576,606,788,280,191.0,193,90,78,76,90,43.0,33,43,45,41,32,28,41,13,18,10,7,5,5,1,0,40030.0,4,04. ВЕЛИКО ТЪРНОВО,69,14366.0,0.35888083937047216,VTR06
