municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Тетевен,1014,1544,1111,988,577,193,165,156,73.0,126,53,36,27,26,30.0,32,21,12,13,18,17,10,8,15,1,2,3,4,2,0,17358.0,11,11. ЛОВЕЧ,37,6277.0,0.36162000230441294,LOV33
Тополовград,714,809,188,552,356,67,137,68,38.0,22,36,19,19,8,19.0,8,35,11,6,10,8,11,3,5,2,3,3,2,4,0,8664.0,29,29. ХАСКОВО,23,3163.0,0.36507386888273313,HKV32
Трекляно,35,71,16,144,16,2,1,15,5.0,8,3,1,2,0,11.0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,449.0,10,10. КЮСТЕНДИЛ,9,334.0,0.7438752783964365,KNL50
Троян,2485,2864,318,1328,1003,497,638,228,156.0,202,50,58,32,46,36.0,35,21,47,16,25,18,12,5,10,10,4,10,6,5,0,27284.0,11,11. ЛОВЕЧ,64,10165.0,0.3725626740947075,LOV34
Трън,207,430,39,273,123,41,29,38,44.0,15,19,8,4,10,20.0,7,5,10,4,1,6,3,3,3,2,0,2,3,1,0,3334.0,14,14. ПЕРНИК,23,1350.0,0.40491901619676063,PER51
Трявна,1059,764,39,369,355,136,209,101,44.0,86,25,17,9,13,4.0,13,14,9,5,15,5,5,7,1,0,0,1,2,1,0,9910.0,7,07. ГАБРОВО,21,3308.0,0.33380423814328963,GAB35
Тунджа,1136,1565,117,1852,619,192,296,264,54.0,60,57,91,35,24,79.0,31,54,25,17,12,44,7,11,9,7,4,8,9,5,0,18056.0,31,31. ЯМБОЛ,55,6684.0,0.370181657066903,JAM25
Тутракан,771,911,1629,607,465,98,177,231,40.0,100,35,33,25,24,17.0,18,13,17,15,15,22,10,8,6,1,5,0,2,3,0,14280.0,20,20. СИЛИСТРА,30,5298.0,0.37100840336134455,SLS34
Търговище,3332,3916,5049,1906,1554,561,696,277,251.0,170,117,77,105,80,41.0,88,72,60,59,61,58,19,12,18,21,11,4,5,11,0,56320.0,28,28. ТЪРГОВИЩЕ,106,18631.0,0.33080610795454546,TGV35
Угърчин,194,531,65,289,157,43,34,55,26.0,19,13,12,13,6,31.0,10,9,18,5,6,7,4,5,2,3,4,2,4,1,0,4829.0,11,11. ЛОВЕЧ,14,1568.0,0.3247049078484158,LOV36
Хаджидимово,394,718,677,475,461,73,56,24,36.0,12,18,13,10,17,8.0,12,12,9,4,11,7,6,2,1,0,0,2,41,0,0,8524.0,1,01. БЛАГОЕВГРАД,19,3099.0,0.36356170811825433,BLG52
Хайредин,178,221,461,194,92,43,21,306,9.0,25,11,9,6,5,11.0,5,5,4,3,1,6,6,2,0,1,0,0,2,0,0,3765.0,6,06. ВРАЦА,12,1627.0,0.43213811420982734,VRC35
Харманли,1978,1871,547,943,717,157,317,142,106.0,46,55,41,39,33,61.0,32,32,24,12,23,25,17,5,11,5,5,3,5,2,0,20817.0,29,29. ХАСКОВО,45,7254.0,0.34846519671422393,HKV33
Хасково,9440,6669,5195,2757,2791,1387,1366,734,359.0,199,181,138,127,127,67.0,127,85,78,99,77,78,54,28,37,12,14,16,10,9,0,90188.0,29,29. ХАСКОВО,156,32261.0,0.35770834257329137,HKV34
Хисаря,1017,827,99,699,421,147,231,93,53.0,30,36,20,34,15,33.0,12,29,22,10,14,13,11,4,4,1,1,3,8,1,0,9696.0,17,17. ПЛОВДИВ област,24,3888.0,0.400990099009901,PDV37
Хитрино,853,228,765,162,77,12,24,16,21.0,11,4,4,6,10,24.0,10,7,10,4,6,11,24,7,1,2,5,1,2,2,0,10569.0,30,30. ШУМЕН,21,2309.0,0.21846910776800077,SHU11
Цар Калоян,117,166,1283,85,60,56,17,14,22.0,7,4,6,4,7,6.0,12,4,5,1,4,3,1,2,1,1,0,1,0,3,0,6150.0,18,18. РАЗГРАД,11,1892.0,0.3076422764227642,RAZ36
Царево,937,989,128,327,367,174,111,61,37.0,14,21,8,16,13,25.0,20,30,10,8,10,13,7,9,4,0,0,1,0,1,3,7477.0,2,02. БУРГАС,20,3344.0,0.44723819713788954,BGS13
Ценово,312,763,40,374,184,24,58,26,13.0,24,15,9,10,12,19.0,11,8,11,4,7,9,0,4,4,4,1,3,1,2,0,4532.0,19,19. РУСЕ,11,1952.0,0.43071491615180935,RSE37
Чавдар,74,67,15,80,28,9,19,8,4.0,6,8,8,2,2,0.0,0,1,1,2,2,1,2,1,1,0,0,0,0,1,0,1023.0,26,26. СОФИЯ област,2,342.0,0.3343108504398827,SFO57
Челопеч,103,178,48,96,69,23,19,12,6.0,3,1,2,5,2,1.0,2,4,1,5,3,4,0,0,3,1,0,1,1,0,0,1255.0,26,26. СОФИЯ област,3,593.0,0.47250996015936253,SFO58
Чепеларе,591,588,247,324,222,77,92,53,31.0,11,24,45,14,5,6.0,5,7,8,3,12,2,3,4,1,1,2,1,0,3,0,5934.0,22,22. СМОЛЯН,16,2382.0,0.40141557128412536,SML38
Червен бряг,1410,1719,1000,1255,1177,275,286,206,89.0,86,73,59,45,34,0.0,39,50,42,38,36,41,14,2,20,7,10,5,4,3,0,24699.0,15,15. ПЛЕВЕН,42,8025.0,0.32491193975464594,PVN37
Черноочене,52,365,3975,102,35,35,14,5,18.0,2,3,3,4,8,10.0,12,2,2,1,2,6,0,0,2,7,0,0,1,2,0,12784.0,9,09. КЪРДЖАЛИ,41,4668.0,0.3651439299123905,KRZ35
Чипровци,432,486,49,209,133,38,60,40,34.0,13,14,14,8,11,22.0,7,5,4,2,6,4,5,0,1,1,1,2,1,0,0,3109.0,12,12. МОНТАНА,14,1602.0,0.5152782245094886,MON36
Чирпан,1210,1221,617,906,454,146,289,110,49.0,60,44,27,16,24,37.0,20,19,25,21,13,19,12,5,5,4,3,3,2,2,0,17613.0,27,27. СТАРА ЗАГОРА,39,5363.0,0.30449100096519616,SZR36
Чупрене,87,163,86,102,57,30,13,18,13.0,0,4,2,2,1,24.0,0,1,3,1,1,2,3,0,1,0,0,0,1,0,0,1418.0,5,05. ВИДИН,10,615.0,0.43370944992947813,VID37
Шабла,351,318,15,247,171,76,74,38,28.0,18,14,8,9,9,9.0,3,7,8,1,6,1,0,1,2,0,0,1,1,1,0,3908.0,8,08. ДОБРИЧ,16,1417.0,0.362589559877175,DOB29
Шумен,8240,6977,1845,3320,3269,1055,1512,573,395.0,423,207,147,163,151,49.0,151,111,134,111,85,65,18,22,25,14,11,7,10,10,0,87071.0,30,30. ШУМЕН,136,29100.0,0.3342100125185194,SHU30
Ябланица,240,400,112,251,178,48,51,35,20.0,17,8,8,9,10,10.0,8,8,9,6,1,3,2,2,5,2,1,0,0,1,0,4620.0,11,11. ЛОВЕЧ,11,1445.0,0.31277056277056275,LOV38
Якимово,144,180,298,138,149,28,17,16,21.0,2,18,5,2,8,23.0,7,3,7,3,3,4,1,0,0,3,0,0,0,0,0,3131.0,12,12. МОНТАНА,9,1080.0,0.34493771957840946,MON38
Якоруда,201,386,2406,106,149,39,45,15,43.0,11,11,3,12,7,6.0,9,3,7,6,6,10,5,0,0,0,1,0,2,0,0,8724.0,1,01. БЛАГОЕВГРАД,17,3489.0,0.3999312242090784,BLG53
Ямбол,6603,4784,308,2960,2152,968,1446,535,298.0,152,112,198,83,79,12.0,91,70,40,70,51,37,26,20,18,9,9,14,9,6,0,64945.0,31,31. ЯМБОЛ,107,21160.0,0.32581415043498346,JAM26
