id,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,ВОЛЯ И НФСБ,ВЪЗР,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,БСДД,ПРЯКА ДЕМОКРАЦИЯ,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,невалидни,total_valid,total,eligible_voters,n_stations
22157,7,0,5,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,101.0,107.0,503,2
22160,35,28,63,5,4,8,4,1,3,3,3,7,2,2,1,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0.0,9,176.0,185.0,458,1
22174,51,29,24,0,4,9,11,6,3,5,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0.0,7,151.0,158.0,274,1
22191,21,7,24,21,3,2,49,3,22,8,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4,165.0,169.0,339,1
22201,9,1,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,17.0,18.0,41,1
22215,293,397,197,19,34,50,63,27,39,26,15,6,5,5,3,5,0,7,0,2,2,0,1,2,3,0,1,0,1,0,1,0.0,37,1204.0,1241.0,2791,6
22232,310,225,248,13,125,55,33,34,30,20,17,5,2,7,2,3,0,26,1,3,1,6,0,0,0,1,2,0,0,2,0,0.0,21,1171.0,1192.0,2417,4
22246,56,15,16,1,3,3,74,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0,8,174.0,182.0,347,1
22250,26,3,28,6,0,4,4,2,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2,81.0,83.0,148,1
22263,55,5,13,1,1,2,3,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,86.0,86.0,125,1
22277,201,42,80,0,4,7,0,8,8,3,5,2,0,0,0,3,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0.0,13,368.0,381.0,660,1
22280,21,2,2,81,0,1,0,0,1,2,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,1,117.0,118.0,291,1
22304,133,86,73,3,28,24,20,82,6,9,8,28,6,5,3,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0.0,8,521.0,529.0,1056,2
22318,20,2,5,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,32.0,35.0,46,1
22321,33,14,10,0,1,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.0,2,69.0,71.0,116,1
22335,68,56,52,0,8,13,4,2,2,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0.0,1,222.0,223.0,400,1
22375,18,4,2,105,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,135.0,138.0,377,1
22407,384,397,287,65,45,83,122,44,31,30,32,52,11,14,6,6,0,4,2,2,2,20,1,4,2,3,1,0,2,0,2,0.0,34,1654.0,1688.0,3650,7
22424,50,5,20,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4,84.0,88.0,149,1
22438,119,162,172,112,11,8,19,5,30,4,5,35,7,2,3,0,4,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0.0,22,704.0,726.0,1488,3
22469,21,5,21,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,56.0,63.0,99,1
22472,165,71,103,1,31,31,19,43,3,19,15,0,1,6,1,8,1,2,1,0,1,1,6,0,0,0,1,0,0,0,0,0.0,10,530.0,540.0,1021,2
22490,44,16,31,2,5,13,2,6,2,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,128.0,131.0,245,1
22530,581,18,13,271,3,6,0,3,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,6,905.0,911.0,1239,2
22558,35,37,67,1,2,1,4,0,2,1,6,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,162.0,162.0,203,1
22561,51,19,17,1,11,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.0,3,106.0,109.0,176,1
22575,12,8,9,165,3,0,2,2,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,207.0,210.0,210,1
22589,51,4,3,34,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,9,96.0,105.0,257,1
22602,178,45,49,14,26,3,2,5,1,1,2,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,13,334.0,347.0,514,1
22616,148,23,11,349,4,12,1,3,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,5,560.0,565.0,1013,2
22633,51,31,36,123,4,3,3,0,2,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,9,264.0,273.0,563,1
22647,57,39,37,0,5,13,24,3,0,4,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,10,187.0,197.0,353,1
22650,2,1,17,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,23.0,23.0,25,1
22664,9,3,6,226,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,5,251.0,256.0,423,1
22678,53,8,16,48,5,1,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,153.0,158.0,271,1
22681,97,35,95,1,1,13,2,11,3,1,4,5,0,4,5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,13,281.0,294.0,538,1
22695,59,10,17,5,1,1,16,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,8,117.0,125.0,176,1
22705,41,2,22,6,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,76.0,77.0,112,1
22719,11,0,2,66,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,84.0,89.0,216,1
22736,3,2,7,19,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,3,35.0,38.0,61,1
22747,86,26,41,19,1,4,2,0,1,0,2,11,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0.0,2,199.0,201.0,309,1
22753,534,52,23,112,6,3,0,13,5,1,8,0,1,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,5,0,0,0.0,19,769.0,788.0,1232,2
22767,42,50,52,532,8,5,6,6,10,3,6,2,2,1,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,738.0,782.0,1643,2
22770,3,1,1,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,70.0,70.0,302,1
22784,2,0,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,80.0,80.0,336,1
22798,16,8,6,87,0,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,124.0,131.0,310,1
22808,76,64,102,60,9,9,18,7,10,8,3,3,3,3,1,1,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0.0,6,383.0,389.0,695,1
22811,2,3,7,1,2,3,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,24.0,24.0,76,1
22839,41,17,40,1,2,3,4,3,12,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.0,3,136.0,139.0,226,1
22842,48,1,4,2,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,64.0,64.0,79,1
22856,3,0,1,101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,107.0,107.0,419,1
22873,238,17,31,51,0,10,2,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,5,359.0,364.0,591,1
22887,4,0,1,133,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,140.0,144.0,722,1
22890,5,3,12,8,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,33.0,34.0,54,1
22914,10,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,19.0,19.0,23,1
22928,39,16,28,83,0,4,0,5,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,12,181.0,193.0,339,1
22931,60,37,38,1,2,6,6,4,17,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,7,188.0,195.0,310,1
22945,124,15,20,3,1,6,12,1,6,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0.0,0,198.0,198.0,293,1
22959,55,26,20,17,5,6,1,4,5,5,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,151.0,154.0,266,1
22988,81,83,52,5,7,11,9,11,17,16,0,44,2,6,4,2,2,1,3,1,0,0,1,1,1,0,0,6,0,0,0,0.0,8,366.0,374.0,719,1
23008,459,151,173,347,35,12,27,42,8,8,4,14,2,1,0,2,1,0,1,0,0,7,0,1,2,0,0,1,1,1,1,0.0,36,1301.0,1337.0,2340,3
23011,56,18,23,27,3,6,0,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,142.0,146.0,254,1
23025,1017,53,72,33,19,19,3,4,7,2,1,126,1,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.0,26,1363.0,1389.0,2055,4
23039,145,40,52,0,8,11,13,12,0,2,9,0,0,0,0,2,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0.0,3,301.0,304.0,489,1
23056,26,4,5,1,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,45.0,45.0,59,1
23060,58,10,19,2,6,2,2,0,6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,111.0,111.0,143,1
23073,38,6,21,37,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,107.0,111.0,159,1
23087,19,3,2,152,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,10,181.0,191.0,446,1
23090,17,2,7,190,0,1,1,0,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,226.0,233.0,428,1
23100,200,132,133,121,19,8,28,15,9,13,10,0,0,3,1,1,0,3,2,2,1,1,0,0,0,0,1,0,1,3,0,0.0,28,707.0,735.0,1974,3
