person,personLabel,personDescription,dateOfBirth,placeOfBirth,placeOfBirthLabel,placeOfBirthLocation,dateOfDeath,placeOfDeath,placeOfDeathLabel,placeOfDeathLocation
http://www.wikidata.org/entity/Q6042014,Q6042014,,1884-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1951-08-26,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6039694,Q6039694,,1842-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1923-01-01,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6036652,Хюсеин Маядаг,турски композитор,1915-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1965-11-25,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q6033278,Ака Гюндюз,,1885-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1958-11-07,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6031534,Q6031534,,1909-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1986-03-04,http://www.wikidata.org/entity/Q35997,Измир,Point(27.13838 38.41273)
http://www.wikidata.org/entity/Q6023110,Q6023110,,1888-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1968-01-01,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q6020708,Q6020708,,1881-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1975-08-15,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q5973099,Q5973099,,1890-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1945-01-01,http://www.wikidata.org/entity/Q33935,Тел Авив,Point(34.78 32.08)
http://www.wikidata.org/entity/Q5971993,Q5971993,,1940-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2006-10-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777)
http://www.wikidata.org/entity/Q5953854,Q5953854,,1899-04-26,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1984-03-12,http://www.wikidata.org/entity/Q2807,Мадрид,Point(-3.691944444 40.418888888)
http://www.wikidata.org/entity/Q5540762,Георгиос Хурмузиадис,гръцки археолог,1932-11-26,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2013-10-16,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777)
http://www.wikidata.org/entity/Q5222849,Q5222849,,1922-09-02,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2020-03-25,http://www.wikidata.org/entity/Q65,Лос Анджелис,Point(-118.24368 34.05223)
http://www.wikidata.org/entity/Q5219153,Q5219153,,1883-08-03,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1979-11-13,http://www.wikidata.org/entity/Q33935,Тел Авив,Point(34.78 32.08)
http://www.wikidata.org/entity/Q4808954,Мехмед Джавид бей,,1875-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1926-08-26,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q4648204,Q4648204,,1928-03-13,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2017-02-01,http://www.wikidata.org/entity/Q34404,Ню Орлиънс,Point(-90.07507 29.95465)
http://www.wikidata.org/entity/Q4531649,Ахмед Емин Ялман,,1888-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1972-12-19,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q4501476,Сотирис Христидис,,1858-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1940-01-01,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q4431264,Спиридон Транделис,,1926-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2009-12-04,http://www.wikidata.org/entity/Q41,Гърция,Point(23.0 38.5)
http://www.wikidata.org/entity/Q4342256,Андроникос Пайкос,,1796-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1879-01-01,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q4275586,Q4275586,,1885-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1956-01-18,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q4120852,Q4120852,,1867-05-29,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1941-12-05,http://www.wikidata.org/entity/Q35997,Измир,Point(27.13838 38.41273)
http://www.wikidata.org/entity/Q4015324,Q4015324,,1930-06-22,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2011-08-02,http://www.wikidata.org/entity/Q220,Рим,Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q3845641,Q3845641,,1914-04-07,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1993-09-22,http://www.wikidata.org/entity/Q546,Триест,Point(13.770277777 45.650277777)
http://www.wikidata.org/entity/Q3840461,Q3840461,,1922-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2007-10-19,http://www.wikidata.org/entity/Q220,Рим,Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q3822117,Матрона Солунска,,,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777)
http://www.wikidata.org/entity/Q3802359,Q3802359,,1896-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1979-01-01,http://www.wikidata.org/entity/Q1218,Йерусалим,Point(35.216666666 31.783333333)
http://www.wikidata.org/entity/Q3624341,Шюкрю Наили Гьокберк,османски и турски генерал,1876-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1936-10-26,http://www.wikidata.org/entity/Q43387,Одрин,Point(26.559444444 41.678055555)
http://www.wikidata.org/entity/Q3624133,Алберт Карасу,,1885-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1982-01-01,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q3623469,Салих Бозок,османски и турски офицер и политик,1881-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1941-04-25,http://www.wikidata.org/entity/Q406,Истанбул,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q3622231,Ахмед Деде Мюнеджимбаши,,,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1702-02-28,http://www.wikidata.org/entity/Q5806,Мека,Point(39.826111111 21.4225)
http://www.wikidata.org/entity/Q3556837,Васо Деведзи,,1927-09-09,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1987-11-01,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444)
http://www.wikidata.org/entity/Q3556315,Q3556315,,1949-08-20,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1988-03-17,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q3553678,Q3553678,,1925-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2011-05-25,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
