municipality_name,ИТН,ГЕРБ-СДС,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,невалидни,РЕПУБЛИКАНЦИ ЗА БГ,НОД,ГЛАС НАРОДЕН,БНС,СВОБОДА,БТР,ЗАЕДНО,МИР,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Неделино,281,494,371,182,328,185,41,15,12,11.0,6,2,17.0,1,1,0,4,3,2,2,0,1,2,1,0,0.0,5514.0,22,22. СМОЛЯН,22,1962.0,0.3558215451577802,SML18
Несебър,2571,1804,1126,936,131,1338,291,329,241,112.0,29,43,12.0,14,26,11,10,18,9,70,13,8,12,12,3,0.0,20693.0,2,02. БУРГАС,37,9169.0,0.4430966993669357,BGS15
Никола Козлево,176,1809,260,9,531,22,4,7,12,13.0,16,1,7.0,13,0,3,8,14,6,3,3,1,3,4,0,0.0,6599.0,30,30. ШУМЕН,14,2925.0,0.44324897711774514,SHU21
Николаево,221,222,249,38,730,35,20,21,15,2.0,10,6,0.0,5,3,1,2,5,4,3,1,0,1,2,0,0.0,3682.0,27,27. СТАРА ЗАГОРА,7,1596.0,0.43346007604562736,SZR38
Никопол,480,570,1153,94,1022,143,73,28,15,19.0,16,5,27.0,18,6,2,5,5,6,4,5,2,2,3,6,0.0,8219.0,15,15. ПЛЕВЕН,20,3709.0,0.4512714442146247,PVN21
Нова Загора,2673,3005,1809,939,636,663,242,254,141,122.0,84,43,62.0,29,13,22,16,24,11,12,21,11,18,9,0,0.0,32130.0,21,21. СЛИВЕН,63,10859.0,0.3379707438530968,SLV16
Нови пазар,1081,897,1065,266,1397,168,231,108,64,42.0,28,14,24.0,4,6,2,5,15,17,4,16,4,16,9,0,0.0,16943.0,30,30. ШУМЕН,34,5483.0,0.32361447205335536,SHU22
Ново село,197,367,213,109,19,42,26,21,6,12.0,7,3,25.0,8,0,0,2,1,1,1,1,0,0,0,0,0.0,2140.0,5,05. ВИДИН,8,1061.0,0.4957943925233645,VID30
Омуртаг,654,984,507,196,6065,170,88,35,28,82.0,17,11,38.0,3,2,5,8,7,10,5,20,2,14,9,0,0.0,25116.0,28,28. ТЪРГОВИЩЕ,59,8960.0,0.35674470457079155,TGV22
Опака,146,265,164,33,1793,30,13,18,14,21.0,9,0,1.0,2,2,3,3,3,4,1,5,0,3,2,0,0.0,5773.0,28,28. ТЪРГОВИЩЕ,12,2535.0,0.439113112766326,TGV23
Опан,206,279,322,32,154,41,55,23,14,2.0,7,24,36.0,0,1,1,4,0,1,0,2,1,1,0,0,0.0,2104.0,27,27. СТАРА ЗАГОРА,13,1206.0,0.5731939163498099,SZR23
Оряхово,890,925,705,131,352,133,111,49,52,38.0,22,14,12.0,8,1,3,5,8,4,10,5,1,8,5,0,0.0,8754.0,6,06. ВРАЦА,18,3492.0,0.3989033584647019,VRC31
Павел баня,942,756,653,198,1870,158,127,67,42,38.0,20,17,7.0,2,1,7,6,7,5,4,19,2,2,7,3,0.0,13754.0,27,27. СТАРА ЗАГОРА,24,4960.0,0.36062236440308276,SZR24
Павликени,1661,1561,1766,315,484,299,225,181,80,109.0,62,37,20.0,179,14,7,19,11,16,5,4,4,10,4,0,0.0,20028.0,4,04. ВЕЛИКО ТЪРНОВО,42,7073.0,0.3531555821849411,VTR22
Пазарджик,9504,8676,5456,3072,662,1422,950,906,748,440.0,204,138,50.0,206,117,34,69,54,47,36,50,44,62,28,0,0.0,100747.0,13,13. ПАЗАРДЖИК,153,32975.0,0.3273050314153275,PAZ19
Панагюрище,2137,2151,1565,597,25,337,212,215,189,107.0,41,23,2.0,17,14,19,15,10,20,11,13,8,11,9,0,0.0,21004.0,13,13. ПАЗАРДЖИК,27,7748.0,0.36888211769186824,PAZ20
Перник,8230,9874,4924,3212,210,1822,1219,830,797,525.0,204,139,28.0,37,340,62,51,44,45,49,49,29,59,32,0,0.0,80437.0,14,14. ПЕРНИК,140,32811.0,0.40790929547347615,PER32
Перущица,316,396,219,139,59,102,42,37,25,20.0,5,10,0.0,2,2,0,4,8,1,1,1,1,0,3,1,0.0,4114.0,17,17. ПЛОВДИВ област,6,1394.0,0.33884297520661155,PDV40
Петрич,5249,6555,2256,1300,113,1692,1134,300,336,177.0,75,27,37.0,22,21,11,62,38,21,40,20,15,15,22,22,0.0,54757.0,1,01. БЛАГОЕВГРАД,92,19560.0,0.3572146026991983,BLG33
Пещера,1231,1067,1256,325,321,336,411,117,115,76.0,27,14,0.0,5,10,3,9,14,7,11,10,9,14,5,0,0.0,18147.0,13,13. ПАЗАРДЖИК,27,5393.0,0.29718410756598884,PAZ21
Пирдоп,722,708,372,214,143,232,72,61,30,41.0,16,25,0.0,2,13,2,8,6,5,1,2,2,3,4,1,0.0,6638.0,26,26. СОФИЯ област,14,2685.0,0.4044893040072311,SFO55
Плевен,16910,9716,6618,4132,633,2446,2320,1301,736,583.0,236,183,38.0,261,186,67,79,48,62,56,65,34,32,48,47,0.0,116362.0,15,15. ПЛЕВЕН,167,46837.0,0.40251112906275244,PVN24
Пловдив,31202,29712,14893,19406,1926,5515,4353,4740,2356,1988.0,447,801,62.0,154,438,258,198,140,155,167,101,140,103,95,51,0.0,298192.0,16,16. ПЛОВДИВ град,473,119401.0,0.4004165101679455,PDV22
Полски Тръмбеш,1011,800,978,175,618,159,151,94,47,37.0,22,15,21.0,59,6,5,12,10,3,6,2,0,4,4,0,0.0,11616.0,4,04. ВЕЛИКО ТЪРНОВО,22,4239.0,0.36492768595041325,VTR26
Поморие,2205,2272,1003,772,1507,602,216,275,182,107.0,37,32,11.0,21,26,7,16,10,11,12,13,8,7,16,3,0.0,22837.0,2,02. БУРГАС,51,9371.0,0.41034286464947234,BGS17
Попово,2008,1524,1826,481,795,515,146,140,190,91.0,31,30,40.0,61,12,9,6,13,8,9,9,7,9,4,0,0.0,25068.0,28,28. ТЪРГОВИЩЕ,53,7964.0,0.3176958672411042,TGV24
Пордим,433,501,505,58,50,74,125,37,12,16.0,15,5,2.0,4,2,1,2,4,2,2,3,2,0,1,0,0.0,4738.0,15,15. ПЛЕВЕН,10,1856.0,0.39172646686365553,PVN27
Правец,596,689,799,198,183,126,66,49,41,53.0,7,8,41.0,2,2,6,8,10,7,7,11,7,4,3,3,0.0,6201.0,26,26. СОФИЯ област,16,2926.0,0.4718593775197549,SFO34
Приморско,759,989,290,273,106,219,70,82,54,42.0,8,9,5.0,5,7,2,7,3,8,4,13,4,3,3,1,0.0,5697.0,2,02. БУРГАС,9,2966.0,0.5206248902931367,BGS27
Провадия,1607,2398,1265,296,869,249,466,185,69,52.0,60,13,49.0,20,5,9,28,13,15,16,11,2,3,19,10,0.0,19347.0,3,03. ВАРНА,46,7729.0,0.39949346151858167,VAR24
Първомай,1699,1658,2052,429,837,332,178,231,141,81.0,47,32,8.0,30,3,8,31,27,10,3,7,5,7,3,5,0.0,22749.0,17,17. ПЛОВДИВ област,40,7864.0,0.34568552463844565,PDV23
Раднево,1967,1192,1389,368,168,611,219,155,129,72.0,28,28,31.0,147,7,2,16,20,32,7,8,7,5,5,4,0.0,15472.0,27,27. СТАРА ЗАГОРА,38,6617.0,0.4276758014477766,SZR27
Радомир,1604,2253,991,467,120,344,152,153,121,100.0,34,16,72.0,8,42,10,6,10,10,12,4,15,15,4,0,0.0,15710.0,14,14. ПЕРНИК,50,6563.0,0.4177593889242521,PER36
Разград,3576,3369,2378,2307,2523,601,426,342,153,198.0,78,36,22.0,139,56,22,24,39,19,21,6,14,33,15,0,0.0,51458.0,18,18. РАЗГРАД,70,16397.0,0.3186482179641649,RAZ26
Разлог,2464,2238,1281,1576,334,400,162,145,114,77.0,33,47,4.0,35,7,12,29,20,9,9,16,4,8,8,4,0.0,17490.0,1,01. БЛАГОЕВГРАД,29,9036.0,0.5166380789022298,BLG37
Ракитово,839,642,724,121,604,86,84,60,139,24.0,11,5,0.0,11,1,2,5,6,5,4,13,2,6,2,0,0.0,11827.0,13,13. ПАЗАРДЖИК,17,3396.0,0.2871395958400271,PAZ24
Раковски,1700,2283,927,519,75,253,183,184,73,76.0,35,29,7.0,15,7,4,11,21,22,7,7,3,8,11,6,0.0,22390.0,17,17. ПЛОВДИВ област,34,6466.0,0.2887896382313533,PDV25
Рила,186,298,161,135,7,46,53,6,7,20.0,9,4,6.0,4,2,1,3,3,1,1,1,0,0,2,0,0.0,2419.0,10,10. КЮСТЕНДИЛ,8,956.0,0.3952046300124018,KNL38
Родопи,2952,2867,1529,894,569,629,333,322,233,165.0,57,38,11.0,14,36,21,18,29,20,13,8,11,8,8,6,0.0,27715.0,17,17. ПЛОВДИВ област,56,10791.0,0.3893559444344218,PDV26
Роман,483,548,434,140,397,89,87,15,24,21.0,17,6,20.0,9,1,4,7,3,4,4,1,0,9,3,0,0.0,4847.0,6,06. ВРАЦА,18,2326.0,0.47988446461728906,VRC32
Рудозем,883,663,278,217,2069,124,70,18,31,88.0,13,1,12.0,6,2,1,2,4,11,5,5,6,7,6,0,0.0,8514.0,22,22. СМОЛЯН,26,4522.0,0.5311252055438102,SML27
Руен,211,763,335,70,12229,165,32,7,28,71.0,26,9,0.0,55,5,4,13,13,8,12,19,2,3,4,2,0.0,27239.0,2,02. БУРГАС,49,14086.0,0.5171261793751606,BGS18
Ружинци,296,747,223,70,50,56,22,13,36,10.0,6,5,25.0,9,2,2,2,3,5,2,2,1,3,0,0,0.0,3214.0,5,05. ВИДИН,13,1590.0,0.49471064094586187,VID33
Русе,18133,10246,7983,6269,1576,3158,2281,1970,1006,798.0,302,223,69.0,110,219,87,78,128,115,96,79,78,75,30,0,0.0,145081.0,19,19. РУСЕ,218,55109.0,0.37984987696528144,RSE27
Садово,974,782,1372,170,86,180,66,57,62,49.0,20,20,15.0,4,9,1,18,5,5,2,2,2,4,7,2,0.0,12096.0,17,17. ПЛОВДИВ област,21,3914.0,0.3235780423280423,PDV28
