municipality_name,ИТН,ГЕРБ-СДС,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,невалидни,РЕПУБЛИКАНЦИ ЗА БГ,НОД,ГЛАС НАРОДЕН,БНС,СВОБОДА,БТР,ЗАЕДНО,МИР,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,655,1225,540,141,207,182,169,68,22,28.0,22,10,32.0,2,6,4,4,15,9,7,7,4,4,9,2,0.0,6725.0,3,03. ВАРНА,17,3374.0,0.5017100371747212,VAR01
Айтос,1560,2891,1046,444,2606,331,155,143,70,61.0,42,30,32.0,5,13,14,9,5,13,7,7,4,8,1,8,0.0,27414.0,2,02. БУРГАС,50,9505.0,0.3467206536806012,BGS01
Аксаково,2013,2562,1041,491,292,327,418,247,58,85.0,33,32,61.0,29,12,14,20,56,16,8,7,15,8,11,2,0.0,17066.0,3,03. ВАРНА,38,7858.0,0.46044767373725537,VAR02
Алфатар,233,360,173,55,167,28,32,14,10,11.0,8,2,10.0,3,1,0,4,0,2,2,3,1,0,0,1,0.0,2579.0,20,20. СИЛИСТРА,11,1120.0,0.4342768514928267,SLS01
Антон,116,85,72,38,58,37,7,18,10,8.0,5,3,0.0,2,3,0,1,3,0,0,0,0,0,2,0,0.0,1260.0,26,26. СОФИЯ област,2,468.0,0.37142857142857144,SFO54
Антоново,320,401,238,34,1693,31,13,16,7,21.0,6,6,37.0,3,1,2,0,3,1,2,7,0,1,1,0,0.0,5342.0,28,28. ТЪРГОВИЩЕ,40,2844.0,0.5323848745788095,TGV02
Априлци,336,376,192,114,10,65,44,41,11,8.0,8,19,6.0,2,0,0,1,0,3,0,0,1,0,2,1,0.0,2475.0,11,11. ЛОВЕЧ,7,1240.0,0.501010101010101,LOV02
Ардино,308,715,212,100,5443,65,7,8,11,40.0,12,3,30.0,2,0,2,0,7,6,3,5,0,3,1,0,0.0,24385.0,9,09. КЪРДЖАЛИ,58,6983.0,0.2863645683822022,KRZ02
Асеновград,4752,5903,3289,1665,3663,984,733,508,297,237.0,105,88,48.0,23,23,23,44,27,37,27,12,9,21,15,8,0.0,57478.0,17,17. ПЛОВДИВ област,108,22541.0,0.3921674379762692,PDV01
Балчик,1529,1027,922,577,561,305,413,193,75,63.0,50,37,29.0,5,18,9,18,18,13,10,5,7,13,10,0,0.0,17595.0,8,08. ДОБРИЧ,38,5907.0,0.3357203751065644,DOB03
Баните,317,659,371,64,275,108,67,8,27,15.0,5,0,25.0,1,1,0,0,0,3,0,0,0,2,0,0,0.0,3661.0,22,22. СМОЛЯН,21,1948.0,0.5320950559956296,SML02
Банско,1537,1871,766,517,128,498,282,108,103,104.0,25,11,11.0,30,3,8,14,7,7,11,13,5,2,3,5,0.0,10625.0,1,01. БЛАГОЕВГРАД,23,6069.0,0.5712,BLG01
Батак,365,467,234,100,1360,87,78,23,31,36.0,8,6,2.0,3,0,4,1,3,8,2,6,2,7,3,0,0.0,5235.0,13,13. ПАЗАРДЖИК,11,2836.0,0.541738299904489,PAZ03
Белене,1064,487,761,220,92,411,55,101,43,49.0,15,5,24.0,26,3,3,7,1,4,2,2,5,5,6,1,0.0,7818.0,15,15. ПЛЕВЕН,17,3392.0,0.43387055512918904,PVN03
Белица,201,441,241,29,3685,66,17,9,21,21.0,5,2,11.0,0,0,1,4,5,4,2,10,0,0,5,3,0.0,7953.0,1,01. БЛАГОЕВГРАД,19,4783.0,0.6014082736074438,BLG02
Белово,860,1344,819,155,1,144,37,72,52,31.0,36,17,0.0,5,1,7,16,3,11,6,2,1,7,5,0,0.0,7352.0,13,13. ПАЗАРДЖИК,13,3632.0,0.4940152339499456,PAZ04
Белоградчик,445,390,409,229,43,93,98,39,43,39.0,11,9,10.0,5,12,1,6,2,0,4,2,3,3,2,0,0.0,5354.0,5,05. ВИДИН,19,1898.0,0.35450130743369446,VID01
Белослав,1252,626,355,190,169,161,229,76,42,39.0,21,10,0.0,13,3,7,10,19,8,4,4,2,2,9,4,0.0,8996.0,3,03. ВАРНА,14,3255.0,0.361827478879502,VAR04
Берковица,1470,1348,988,278,1000,371,164,117,175,75.0,38,15,31.0,31,9,7,15,9,16,5,7,5,5,5,6,0.0,15654.0,12,12. МОНТАНА,41,6190.0,0.3954260891784847,MON02
Благоевград,7412,6649,3484,3945,1641,1561,1081,714,336,368.0,101,66,8.0,119,36,22,43,36,46,40,25,37,14,22,6,0.0,90680.0,1,01. БЛАГОЕВГРАД,142,27812.0,0.30670489633877374,BLG03
Бобов дол,692,779,575,100,31,167,112,42,20,40.0,20,5,19.0,43,2,1,10,10,15,0,3,57,2,6,0,0.0,6821.0,10,10. КЮСТЕНДИЛ,27,2751.0,0.40331329717050285,KNL04
Бобошево,231,246,162,42,23,61,149,12,15,10.0,11,2,5.0,5,4,1,6,3,2,0,3,0,5,1,0,0.0,2109.0,10,10. КЮСТЕНДИЛ,10,999.0,0.47368421052631576,KNL05
Божурище,708,838,427,422,29,152,78,83,84,55.0,18,7,5.0,9,17,7,7,3,4,2,5,10,2,3,2,0.0,6002.0,26,26. СОФИЯ област,12,2977.0,0.49600133288903697,SFO06
Бойница,79,239,57,13,7,23,2,0,3,6.0,3,0,14.0,1,0,1,0,0,1,1,0,0,0,0,0,0.0,751.0,5,05. ВИДИН,5,450.0,0.5992010652463382,VID03
Бойчиновци,641,479,392,76,697,138,165,42,19,19.0,16,8,16.0,351,2,3,6,11,5,7,6,2,1,5,5,0.0,7117.0,12,12. МОНТАНА,19,3112.0,0.43726289166783755,MON04
Болярово,212,277,906,59,23,59,58,22,12,14.0,15,8,51.0,4,1,1,3,6,3,2,3,1,1,2,0,0.0,2808.0,31,31. ЯМБОЛ,21,1743.0,0.6207264957264957,JAM03
Борино,185,144,94,93,1261,21,1,8,21,14.0,1,2,2.0,4,0,1,0,1,1,0,2,1,1,1,0,0.0,3240.0,22,22. СМОЛЯН,10,1859.0,0.5737654320987654,SML05
Борован,291,295,300,31,1023,53,47,10,57,21.0,12,7,25.0,4,1,0,4,14,5,5,4,1,6,2,0,0.0,4477.0,6,06. ВРАЦА,13,2218.0,0.4954210408755863,VRC05
Борово,355,509,378,40,245,102,46,20,9,11.0,14,8,5.0,22,2,1,5,3,4,6,3,3,6,3,0,0.0,4972.0,19,19. РУСЕ,10,1800.0,0.36202735317779566,RSE03
Ботевград,3332,2686,1725,994,220,511,385,207,334,146.0,50,51,14.0,12,56,27,29,26,23,23,137,12,8,8,6,0.0,27548.0,26,26. СОФИЯ област,45,11022.0,0.40010164077246985,SFO07
Братя Даскалови,367,566,596,84,254,98,83,51,20,15.0,10,15,24.0,7,0,5,5,3,1,3,3,3,1,0,2,0.0,5886.0,27,27. СТАРА ЗАГОРА,23,2216.0,0.3764865783214407,SZR04
Брацигово,625,821,547,158,19,117,179,49,68,28.0,19,9,1.0,7,2,3,11,5,6,4,1,2,6,3,0,0.0,7542.0,13,13. ПАЗАРДЖИК,16,2690.0,0.35666931848316097,PAZ06
Брегово,305,1146,596,72,9,67,37,22,16,40.0,14,4,28.0,5,2,0,4,4,3,1,1,3,4,4,0,0.0,4221.0,5,05. ВИДИН,15,2387.0,0.5655058043117744,VID06
Брезник,554,743,472,132,33,183,55,48,36,31.0,16,9,19.0,4,33,1,3,2,5,2,1,1,3,3,0,0.0,5263.0,14,14. ПЕРНИК,26,2389.0,0.45392361770853124,PER08
Брезово,414,614,721,86,9,123,67,35,18,23.0,11,3,53.0,1,4,3,10,4,5,2,1,2,4,3,3,0.0,5195.0,17,17. ПЛОВДИВ област,19,2219.0,0.4271414821944177,PDV07
Брусарци,404,692,286,33,230,86,17,15,17,17.0,14,5,28.0,0,0,3,3,4,3,2,2,2,4,1,2,0.0,3780.0,12,12. МОНТАНА,16,1870.0,0.4947089947089947,MON07
Бургас,20388,20159,9185,11275,1140,4951,2971,3079,1521,1282.0,247,393,57.0,151,478,138,84,89,121,89,137,89,82,55,26,0.0,182237.0,2,02. БУРГАС,340,78187.0,0.4290402058857422,BGS04
Бяла (Варна),318,264,172,115,51,56,64,24,13,18.0,3,3,5.0,2,2,0,6,5,1,1,3,0,1,2,0,0.0,2589.0,3,03. ВАРНА,6,1129.0,0.43607570490536884,VAR05
Бяла (Русе),1277,1379,803,192,276,197,92,124,40,44.0,27,4,47.0,85,1,8,8,17,11,4,6,4,11,6,0,0.0,11689.0,19,19. РУСЕ,26,4663.0,0.398922063478484,RSE04
Бяла Слатина,1982,4675,1126,367,819,446,139,103,137,111.0,45,13,21.0,176,7,13,32,27,22,12,8,2,17,9,0,0.0,20770.0,6,06. ВРАЦА,46,10309.0,0.4963408762638421,VRC08
Варна,35518,30305,12516,20195,2621,7760,5774,6173,1879,1811.0,502,609,33.0,274,460,345,164,116,132,122,124,211,100,75,41,0.0,292467.0,3,03. ВАРНА,406,127860.0,0.4371775277210762,VAR06
Велики Преслав,854,944,591,203,597,150,383,73,45,51.0,19,11,12.0,11,28,5,10,14,9,3,6,2,8,5,0,0.0,12387.0,30,30. ШУМЕН,23,4034.0,0.32566400258335354,SHU23
Велико Търново,8600,7751,4378,3726,1332,1661,1217,1319,468,469.0,132,128,61.0,91,56,64,37,20,40,31,27,34,39,18,0,0.0,72130.0,4,04. ВЕЛИКО ТЪРНОВО,144,31699.0,0.4394704006654651,VTR04
Велинград,1889,4071,1360,787,1731,319,161,205,1276,89.0,36,25,29.0,16,14,13,15,12,8,8,18,7,13,8,0,0.0,30110.0,13,13. ПАЗАРДЖИК,52,12110.0,0.40219196280305547,PAZ08
Венец,128,1074,106,7,2383,25,20,3,6,25.0,13,2,7.0,4,0,0,3,11,0,5,5,0,5,1,0,0.0,10603.0,30,30. ШУМЕН,17,3833.0,0.3615014618504197,SHU07
Ветово,534,268,343,52,2838,65,73,33,36,29.0,14,4,3.0,1,4,2,3,1,8,2,4,0,9,3,0,0.0,12325.0,19,19. РУСЕ,22,4329.0,0.351237322515213,RSE05
Ветрино,454,830,266,64,364,58,41,49,18,34.0,19,26,15.0,2,3,5,9,1,2,2,3,1,3,4,2,0.0,4723.0,3,03. ВАРНА,13,2275.0,0.4816853694685581,VAR08
Видин,4992,5070,3116,1668,540,1199,370,469,366,285.0,116,86,35.0,326,23,41,30,23,18,55,15,12,26,15,0,0.0,57146.0,5,05. ВИДИН,128,18896.0,0.330661813600252,VID09
Враца,7368,7149,3543,2313,732,1555,965,728,480,368.0,171,67,39.0,63,39,41,53,41,27,42,29,15,39,13,0,0.0,66333.0,6,06. ВРАЦА,111,25880.0,0.3901527143352479,VRC10
Вълчедръм,522,418,435,62,1190,138,62,48,22,28.0,24,15,13.0,81,2,5,19,8,6,7,4,7,4,2,4,0.0,7079.0,12,12. МОНТАНА,21,3126.0,0.44158779488628336,MON11
Вълчи дол,627,1194,578,104,337,102,132,69,23,34.0,29,9,50.0,8,6,5,3,6,10,4,5,3,4,9,6,0.0,8037.0,3,03. ВАРНА,26,3357.0,0.4176931690929451,VAR09
Върбица,188,401,157,40,3367,41,9,7,6,13.0,12,3,13.0,1,1,1,4,3,3,1,8,0,0,1,0,0.0,11390.0,30,30. ШУМЕН,23,4280.0,0.37576821773485514,SHU10
Вършец,642,799,482,186,383,170,83,31,31,24.0,15,11,20.0,13,4,2,4,4,2,5,3,3,2,6,3,0.0,6411.0,12,12. МОНТАНА,18,2928.0,0.45671502105755735,MON12
Габрово,5337,7470,2828,2168,428,1176,1007,764,382,356.0,116,88,66.0,71,73,44,37,29,36,31,20,38,35,14,0,0.0,55902.0,7,07. ГАБРОВО,113,22614.0,0.4045293549425781,GAB05
Генерал Тошево,1108,704,1137,263,268,182,147,86,79,44.0,49,17,44.0,12,10,8,11,5,7,3,6,5,11,2,0,0.0,12954.0,8,08. ДОБРИЧ,47,4208.0,0.3248417477227111,DOB12
Георги Дамяново,241,446,257,44,80,71,13,22,7,12.0,12,4,27.0,12,2,1,2,1,3,1,0,1,0,1,1,0.0,1923.0,12,12. МОНТАНА,14,1261.0,0.655746229849194,MON14
Главиница,343,856,289,52,3468,69,36,31,17,37.0,15,7,18.0,30,2,0,5,8,5,4,4,2,0,4,4,0.0,11194.0,20,20. СИЛИСТРА,26,5306.0,0.47400393067714847,SLS07
Годеч,460,612,252,112,40,85,23,24,48,28.0,8,4,4.0,2,4,0,1,4,3,3,0,2,1,1,1,0.0,4333.0,26,26. СОФИЯ област,11,1722.0,0.3974151857835218,SFO09
Горна Малина,555,528,476,195,48,92,124,47,57,27.0,7,4,38.0,1,3,3,5,5,8,3,5,1,4,0,1,0.0,4692.0,26,26. СОФИЯ област,15,2237.0,0.476768968456948,SFO10
Горна Оряховица,4710,3649,3001,1243,449,750,525,489,229,175.0,90,44,17.0,20,16,57,33,31,21,44,47,17,27,13,0,0.0,40253.0,4,04. ВЕЛИКО ТЪРНОВО,67,15697.0,0.38995851240901297,VTR06
Гоце Делчев,1697,2356,2615,733,2835,399,230,229,224,132.0,37,24,7.0,26,13,7,18,9,8,5,7,2,13,5,4,0.0,27887.0,1,01. БЛАГОЕВГРАД,44,11635.0,0.41721949295370603,BLG11
Грамада,123,168,187,144,33,28,29,6,4,9.0,5,2,29.0,2,2,0,0,3,2,1,1,0,1,1,0,0.0,1430.0,5,05. ВИДИН,9,780.0,0.5454545454545454,VID15
Гулянци,896,644,899,227,36,190,152,51,29,31.0,23,8,10.0,14,5,3,9,11,9,4,3,2,1,4,1,0.0,9825.0,15,15. ПЛЕВЕН,21,3262.0,0.33201017811704836,PVN08
Гурково,364,165,327,101,680,48,30,40,64,7.0,12,11,15.0,5,6,2,8,5,6,5,6,0,2,3,4,0.0,4300.0,27,27. СТАРА ЗАГОРА,11,1916.0,0.44558139534883723,SZR37
Гълъбово,1091,663,850,174,766,229,133,95,131,61.0,31,26,23.0,66,5,5,26,20,14,13,8,5,8,7,4,0.0,9674.0,27,27. СТАРА ЗАГОРА,23,4454.0,0.4604093446351044,SZR07
Гърмен,781,793,354,211,3326,233,61,19,55,38.0,13,3,11.0,54,5,5,6,8,4,6,3,0,2,3,1,0.0,13258.0,1,01. БЛАГОЕВГРАД,23,5995.0,0.452179815960175,BLG13
Две могили,627,738,389,92,507,88,76,45,13,17.0,16,4,15.0,1,1,1,12,6,3,5,2,3,4,1,0,0.0,7770.0,19,19. РУСЕ,15,2666.0,0.3431145431145431,RSE08
Девин,959,1230,787,186,894,115,35,45,42,51.0,13,17,14.0,10,5,0,6,11,3,6,7,7,9,4,0,0.0,10310.0,22,22. СМОЛЯН,24,4456.0,0.43220174587778853,SML09
Девня,697,1231,264,94,50,164,233,52,25,32.0,16,11,11.0,7,1,1,6,19,11,1,4,2,2,4,3,0.0,7743.0,3,03. ВАРНА,11,2941.0,0.3798269404623531,VAR14
Джебел,230,676,108,46,4645,14,9,12,7,18.0,6,2,24.0,10,0,1,4,3,5,1,8,0,4,1,0,0.0,21790.0,9,09. КЪРДЖАЛИ,45,5834.0,0.2677374942634236,KRZ08
Димитровград,4967,4963,2688,1677,466,941,293,877,242,196.0,79,64,77.0,131,38,24,51,31,20,24,16,18,33,14,0,0.0,47390.0,29,29. ХАСКОВО,91,17930.0,0.3783498628402617,HKV09
Димово,321,378,320,91,654,106,32,23,94,29.0,13,4,19.0,104,0,2,4,2,6,0,8,1,3,4,0,0.0,4956.0,5,05. ВИДИН,27,2218.0,0.44753833736884585,VID16
Добрич,7894,6045,4508,3234,831,1663,1198,1205,445,355.0,134,140,21.0,69,111,88,39,27,49,34,22,29,41,22,0,0.0,81493.0,8,08. ДОБРИЧ,129,28204.0,0.3460910753070816,DOB28
Добрич-селска,1082,1060,2082,224,1779,275,135,119,33,44.0,42,17,77.0,12,12,13,30,14,14,6,6,4,13,3,0,0.0,20581.0,8,08. ДОБРИЧ,68,7096.0,0.34478402409989795,DOB15
Долна Митрополия,1835,1236,1167,213,126,343,179,98,62,46.0,36,21,2.0,10,58,9,12,10,13,4,6,2,5,8,11,0.0,16125.0,15,15. ПЛЕВЕН,34,5512.0,0.34182945736434106,PVN10
Долна баня,352,1462,180,96,24,64,13,37,20,29.0,18,3,11.0,3,1,3,10,3,8,3,2,3,1,6,3,0.0,3819.0,26,26. СОФИЯ област,8,2355.0,0.6166535742340927,SFO59
Долни Дъбник,838,728,904,136,184,294,132,41,48,28.0,19,6,1.0,25,5,8,7,14,6,6,16,3,6,6,4,0.0,11687.0,15,15. ПЛЕВЕН,21,3465.0,0.2964832720116369,PVN11
Долни чифлик,993,1982,645,116,483,240,168,109,50,33.0,38,8,16.0,6,3,4,17,19,13,5,9,2,2,10,6,0.0,15826.0,3,03. ВАРНА,29,4977.0,0.3144824971565778,VAR13
Доспат,964,1859,324,104,225,84,4,6,26,20.0,6,6,2.0,7,0,2,7,2,3,2,3,3,7,7,0,0.0,7616.0,22,22. СМОЛЯН,13,3673.0,0.48227415966386555,SML10
Драгоман,481,690,322,111,29,91,125,34,27,33.0,10,8,28.0,4,1,2,7,2,3,1,1,0,3,1,1,0.0,4140.0,26,26. СОФИЯ област,20,2015.0,0.4867149758454106,SFO16
Дряново,784,628,843,209,103,193,171,66,38,38.0,20,31,20.0,12,2,8,4,9,5,7,0,7,3,4,0,0.0,7744.0,7,07. ГАБРОВО,24,3205.0,0.4138688016528926,GAB12
Дулово,624,4316,477,94,5453,159,42,45,62,77.0,41,9,10.0,171,3,2,6,24,12,13,13,2,1,13,7,0.0,29262.0,20,20. СИЛИСТРА,44,11676.0,0.3990157883945048,SLS10
Дупница,3894,4480,2568,1119,169,868,588,382,253,205.0,99,40,26.0,55,41,24,38,17,22,28,8,45,20,13,0,0.0,40692.0,10,10. КЮСТЕНДИЛ,74,15002.0,0.36867197483534847,KNL48
Дългопол,502,2574,621,166,1519,94,128,36,21,23.0,36,13,36.0,4,3,4,8,8,5,1,7,2,0,10,3,0.0,12631.0,3,03. ВАРНА,32,5824.0,0.4610877998574935,VAR16
Елена,638,1183,709,206,221,111,97,92,35,45.0,22,9,34.0,12,2,1,9,15,11,3,1,4,5,3,0,0.0,8111.0,4,04. ВЕЛИКО ТЪРНОВО,25,3468.0,0.4275675009246702,VTR13
Елин Пелин,2047,1595,994,770,76,262,695,228,204,165.0,49,16,13.0,12,11,21,16,9,10,15,9,14,5,13,6,0.0,18071.0,26,26. СОФИЯ област,33,7255.0,0.40147197166731224,SFO17
Елхово,1157,1340,1069,302,86,221,204,105,61,43.0,53,11,39.0,6,4,6,9,18,9,5,4,4,10,1,0,0.0,12892.0,31,31. ЯМБОЛ,30,4767.0,0.36976419484951906,JAM07
Етрополе,1318,844,868,300,139,248,92,93,73,53.0,16,12,40.0,6,6,11,20,13,8,8,6,3,4,3,6,0.0,10326.0,26,26. СОФИЯ област,20,4190.0,0.4057718380786364,SFO18
Завет,202,362,136,390,2767,59,16,20,13,37.0,11,3,4.0,4,0,1,8,7,5,1,4,1,3,1,0,0.0,11233.0,18,18. РАЗГРАД,18,4055.0,0.3609899403543132,RAZ11
Земен,222,408,199,62,71,48,66,27,7,13.0,8,5,19.0,2,4,2,2,2,1,1,0,2,2,0,0,0.0,2035.0,14,14. ПЕРНИК,14,1173.0,0.5764127764127764,PER19
Златарица,256,189,282,49,294,231,231,10,8,9.0,10,2,9.0,2,1,4,6,8,3,6,3,2,4,2,0,0.0,3567.0,4,04. ВЕЛИКО ТЪРНОВО,13,1621.0,0.4544435099523409,VTR14
Златица,480,518,278,141,18,356,42,39,44,36.0,12,4,7.0,1,5,6,3,1,4,3,2,5,3,1,1,0.0,4735.0,26,26. СОФИЯ област,11,2010.0,0.4244984160506864,SFO47
Златоград,1053,1232,1090,271,333,114,63,68,44,52.0,11,8,16.0,10,3,5,14,16,5,4,2,1,7,2,0,0.0,10093.0,22,22. СМОЛЯН,22,4424.0,0.43832359060735165,SML11
Ивайловград,518,1096,441,131,324,222,56,74,12,35.0,14,6,28.0,5,0,3,4,2,2,1,3,3,1,1,0,0.0,5943.0,29,29. ХАСКОВО,25,2982.0,0.5017667844522968,HKV11
Иваново,647,1102,776,144,241,144,103,61,39,43.0,29,8,12.0,10,11,1,9,8,12,1,2,4,7,5,0,0.0,7586.0,19,19. РУСЕ,18,3419.0,0.450698655417875,RSE13
Искър,465,342,521,46,68,77,80,31,21,13.0,14,5,1.0,24,18,4,6,9,4,2,5,2,0,5,1,0.0,5826.0,15,15. ПЛЕВЕН,11,1764.0,0.3027806385169928,PVN23
Исперих,742,2509,466,417,5190,138,78,59,41,99.0,19,12,28.0,7,6,3,15,19,10,11,10,2,12,12,0,0.0,26278.0,18,18. РАЗГРАД,47,9905.0,0.376931273308471,RAZ14
Ихтиман,1331,2123,625,370,276,326,145,112,79,66.0,36,7,24.0,5,10,8,10,18,15,8,14,1,3,10,4,0.0,14189.0,26,26. СОФИЯ област,30,5626.0,0.3965043343435055,SFO20
Каварна,1251,1189,675,453,113,249,121,150,111,61.0,42,110,11.0,7,3,9,16,5,8,11,6,7,6,3,0,0.0,12449.0,8,08. ДОБРИЧ,31,4617.0,0.3708731625030123,DOB17
Казанлък,7402,5737,3844,2064,2632,1187,1057,973,398,294.0,136,133,17.0,72,40,33,41,40,53,32,15,26,21,21,16,0.0,64842.0,27,27. СТАРА ЗАГОРА,89,26284.0,0.4053545541470035,SZR12
Кайнарджа,142,722,192,27,228,22,9,11,4,6.0,8,1,14.0,152,5,2,3,2,2,3,1,1,0,5,2,0.0,4261.0,20,20. СИЛИСТРА,13,1564.0,0.3670499882656653,SLS15
Калояново,949,1041,576,220,221,166,88,90,46,45.0,13,9,35.0,6,8,4,5,7,8,3,4,1,1,3,3,0.0,9271.0,17,17. ПЛОВДИВ област,20,3552.0,0.38313019091791606,PDV12
Камено,668,960,599,154,111,209,81,55,52,54.0,24,12,36.0,2,2,0,11,7,8,3,6,5,3,4,5,0.0,9906.0,2,02. БУРГАС,20,3071.0,0.31001413284877855,BGS08
Каолиново,140,1108,166,69,4135,37,9,11,8,25.0,13,0,1.0,5,0,2,5,14,7,9,8,1,13,3,0,0.0,17282.0,30,30. ШУМЕН,24,5789.0,0.3349728040736026,SHU18
Карлово,4400,3726,3539,1198,1033,1129,882,412,302,239.0,131,83,27.0,77,15,20,56,32,35,22,20,20,18,24,9,0.0,43914.0,17,17. ПЛОВДИВ област,78,17449.0,0.39734481031106256,PDV13
Карнобат,1680,1453,1653,735,688,337,223,170,80,90.0,53,27,38.0,8,15,12,24,11,16,18,10,3,5,16,6,0.0,21290.0,2,02. БУРГАС,59,7371.0,0.3462188821042743,BGS09
Каспичан,618,690,483,81,163,78,106,49,26,23.0,13,12,15.0,7,2,4,2,4,2,0,0,0,4,1,0,0.0,6814.0,30,30. ШУМЕН,17,2383.0,0.34972116231288525,SHU19
Кирково,833,1421,413,252,7544,94,30,13,25,49.0,33,10,36.0,34,1,3,6,12,10,3,11,3,8,7,0,0.0,35148.0,9,09. КЪРДЖАЛИ,81,10851.0,0.3087231136906794,KRZ14
