id,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,невалидни,total_valid,total,eligible_voters,n_stations
2097,89,23,17,4,33,8,3,4,4.0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0.0,193.0,193.0,363.0,1
2107,8,0,502,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,513.0,513.0,568.0,1
2138,68,42,4,5,15,2,7,7,3.0,7,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,167.0,167.0,538.0,1
2141,4,1,54,0,1,0,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.0,63.0,306.0,1
2155,4,0,112,0,3,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,122.0,122.0,414.0,1
2172,5,6,1,1,4,2,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,22.0,22.0,31.0,1
2227,21,20,3,6,36,11,0,5,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,106.0,109.0,318.0,1
2230,15,8,1,4,8,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,40.0,41.0,59.0,1
2244,2,67,16,1,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,88.0,88.0,405.0,1
2258,33,16,1,5,16,6,7,9,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,100.0,103.0,220.0,1
2261,9,0,47,0,1,3,1,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,63.0,64.0,132.0,1
2292,9,6,66,0,2,1,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,88.0,92.0,290.0,1
2302,13,6,1,5,10,2,2,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,41.0,42.0,66.0,1
2350,46,34,3,12,20,3,10,5,2.0,3,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,1.0,145.0,146.0,290.0,1
2364,40,27,27,14,36,5,3,4,1.0,1,4,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0.0,0.0,169.0,169.0,408.0,1
2381,33,10,2,7,13,2,4,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3.0,75.0,78.0,153.0,1
2395,80,15,14,4,29,8,1,0,6.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,5.0,161.0,166.0,279.0,1
2405,33,8,51,4,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,100.0,100.0,378.0,1
2436,1,1,132,2,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,138.0,138.0,352.0,1
2448,28,16,1,7,13,4,5,0,5.0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,89.0,91.0,167.0,1
2467,23,11,1,3,14,7,2,3,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,66.0,67.0,147.0,1
2470,17,5,1,4,11,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,44.0,44.0,80.0,1
2484,8,0,1,1,17,2,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.0,32.0,47.0,1
2508,574,546,301,408,284,159,258,113,107.0,39,39,7,10,8,8,11,3,8,10,8,1,8,8,5,5,3,1,0,3,0.0,0.0,2935.0,2935.0,10698.0,16
2511,103,32,1,40,18,6,13,13,12.0,4,3,2,0,1,0,1,2,1,1,2,0,0,1,1,1,0,0,0,0,0.0,0.0,258.0,258.0,557.0,1
2542,8,6,1,3,2,1,1,1,3.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,28.0,28.0,34.0,1
2587,61,22,1,5,19,6,2,0,3.0,2,0,1,0,1,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,129.0,129.0,947.0,1
2590,70,22,24,18,34,6,3,11,2.0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,197.0,197.0,931.0,2
2600,37,18,1,20,62,7,5,1,8.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,161.0,161.0,472.0,1
2614,13,10,1,1,4,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,33.0,33.0,48.0,1
