id,ЗАЕДНО,СВОБОДА,БНС,БСП,ГЕРБ-СДС,АТАКА,ДПС,МУТРИ ВЪН!,МИР,БТР,ВЪЗР,ПОДЕМ,БРИГАДА,ПРЯКА ДЕМОКРАЦИЯ,БЪЛГАРСКО ЛЯТО,"ВМРО, ВОЛЯ И НФСБ",ЛЯВ СЪЮЗ,Партия на ЗЕЛЕНИТЕ,НОД,ГЛАС НАРОДЕН,РЕПУБЛИКАНЦИ ЗА БГ,ИТН,ДБ,независими,не подкрепям никого,total,eligible_voters,активност
10865,0.0,0.0,0.0,0.15862068965517243,0.3080459770114943,0.009195402298850575,0.0,0.0367816091954023,0.0,0.0,0.022988505747126436,0.0022988505747126436,0.0,0.004597701149425287,0.006896551724137931,0.009195402298850575,0.04367816091954023,0.0,0.0,0.006896551724137931,0.0022988505747126436,0.32873563218390806,0.04597701149425287,0.0,0.013793103448275862,435.0,818.0,0.5317848410757946
10879,0.0,0.0,0.0,0.2807017543859649,0.3333333333333333,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.12280701754385964,0.12280701754385964,0.0,0.0,57.0,67.0,0.8507462686567164
10882,0.0,0.0,0.008333333333333333,0.15833333333333333,0.15833333333333333,0.0,0.375,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.175,0.025,0.0,0.008333333333333333,120.0,260.0,0.46153846153846156
10910,0.0,0.0,0.0,0.06153846153846154,0.35384615384615387,0.0,0.36923076923076925,0.06153846153846154,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076923076923077,0.03076923076923077,0.0,0.0,65.0,99.0,0.6565656565656566
10923,0.007751937984496124,0.0,0.0,0.2558139534883721,0.10852713178294573,0.015503875968992248,0.3488372093023256,0.03875968992248062,0.0,0.0,0.0,0.0,0.0,0.015503875968992248,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.17054263565891473,0.015503875968992248,0.0,0.007751937984496124,129.0,559.0,0.23076923076923078
10937,0.0,0.0,0.0,0.23076923076923078,0.4230769230769231,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,26.0,50.0,0.52
10954,0.0,0.0,0.0,0.23529411764705882,0.2647058823529412,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.3235294117647059,0.08823529411764706,0.0,0.0,34.0,49.0,0.6938775510204082
10971,0.002888295183767781,0.0009386959347245288,0.001660769730666474,0.14990252003754784,0.25243699906130407,0.006282042024694924,0.027077767347822947,0.06361470142248538,0.0006498664163477508,0.0011553180735071125,0.02808867066214167,0.0,0.0007942811755361397,0.0011553180735071125,0.022023250776229332,0.02252870243338869,0.005126723951187811,0.0007942811755361397,0.001516354971478085,0.002743880424579392,0.011047729077911763,0.2863744674705755,0.09545815582352517,0.0,0.015741208751534407,13849.0,45802.0,0.30236670887734163
10985,0.0,0.0,0.0,0.4,0.25,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,20.0,22.0,0.9090909090909091
10999,0.0,0.0,0.0,0.13636363636363635,0.3939393939393939,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.25757575757575757,0.0,0.0,0.015151515151515152,66.0,77.0,0.8571428571428571
