municipality_name,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,невалидни,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Ботевград,2227.0,463.0,825.0,1210.0,727.0,688.0,383.0,288.0,270.0,181,111.0,130.0,105.0,44.0,42.0,103.0,29.0,29.0,10.0,30.0,14.0,14.0,11.0,19.0,9.0,14.0,5.0,12.0,12.0,8.0,10.0,2.0,4.0,27574,26,26. СОФИЯ област,45,8029.0,0.2911800971930079,SFO07
Братя Даскалови,463.0,799.0,105.0,221.0,354.0,57.0,33.0,43.0,28.0,111,10.0,11.0,6.0,2.0,9.0,7.0,5.0,7.0,4.0,6.0,4.0,1.0,7.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,5589,27,27. СТАРА ЗАГОРА,24,2317.0,0.41456432277688315,SZR04
Брацигово,768.0,79.0,154.0,266.0,193.0,70.0,70.0,71.0,38.0,74,12.0,22.0,38.0,36.0,11.0,8.0,18.0,5.0,6.0,3.0,4.0,4.0,3.0,5.0,41.0,0.0,0.0,4.0,4.0,7.0,2.0,3.0,2.0,7270,13,13. ПАЗАРДЖИК,16,2021.0,0.27799174690508943,PAZ06
Брегово,832.0,288.0,101.0,143.0,220.0,73.0,24.0,33.0,79.0,97,7.0,24.0,5.0,6.0,10.0,6.0,4.0,9.0,3.0,1.0,3.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,3658,5,05. ВИДИН,16,1988.0,0.5434663750683434,VID06
Брезник,483.0,32.0,141.0,220.0,178.0,105.0,45.0,60.0,59.0,28,51.0,65.0,16.0,11.0,20.0,12.0,7.0,6.0,10.0,5.0,1.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,6.0,2.0,2.0,4899,14,14. ПЕРНИК,25,1591.0,0.32476015513370077,PER08
Брезово,411.0,2.0,111.0,282.0,367.0,60.0,48.0,92.0,40.0,66,9.0,33.0,11.0,5.0,7.0,30.0,3.0,5.0,2.0,7.0,2.0,3.0,3.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4931,17,17. ПЛОВДИВ област,20,1620.0,0.3285337659703914,PDV07
Брусарци,726.0,503.0,55.0,130.0,67.0,40.0,19.0,53.0,32.0,115,7.0,21.0,7.0,5.0,10.0,12.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,7.0,1.0,0.0,0.0,3642,12,12. МОНТАНА,16,1839.0,0.5049423393739704,MON07
Бургас,15278.0,892.0,8915.0,9365.0,3498.0,4636.0,3850.0,1775.0,2024.0,777,1649.0,1224.0,494.0,519.0,395.0,914.0,439.0,143.0,162.0,132.0,160.0,303.0,140.0,38.0,112.0,79.0,94.0,104.0,46.0,55.0,59.0,33.0,16.0,183342,2,02. БУРГАС,342,58320.0,0.3180940537356416,BGS04
Бяла (Варна),216.0,49.0,152.0,193.0,38.0,48.0,51.0,23.0,27.0,54,3.0,7.0,2.0,4.0,22.0,5.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2552,3,03. ВАРНА,6,910.0,0.3565830721003135,VAR05
Бяла (Русе),1112.0,324.0,170.0,452.0,231.0,227.0,181.0,115.0,58.0,123,8.0,31.0,13.0,28.0,17.0,13.0,4.0,6.0,13.0,11.0,8.0,6.0,10.0,3.0,2.0,2.0,11.0,4.0,3.0,3.0,2.0,1.0,2.0,11134,19,19. РУСЕ,26,3194.0,0.28686904975749955,RSE04
Бяла Слатина,4356.0,1378.0,610.0,675.0,389.0,299.0,149.0,225.0,245.0,241,52.0,41.0,88.0,48.0,28.0,14.0,11.0,22.0,20.0,19.0,10.0,11.0,5.0,4.0,3.0,6.0,9.0,10.0,3.0,8.0,4.0,3.0,5.0,19871,6,06. ВРАЦА,48,8991.0,0.45246842131749787,VRC08
Варна,26075.0,3194.0,18069.0,18648.0,5649.0,8279.0,6439.0,2649.0,3281.0,1692,1347.0,1539.0,809.0,983.0,2277.0,596.0,377.0,299.0,381.0,264.0,315.0,268.0,224.0,131.0,94.0,80.0,115.0,55.0,86.0,66.0,49.0,28.0,33.0,294672,3,03. ВАРНА,410,104391.0,0.3542616875712657,VAR06
Велики Преслав,669.0,570.0,196.0,352.0,211.0,123.0,76.0,72.0,66.0,102,9.0,86.0,18.0,14.0,23.0,7.0,1.0,10.0,5.0,2.0,6.0,6.0,2.0,4.0,0.0,9.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,12073,30,30. ШУМЕН,23,2647.0,0.2192495651453657,SHU23
Велико Търново,6150.0,1581.0,3233.0,4340.0,1771.0,1810.0,1563.0,531.0,783.0,393,337.0,334.0,178.0,373.0,212.0,148.0,167.0,68.0,76.0,71.0,67.0,50.0,54.0,13.0,10.0,18.0,23.0,14.0,26.0,18.0,10.0,2.0,10.0,70887,4,04. ВЕЛИКО ТЪРНОВО,142,24434.0,0.3446894352984327,VTR04
Велинград,2974.0,2276.0,707.0,898.0,450.0,326.0,217.0,188.0,190.0,323,45.0,64.0,794.0,18.0,24.0,20.0,21.0,12.0,12.0,13.0,10.0,12.0,5.0,7.0,11.0,5.0,12.0,8.0,8.0,10.0,6.0,4.0,0.0,30918,13,13. ПАЗАРДЖИК,51,9670.0,0.3127627919011579,PAZ08
Венец,551.0,2258.0,76.0,29.0,33.0,9.0,8.0,18.0,36.0,192,1.0,7.0,3.0,4.0,3.0,2.0,3.0,4.0,0.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,6.0,0.0,2.0,1.0,1.0,2.0,10269,30,30. ШУМЕН,17,3270.0,0.3184341221151037,SHU07
Ветово,172.0,2928.0,76.0,187.0,120.0,60.0,51.0,54.0,47.0,141,11.0,12.0,19.0,25.0,13.0,4.0,5.0,2.0,4.0,4.0,7.0,4.0,0.0,2.0,3.0,2.0,1.0,10.0,1.0,8.0,0.0,1.0,0.0,11935,19,19. РУСЕ,23,3974.0,0.3329702555509007,RSE05
Ветрино,456.0,279.0,60.0,127.0,111.0,71.0,221.0,45.0,57.0,76,8.0,9.0,7.0,5.0,39.0,22.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,4486,3,03. ВАРНА,13,1616.0,0.3602318323673651,VAR08
Видин,3496.0,2095.0,2008.0,2088.0,1339.0,948.0,664.0,374.0,528.0,449,265.0,296.0,88.0,61.0,274.0,43.0,36.0,41.0,19.0,32.0,24.0,12.0,25.0,40.0,34.0,17.0,20.0,24.0,18.0,13.0,8.0,4.0,8.0,55553,5,05. ВИДИН,127,15391.0,0.2770507443342394,VID09
Враца,6062.0,1255.0,2125.0,2917.0,1374.0,1230.0,802.0,726.0,564.0,416,175.0,236.0,149.0,369.0,75.0,83.0,100.0,51.0,33.0,28.0,35.0,24.0,58.0,153.0,63.0,28.0,22.0,11.0,20.0,25.0,14.0,4.0,10.0,64604,6,06. ВРАЦА,114,19237.0,0.2977679400656306,VRC10
Вълчедръм,674.0,1420.0,89.0,184.0,160.0,76.0,31.0,62.0,39.0,116,14.0,19.0,16.0,9.0,13.0,10.0,3.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,3.0,3.0,6.0,7.0,0.0,7.0,5.0,0.0,0.0,6921,12,12. МОНТАНА,21,2993.0,0.4324519578095651,MON11
Вълчи дол,1498.0,195.0,124.0,322.0,206.0,89.0,182.0,74.0,60.0,282,7.0,24.0,11.0,11.0,92.0,4.0,1.0,13.0,10.0,11.0,2.0,0.0,2.0,1.0,0.0,8.0,4.0,2.0,2.0,9.0,1.0,2.0,3.0,7709,3,03. ВАРНА,26,3252.0,0.42184459722402384,VAR09
