id,ГЕРБ-СДС,ИТН,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,РЕПУБЛИКАНЦИ ЗА БГ,НОД,БНС,ГЛАС НАРОДЕН,СВОБОДА,БТР,МИР,ЗАЕДНО,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,невалидни,total_valid,total,eligible_voters,n_stations
43267,12,1,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,16.0,17.0,28.0,1
43270,4,0,4,1,73,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,83.0,83.0,521.0,1
43284,28,49,48,9,0,5,10,0,0,7.0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,162.0,162.0,298.0,1
43298,101,25,27,7,1,10,4,1,4,2.0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0.0,3.0,186.0,189.0,316.0,1
43311,47,32,38,2,6,10,4,1,0,1.0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0.0,147.0,147.0,331.0,1
43325,153,49,93,30,6,13,2,5,4,7.0,3,0,0,0,2,0,0,0,1,1,0,0,0,2,0.0,0.0,371.0,371.0,840.0,1
43339,39,19,8,7,1,9,3,1,3,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,1.0,93.0,94.0,190.0,1
43356,47,31,40,9,4,4,5,1,9,4.0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,160.0,160.0,345.0,1
43369,65,65,127,11,0,10,5,2,5,3.0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,299.0,299.0,654.0,1
43387,19,23,3,3,182,3,0,1,0,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,240.0,240.0,324.0,1
43390,8,1,2,1,3,2,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,18.0,20.0,62.0,1
43400,61,55,66,3,2,4,5,2,3,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,206.0,206.0,483.0,1
43414,12,4,4,2,6,2,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,32.0,34.0,34.0,1
43428,17,12,16,5,0,3,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,55.0,59.0,81.0,1
43431,21,17,25,4,6,2,2,2,1,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,3.0,82.0,85.0,281.0,1
43445,72,113,72,21,16,11,50,5,13,5.0,1,0,1,1,2,0,0,0,0,1,2,0,0,1,0.0,0.0,387.0,387.0,1382.0,2
43459,28,14,28,6,1,5,0,1,21,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,107.0,107.0,434.0,1
43462,53,40,52,7,1,13,5,3,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,179.0,179.0,634.0,1
43476,192,186,211,17,53,33,35,12,0,5.0,3,2,1,1,4,1,2,0,0,2,2,1,1,0,0.0,0.0,764.0,764.0,3251.0,5
43493,4,0,1,0,35,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,41.0,46.0,75.0,1
43517,171,140,63,21,119,32,30,12,4,3.0,2,1,5,0,1,1,3,0,0,1,0,0,0,1,0.0,0.0,610.0,610.0,1431.0,3
43520,28,13,26,4,8,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,81.0,81.0,1348.0,2
43548,23,8,12,3,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,48.0,51.0,63.0,1
43565,55,101,31,7,0,8,97,3,6,4.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,315.0,315.0,638.0,1
43579,14,13,30,11,2,2,4,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,78.0,80.0,102.0,1
43582,18,42,3,1,106,4,0,1,0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,2.0,178.0,180.0,261.0,1
43596,3,5,1,0,116,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,129.0,129.0,507.0,1
43615,8,6,1,1,1,4,0,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.0,24.0,30.0,1
43623,39,23,28,3,0,5,3,1,0,5.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,110.0,116.0,172.0,1
43654,46,28,31,0,24,2,7,4,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,6.0,145.0,151.0,245.0,1
43668,16,2,4,0,6,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.0,29.0,40.0,1
43671,9,2,3,3,0,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,21.0,23.0,1
43685,45,30,38,7,68,5,6,11,0,4.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,217.0,217.0,966.0,2
43699,20,36,5,4,1,11,33,0,2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,3.0,115.0,118.0,232.0,1
43709,12,8,8,0,2,1,1,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,34.0,34.0,111.0,1
43712,67,47,60,20,17,7,25,0,6,1.0,3,1,2,0,0,0,4,0,1,0,0,0,0,0,0.0,0.0,261.0,261.0,1214.0,2
43726,1,1,1,0,50,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,53.0,53.0,48.0,1
43730,81,27,34,7,7,5,4,3,0,0.0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0.0,3.0,173.0,176.0,255.0,1
43760,14,10,5,8,83,3,1,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,126.0,126.0,562.0,1
43774,26,125,24,4,1,7,1,1,2,1.0,1,2,2,1,1,0,0,3,1,1,0,2,2,0,0.0,0.0,208.0,208.0,497.0,1
43788,15,11,10,3,1,0,2,1,0,0.0,1,1,0,0,1,0,0,2,3,0,0,0,0,0,0.0,2.0,51.0,53.0,85.0,1
43829,78,82,58,8,13,13,7,9,0,2.0,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0.0,0.0,277.0,277.0,573.0,1
43846,3,6,5,1,8,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24.0,24.0,23.0,1
43880,18,4,0,1,168,4,0,0,0,2.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0,201.0,201.0,454.0,1
43894,53,9,2,2,224,0,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,293.0,293.0,575.0,1
43904,96,89,100,10,22,7,6,4,5,5.0,1,1,0,0,2,0,0,0,3,0,1,0,2,0,0.0,0.0,354.0,354.0,1387.0,2
43918,42,18,27,8,1,3,4,4,0,1.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0,4.0,112.0,116.0,160.0,1
43921,28,12,19,4,1,2,1,2,1,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,72.0,73.0,108.0,1
43935,28,13,30,1,74,3,3,1,0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,156.0,156.0,394.0,1
43949,25,1,6,1,89,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,124.0,124.0,420.0,1
43952,3488,3854,2008,1247,298,754,496,408,237,197.0,63,44,38,10,16,35,11,15,6,11,8,10,5,7,0.0,17.0,13266.0,13283.0,33780.0,62
43966,36,13,24,2,1,5,3,4,0,0.0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0.0,5.0,92.0,97.0,191.0,1
43983,15,26,7,2,48,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,99.0,99.0,184.0,1
43997,11,8,68,4,8,9,1,1,0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,113.0,113.0,679.0,1
44029,51,46,53,3,28,7,3,5,1,2.0,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0.0,0.0,206.0,206.0,592.0,1
44032,42,27,33,8,1,5,3,3,1,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2.0,126.0,128.0,202.0,1
44046,21,20,20,1,29,0,2,1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,6.0,98.0,104.0,270.0,1
44053,110,70,82,12,3,12,1,4,11,2.0,3,5,0,0,1,0,3,0,0,0,1,0,1,0,0.0,0.0,321.0,321.0,794.0,1
44063,686,472,191,391,8,90,53,71,53,44.0,13,13,10,10,7,11,3,3,1,26,1,2,1,1,0.0,0.0,2161.0,2161.0,4886.0,7
44077,64,30,29,5,0,7,0,12,2,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,3.0,151.0,154.0,335.0,1
44080,3,11,9,1,93,4,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,123.0,124.0,164.0,1
44094,82,86,36,68,13,15,12,5,16,7.0,0,1,2,0,2,0,0,0,0,1,0,1,2,0,0.0,0.0,349.0,349.0,580.0,1
44104,17,17,12,3,55,3,1,0,2,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,113.0,113.0,685.0,1
44118,46,15,63,6,9,8,15,1,2,0.0,2,0,1,1,1,0,4,2,0,1,1,5,2,0,0.0,0.0,185.0,185.0,449.0,1
44121,2,2,5,2,1,0,19,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,34.0,37.0,57.0,1
44152,13,23,53,4,0,8,1,3,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,106.0,109.0,175.0,1
44166,195,146,76,42,406,10,36,7,3,6.0,3,2,0,0,1,1,0,1,1,0,0,1,1,0,0.0,2.0,938.0,940.0,2175.0,5
