municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Калояново,1045,588,422,263,430,133.0,136,103,23,55,10,17,12,1,1,5,1,14,2,3,4,3,0.0,1,9130,17,17. ПЛОВДИВ област,20,3272.0,0.3583789704271632,PDV12
Камено,953,404,480,165,334,95.0,98,92,31,110,12,6,15,5,5,10,4,6,5,3,1,3,0.0,1,9856,2,02. БУРГАС,20,2838.0,0.28794642857142855,BGS08
Каолиново,907,282,80,3820,107,44.0,22,31,14,185,2,7,2,3,7,4,1,2,3,6,10,2,0.0,1,17711,30,30. ШУМЕН,24,5542.0,0.3129128790017503,SHU18
Карлово,3621,2956,2112,654,2061,801.0,708,454,251,290,112,34,51,14,32,35,16,39,15,12,8,11,0.0,3,42345,17,17. ПЛОВДИВ област,78,14290.0,0.337466052662652,PDV13
Карнобат,1303,1109,940,640,1051,236.0,253,228,121,139,28,17,36,23,27,15,8,10,5,1,14,2,0.0,3,20434,2,02. БУРГАС,59,6209.0,0.30385631790153667,BGS09
Каспичан,515,305,271,151,331,80.0,114,28,42,65,10,2,6,1,1,2,4,0,2,1,3,1,0.0,0,6699,30,30. ШУМЕН,17,1935.0,0.28884908195253023,SHU19
Кирково,1176,684,180,7058,304,108.0,78,77,34,115,5,10,8,11,10,6,2,1,13,7,5,9,0.0,3,34561,9,09. КЪРДЖАЛИ,80,9904.0,0.2865657822400972,KRZ14
Кнежа,1753,643,490,518,298,147.0,170,160,91,114,20,4,13,0,3,5,3,6,5,0,1,3,0.0,2,11180,15,15. ПЛЕВЕН,21,4449.0,0.3979427549194991,PVN39
Ковачевци,192,110,55,13,275,19.0,21,49,25,20,1,0,2,2,2,2,0,1,1,0,0,1,0.0,0,1161,14,14. ПЕРНИК,10,791.0,0.6813092161929372,PER22
Козлодуй,1599,1083,1149,407,684,316.0,319,317,105,85,36,20,24,6,7,17,14,8,3,2,3,7,0.0,1,16196,6,06. ВРАЦА,26,6212.0,0.3835514941960978,VRC20
Копривщица,193,200,167,21,97,28.0,25,34,18,15,9,1,3,1,3,3,2,1,1,0,1,0,0.0,0,1806,26,26. СОФИЯ област,3,823.0,0.45570321151716503,SFO24
Костенец,1431,682,619,17,420,219.0,142,229,81,89,18,90,8,4,5,8,7,13,2,2,3,1,0.0,0,10191,26,26. СОФИЯ област,21,4090.0,0.4013345108429006,SFO25
Костинброд,2328,1129,828,404,526,307.0,211,167,135,94,29,16,16,10,9,19,8,11,4,7,4,3,0.0,1,13687,26,26. СОФИЯ област,24,6266.0,0.45780667786951124,SFO26
Котел,2224,600,317,779,381,84.0,66,107,85,281,6,6,14,4,4,11,2,2,2,2,3,3,0.0,0,18556,21,21. СЛИВЕН,30,4983.0,0.26853847812028453,SLV11
Кочериново,610,202,132,52,169,48.0,51,24,35,38,4,3,3,4,7,2,3,1,2,0,1,0,0.0,0,3207,10,10. КЮСТЕНДИЛ,16,1391.0,0.4337386966011849,KNL27
Кресна,748,371,140,52,183,56.0,51,70,123,34,3,1,2,10,1,1,0,1,0,3,2,1,0.0,0,4350,1,01. БЛАГОЕВГРАД,11,1853.0,0.4259770114942529,BLG28
