id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,АТАКА (к.),ЗАЕДНО,КОД,НП ИСИ,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,невалидни,total_valid,total,eligible_voters,n_stations
761,87,28,11,21,35,1.0,7,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0.0,1,13,198.0,211.0,1289,2
775,12,7,4,1,26,4.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,7,59.0,66.0,110,1
789,144,30,25,4,31,1.0,7,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,4,250.0,254.0,458,1
792,70,11,19,64,9,4.0,4,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0,20,188.0,208.0,364,1
802,29,15,5,7,11,0.0,3,36,19,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,2,128.0,130.0,465,1
816,26,5,2,2,17,2.0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,2,60.0,62.0,146,1
828,6,3,1,88,2,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,103.0,112.0,348,1
833,254,101,164,3,27,32.0,37,28,8,4,2,2,8,4,2,0,3,2,0,1,0,0.0,0,9,682.0,691.0,1791,4
847,23,11,8,0,48,4.0,0,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0,6,102.0,108.0,213,1
850,71,13,6,52,12,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,160.0,160.0,366,1
864,4,1,2,55,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,66.0,66.0,182,1
878,145,92,70,20,36,15.0,12,11,4,2,1,0,1,0,1,0,0,0,0,0,0,0.0,0,7,410.0,417.0,1004,2
881,134,4,1,16,2,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,160.0,162.0,301,1
895,524,433,384,103,167,90.0,118,48,27,20,8,0,16,4,9,1,2,2,1,1,1,0.0,2,47,1961.0,2008.0,5475,11
905,24,6,5,30,3,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,71.0,71.0,91,1
919,58,29,21,2,71,8.0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,196.0,199.0,434,2
2021,8,4,3,3,32,0.0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,55.0,58.0,106,1
2035,8,14,1,0,11,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,36.0,37.0,50,1
2049,34,15,8,1,11,2.0,2,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,2,82.0,84.0,159,1
2052,11,11,6,2,14,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,46.0,46.0,80,1
2083,39,32,12,2,38,4.0,2,4,5,4,0,0,1,0,1,0,0,0,0,0,0,0.0,0,1,144.0,145.0,345,1
2097,78,21,13,23,24,2.0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,175.0,177.0,346,1
2107,8,2,0,470,5,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,488.0,491.0,574,1
2138,78,27,18,2,24,4.0,12,8,8,0,1,0,0,0,0,0,0,1,0,0,1,0.0,0,7,184.0,191.0,536,1
2141,3,2,0,37,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,45.0,46.0,308,1
